esclofollar_verb	éplucher_verb
bruno_propernoun	bruno_propernoun
terradellas_propernoun	terradellas_propernoun
pearl-harbor_propernoun	pearl-harbor_propernoun
sorprendre_verb	étonner_verb
fisc_noun	fisc_noun
prescient_adjective	prescient_adjective
marziano_propernoun	marziano_propernoun
filip_propernoun	philippe_propernoun
niño_propernoun	niño_propernoun
balcells_propernoun	balcells_propernoun
tardà_propernoun	tardà_propernoun
celis_propernoun	celis_propernoun
espí_propernoun	espí_propernoun
follet_noun	farfadet_noun
alvocat_noun	avocat_noun
roa_propernoun	roa_propernoun
interceptar_verb	intercepter_verb
montahud_propernoun	montahud_propernoun
escipió_propernoun	escipió_propernoun
girar_verb	virer_verb
moble_adjective	meuble_adjective
inflamabilitat_noun	inflammabilité_noun
impassible_adjective	impassible_adjective
olano_propernoun	olano_propernoun
condecorar_verb	médailler_verb
mazzarrino_propernoun	mazzarrino_propernoun
obrien_propernoun	obrien_propernoun
desenvolupador_noun	développeur_noun
aragó_propernoun	aragon_propernoun
far_noun	phare_noun
miccional_adjective	mictionnel_adjective
ariadna_propernoun	ariadna_propernoun
weiner_propernoun	weiner_propernoun
prudència_propernoun	prudència_propernoun
galuppo_propernoun	galuppo_propernoun
refusar_verb	repousser_verb
tribunal-de-comptes_noun	cour-des-comptes_noun
mena_propernoun	mena_propernoun
dalmases_propernoun	dalmases_propernoun
ene_propernoun	ene_propernoun
concentració_noun	rassemblement_noun
puglia_propernoun	puglia_propernoun
litoral_adjective	littoral_adjective
maçanet-de-cabrenys_propernoun	maçanet-de-cabrenys_propernoun
lattanzi_propernoun	lattanzi_propernoun
quart_adjective	quatrième_adjective
xile_propernoun	chili_propernoun
gitano_adjective	rom_adjective
blázquez_propernoun	blázquez_propernoun
jovina_propernoun	jovina_propernoun
acidificant_adjective	acidifiant_adjective
reg_noun	arrosage_noun
pellisa_propernoun	pellisa_propernoun
marineau_propernoun	marineau_propernoun
hanae_propernoun	hanae_propernoun
querubina_propernoun	querubina_propernoun
de-belém_propernoun	de-belém_propernoun
acetós_adjective	acéteux_adjective
demora_noun	retard_noun
programador_noun	programmeur_noun
sotabosc_noun	sous-bois_noun
viver_noun	vivier_noun
melsa_noun	rate_noun
subtropical_adjective	subtropical_adjective
hogan_propernoun	hogan_propernoun
cooperar_verb	coopérer_verb
uzbek_adjective	ouzbek_adjective
gotor_propernoun	gotor_propernoun
estèreo_adjective	stéreo_adjective
alòs-i-font_propernoun	alòs-i-font_propernoun
fortugno_propernoun	fortugno_propernoun
tenir_verb	jouer_verb
paral·lelepípede_noun	parallélépipède_noun
padà_adjective	padan_adjective
canoa_noun	canoë_noun
fotogènic_adjective	photogénique_adjective
coen_propernoun	coen_propernoun
des-de-mitjan-de_preposition	depuis-la-moitié-de_preposition
garratibat_adjective	pantois_adjective
diallo_propernoun	diallo_propernoun
ecosistema_noun	écosystème_noun
chiva_propernoun	chiva_propernoun
cigró_noun	pois-chiche_noun
ventricular_adjective	ventriculaire_adjective
adèle_propernoun	adèle_propernoun
eveline_propernoun	eveline_propernoun
portell_propernoun	portell_propernoun
pebrot_noun	poivron_noun
metabòlit_noun	métabolite_noun
abelleira_propernoun	abelleira_propernoun
ambrogio_propernoun	ambrogio_propernoun
trinidad_propernoun	trinidad_propernoun
problemàtic_adjective	problématique_adjective
pantera_noun	panthère_noun
albir_noun	avis_noun
rustico_propernoun	rustico_propernoun
pòrfir_noun	porphyre_noun
de-part-de_preposition	de-la-part-de_preposition
okupa_noun	squatter_noun
afirmar_verb	affirmer_verb
implantologia_noun	implantologie_noun
turmentar_verb	chicaner_verb
walsh_propernoun	walsh_propernoun
teologia_noun	théologie_noun
tranchida_propernoun	tranchida_propernoun
custòdia-policial_noun	garde-à-vue_noun
gilbert_propernoun	gilbert_propernoun
borbons_propernoun	bourbons_propernoun
caballo_propernoun	caballo_propernoun
acollida_noun	accueil_noun
capdavanter_adjective	pionnier_adjective
baphoen_propernoun	baphoen_propernoun
piular_verb	piailler_verb
silicificació_noun	silicification_noun
dins_adverb	dedans_adverb
pamies_propernoun	pamies_propernoun
dominar_verb	mater_verb
fluvi_propernoun	fluvi_propernoun
bordejar_verb	louvoyer_verb
profanar_verb	profaner_verb
cruyff_propernoun	cruyff_propernoun
fastigós_adjective	dégueulasse_adjective
deslauriers_propernoun	deslauriers_propernoun
extenuar_verb	exténuer_verb
triomfador_noun	vainqueur_noun
champegnois_propernoun	champegnois_propernoun
funke_propernoun	funke_propernoun
jasikevicius_propernoun	jasikevicius_propernoun
simpatectomia_noun	sympathectomie_noun
melchionna_propernoun	melchionna_propernoun
mantia_propernoun	mantia_propernoun
sacre-imperi-romanogermànic_propernoun	saint-empire-romain-germanique_propernoun
ps_noun	ps_noun
econòmic_adjective	économique_adjective
periodisme_noun	journalisme_noun
bañeres_propernoun	bañeres_propernoun
mendizorrotza_propernoun	mendizorrotza_propernoun
deslleialtat_noun	déloyauté_noun
repetidor_noun	redoublant_noun
comensal_adjective	commensal_adjective
desmobilització_noun	démobilisation_noun
fer-trampa_verb	filouter_verb
carrà_propernoun	carrà_propernoun
el-castell-de-guadalest_propernoun	el-castell-de-guadalest_propernoun
ritmar_verb	rythmer_verb
jospin_propernoun	jospin_propernoun
ratera_noun	souricière_noun
tomba_noun	tombeau_noun
vivó_propernoun	vivó_propernoun
superar_verb	surmonter_verb
neruda_propernoun	neruda_propernoun
lleter_adjective	laitier_adjective
bolzonello_propernoun	bolzonello_propernoun
baltimore_propernoun	baltimore_propernoun
miríficament_adverb	mirifiquement_adverb
afeblir_verb	fragiliser_verb
culpabilitzar_verb	culpabiliser_verb
corneveaux_propernoun	corneveaux_propernoun
empestar_verb	empester_verb
rue_propernoun	rue_propernoun
zanone_propernoun	zanone_propernoun
agresiu_adjective	agressif_adjective
alentorn_propernoun	alentorn_propernoun
bathylle_propernoun	bathylle_propernoun
parcialitat_noun	partialité_noun
estegosaure_noun	stégosaure_noun
arantzazu_propernoun	arantzazu_propernoun
abadía_propernoun	abadía_propernoun
explicació_noun	explication_noun
lamothe_propernoun	lamothe_propernoun
de-blas_propernoun	de-blas_propernoun
navás_propernoun	navás_propernoun
sol·licitant_noun	postulant_noun
monosomia_noun	monosomie_noun
sopena_propernoun	sopena_propernoun
guia_noun	guidance_noun
delsa_propernoun	delsa_propernoun
liu_propernoun	liu_propernoun
emancipatori_adjective	émancipatoire_adjective
costantini_propernoun	costantini_propernoun
nora_noun	bru_noun
pardo_propernoun	pardo_propernoun
refutar_verb	réfuter_verb
hniena_propernoun	hniena_propernoun
lavandí_noun	lavandin_noun
connors_propernoun	connors_propernoun
decisió_noun	décision_noun
napoletano_propernoun	napoletano_propernoun
sòl_noun	plancher_noun
esmée_propernoun	esmée_propernoun
focalització_noun	focalisation_noun
bud_propernoun	bud_propernoun
obrer_adjective	ouvrier_adjective
lagunas_propernoun	lagunas_propernoun
lisbeth_propernoun	lisbeth_propernoun
ainhoa-arteta_propernoun	ainhoa-arteta_propernoun
manis_propernoun	manis_propernoun
uras_propernoun	uras_propernoun
francocanadenc_adjective	franco-canadien_adjective
deverbal_adjective	déverbal_adjective
laci_propernoun	latium_propernoun
reialesa_noun	royauté_noun
seronegatiu_adjective	séronégatif_adjective
movible_adjective	movible_adjective
alamillo_propernoun	alamillo_propernoun
transcórrer_verb	passer_verb
ridícul_adjective	ridicule_adjective
vary_propernoun	vary_propernoun
caparvi_propernoun	caparvi_propernoun
gravé_propernoun	gravé_propernoun
cuñat_propernoun	cuñat_propernoun
interdisciplinari_adjective	interdisciplinaire_adjective
hinduista_adjective	hindouiste_adjective
schmid_propernoun	schmid_propernoun
acrosoma_noun	acrosome_noun
prospector_noun	prospecteur_noun
arcar_verb	arquer_verb
exclusivitat_noun	exclusivité_noun
pomar_propernoun	pomar_propernoun
dipsomania_noun	dipsomanie_noun
llaminadura_noun	gourmandise_noun
stoetzel_propernoun	stoetzel_propernoun
tractar-de_verb	agir-de_verb
garneu_adjective	sournois_adjective
abonyegar_verb	bosseler_verb
sant-aniol-de-finestres_propernoun	sant-aniol-de-finestres_propernoun
isomerisme_noun	isomérisme_noun
gonzaga_propernoun	gonzaga_propernoun
enrajolar_verb	daller_verb
embrió_noun	embryon_noun
adollar_verb	jaillir_verb
dialectalisme_noun	dialectalisme_noun
tenir-lloc_verb	avoir-lieu_verb
madur_adjective	mûr_adjective
caldeu_adjective	chaldéen_adjective
trahan_propernoun	trahan_propernoun
bosum_propernoun	bosum_propernoun
jesse_propernoun	jesse_propernoun
viola_noun	alto_noun
estirat_adjective	allongé_adjective
toro_noun	taureau_noun
desconfiar_verb	méfier_verb
estropellar_verb	abîmer_verb
conductisme_noun	béhaviorisme_noun
gaia_propernoun	gaia_propernoun
serra_noun	massif_noun
subscriure_verb	soussigner_verb
afecció_noun	affection_noun
copland_propernoun	copland_propernoun
cacchione_propernoun	cacchione_propernoun
confederat_adjective	confédéré_adjective
ferraz_propernoun	ferraz_propernoun
costas_propernoun	costas_propernoun
príam_propernoun	priam_propernoun
aqüífer_adjective	aquifère_adjective
xador_noun	tchador_noun
jocelyne_propernoun	jocelyne_propernoun
redox_adjective	redox_adjective
sabartés_propernoun	sabartés_propernoun
petrilli_propernoun	petrilli_propernoun
avantguardista_noun	avant-gardiste_noun
commensurable_adjective	commensurable_adjective
lanneville_propernoun	lanneville_propernoun
fura_noun	furet_noun
sen_noun	sen_noun
quebequès_noun	québécois_noun
calatrava_propernoun	calatrava_propernoun
inert_adjective	inerte_adjective
farley_propernoun	farley_propernoun
esquerp_adjective	farouche_adjective
emissor_noun	émetteur_noun
briccola_propernoun	briccola_propernoun
crossley_propernoun	crossley_propernoun
provisió_noun	provision_noun
tailandès_noun	thaïlandais_noun
serral_noun	coteau_noun
emigració_noun	émigration_noun
moràvia_propernoun	moravie_propernoun
complexificació_noun	complexification_noun
rucco_propernoun	rucco_propernoun
fenilalanina_noun	phénylalanine_noun
perímetre_noun	pourtour_noun
petrotta_propernoun	petrotta_propernoun
soc_noun	souche_noun
lafontant_propernoun	lafontant_propernoun
cilindroide_adjective	cylindroïde_adjective
barril_propernoun	barril_propernoun
aixa_noun	herminette_noun
pujades_propernoun	pujades_propernoun
polisulfur_noun	polysulfure_noun
pal·li_noun	pallium_noun
instagramer_noun	instagramer_noun
look_noun	look_noun
aguirresarobe_propernoun	aguirresarobe_propernoun
peça-de-vestir_noun	pièce-de-vêtement_noun
florea_propernoun	florea_propernoun
cervesa_noun	bière_noun
bassolino_propernoun	bassolino_propernoun
ruano_propernoun	ruano_propernoun
meisle_propernoun	meisle_propernoun
st-laurent_propernoun	st-laurent_propernoun
parveen_propernoun	parveen_propernoun
atkinson_propernoun	atkinson_propernoun
tina_noun	tine_noun
cladisme_noun	cladisme_noun
impugnar_verb	contester_verb
widmann_propernoun	widmann_propernoun
dione_propernoun	dione_propernoun
minerva_propernoun	minerva_propernoun
gandul_noun	fainéant_noun
fígols_propernoun	fígols_propernoun
excepte-que_subordinatingconjunction	sauf-que_subordinatingconjunction
stevenson_propernoun	stevenson_propernoun
simbòlicament_adverb	symboliquement_adverb
hondón-de-los-frailes_propernoun	hondón-de-los-frailes_propernoun
xàrter_noun	charter_noun
credencial_noun	laissez-passer_noun
dent-de-lleó_noun	pissenlit_noun
ortiga_propernoun	ortiga_propernoun
cloïssa_noun	palourde_noun
difusionista_adjective	diffusionniste_adjective
solana_propernoun	solana_propernoun
bombai_propernoun	bombay_propernoun
illán_propernoun	illán_propernoun
vareta_noun	baguette_noun
aneguet_noun	caneton_noun
schindler_propernoun	schindler_propernoun
seguidor_noun	suiveur_noun
insurgent_noun	insurgent_noun
audiologia_noun	audiologie_noun
barrera_propernoun	barrera_propernoun
anonimat_noun	anonymat_noun
pua_noun	dent_noun
apassionadament_adverb	passionément_adverb
entorpir_verb	entraver_verb
rahal_propernoun	rahal_propernoun
caffaratto_propernoun	caffaratto_propernoun
higuaín_propernoun	higuaín_propernoun
tooktoo_propernoun	tooktoo_propernoun
parasitològic_adjective	parasitologique_adjective
leboeuf_propernoun	leboeuf_propernoun
postclàssic_adjective	postclassique_adjective
rizó_propernoun	rizó_propernoun
jasmyn_propernoun	jasmyn_propernoun
vulgata_noun	vulgate_noun
a-sota_adverb	en-dessous_adverb
ornellas_propernoun	ornellas_propernoun
geoffrion_propernoun	geoffrion_propernoun
bizantí_adjective	byzantin_adjective
malar_adjective	malaire_adjective
magnífic_adjective	magnifique_adjective
lechuga_propernoun	lechuga_propernoun
piromorfita_noun	pyromorphite_noun
altar_noun	autel_noun
mascarot_noun	masque_noun
quattrocchi_propernoun	quattrocchi_propernoun
sociable_adjective	convivial_adjective
buguenvíl·lea_noun	bougainvillée_noun
multifactorial_adjective	multifactoriel_adjective
dirigista_noun	dirigiste_noun
morancho_propernoun	morancho_propernoun
fenoll_propernoun	fenoll_propernoun
utilitzable_adjective	utilisable_adjective
sàdic_adjective	sadique_adjective
promocionalment_adverb	promotionnellement_adverb
embrutir_verb	abrutir_verb
morral_propernoun	morral_propernoun
genealògicament_adverb	généalogiquement_adverb
sant-cebrià-de-vallalta_propernoun	sant-cebrià-de-vallalta_propernoun
monologar_verb	monologuer_verb
panetta_propernoun	panetta_propernoun
rovira_propernoun	rovira_propernoun
profetitzar_verb	prophétiser_verb
cartolina_noun	carte_noun
estar_verb	rester_verb
aspermatisme_noun	aspermatisme_noun
rigorisme_noun	rigorisme_noun
catalanoparlant_adjective	catalanophone_adjective
porc_noun	cochon_noun
orar_verb	prier_verb
fibril·lós_adjective	fibrilleux_adjective
comprimir_verb	comprimer_verb
xafardejar_verb	cancaner_verb
diapositiva_noun	diapositive_noun
trava_noun	obstacle_noun
ipod_propernoun	ipod_propernoun
fisichella_propernoun	fisichella_propernoun
indestructiblement_adverb	indestructiblement_adverb
tisores_noun	ciseau_noun
castellet-i-la-gornal_propernoun	castellet-i-la-gornal_propernoun
hàbitat_noun	habitat_noun
manejable_adjective	maniable_adjective
salvas_propernoun	salvas_propernoun
modelar_verb	modeler_verb
adreça_noun	suscription_noun
assegurador_noun	assureur_noun
savoini_propernoun	savoini_propernoun
sender_propernoun	sender_propernoun
analfabetisme_noun	analphabétisme_noun
directiu_noun	dirigeant_noun
santi_propernoun	santi_propernoun
licantropia_noun	lycanthropie_noun
odessa_propernoun	odessa_propernoun
von-fellenberg_propernoun	von-fellenberg_propernoun
rigol_propernoun	rigol_propernoun
autòmat_noun	automate_noun
tot-d'un-plegat_adverb	soudain_adverb
libi_noun	libyen_noun
activar_verb	déclencher_verb
fer-un-petó_verb	faire-la-bise_verb
irlandès_adjective	irlandais_adjective
planificar_verb	planifier_verb
universalista_adjective	universaliste_adjective
monumentalment_adverb	monumentalement_adverb
leucip_propernoun	leucip_propernoun
pisolític_adjective	pisolitique_adjective
giulia_propernoun	giulia_propernoun
supressor_adjective	suppresseur_adjective
calorimètric_adjective	calorimétrique_adjective
erotòman_noun	érotomane_noun
dilema_noun	dilemme_noun
titularitat_noun	titularité_noun
punyeter_adjective	taquin_adjective
clatellot_noun	claque_noun
val_noun	bon_noun
enric_propernoun	henri_propernoun
eden_propernoun	eden_propernoun
optometria_noun	optométrie_noun
notaris_propernoun	notaris_propernoun
matton_propernoun	matton_propernoun
isomòrficament_adverb	isomorphiquement_adverb
bavejar_verb	baver_verb
duciaume_propernoun	duciaume_propernoun
georgina_propernoun	georgina_propernoun
bonin_propernoun	bonin_propernoun
expiratori_adjective	expiratoire_adjective
imperar_verb	régner_verb
artroplàstia_noun	arthroplastie_noun
antagònic_adjective	antagonique_adjective
guglielmi_propernoun	guglielmi_propernoun
ribaudo_propernoun	ribaudo_propernoun
selecció-italiana_noun	équipe-d'italie_noun
replantejar_verb	poser-à-nouveau_verb
pelatge_noun	pelage_noun
origami_noun	origami_noun
pomologia_noun	pomologie_noun
músic_noun	musicien_noun
preciosista_adjective	précieux_adjective
jute_noun	jute_noun
cumulatiu_adjective	cumulatif_adjective
golden_noun	golden_noun
gestor_adjective	gestionnaire_adjective
pascu_propernoun	pascu_propernoun
què_relativepronoun	lequel_relativepronoun
què_pronoun	lequel_pronoun
què_interrogativepronoun	lequel_interrogativepronoun
bonifaci_propernoun	bonifaci_propernoun
yves_propernoun	yves_propernoun
escaramussa_noun	escarmouche_noun
coscioni_propernoun	coscioni_propernoun
vinyer_noun	vignoble_noun
ferrós_adjective	ferreux_adjective
amplificar_verb	amplifier_verb
paraula-clau_noun	mot-clef_noun
lecomte_propernoun	lecomte_propernoun
jugador-de-bàsquet_noun	basketteur_noun
latorre_propernoun	latorre_propernoun
taricco_propernoun	taricco_propernoun
polpa_noun	pulpe_noun
segni_propernoun	segni_propernoun
anorac_noun	anorak_noun
fatou_propernoun	fatou_propernoun
llatinoamericà_adjective	latino-américain_adjective
lindh_propernoun	lindh_propernoun
neuroanatomista_noun	neuroanatomiste_noun
oceanògraf_noun	océanographe_noun
atemporal_adjective	atemporel_adjective
reforç_noun	renforcement_noun
zubaydah_propernoun	zubaydah_propernoun
taral·lejar_verb	fredonner_verb
cyrenne_propernoun	cyrenne_propernoun
gurruchaga_propernoun	gurruchaga_propernoun
gluck_propernoun	gluck_propernoun
lleugerament_adverb	légèrement_adverb
embornal_noun	puisard_noun
sadisme_noun	sadisme_noun
bouchar_propernoun	bouchar_propernoun
inèdit_adjective	inédit_adjective
no-obstant-això_subordinatingconjunction	nonobstant_subordinatingconjunction
limitació_noun	limitation_noun
gimeno_propernoun	gimeno_propernoun
tercer-món_noun	tiers-monde_noun
rosarito_propernoun	rosarito_propernoun
italoparlant_adjective	italophone_adjective
infidelitat_noun	infidélité_noun
atròfic_adjective	atrophique_adjective
aitken_propernoun	aitken_propernoun
rosati_propernoun	rosati_propernoun
acabar_verb	terminer_verb
afligir_verb	contrister_verb
frame_propernoun	frame_propernoun
laëtitia_propernoun	laëtitia_propernoun
adornato_propernoun	adornato_propernoun
fumar_verb	taffer_verb
luisina_propernoun	luisina_propernoun
turcman_adjective	turcoman_adjective
pella_propernoun	pella_propernoun
woodhull_propernoun	woodhull_propernoun
stalin_propernoun	staline_propernoun
voleibol_noun	volley-ball_noun
absorbir_verb	absorber_verb
borgonzoni_propernoun	borgonzoni_propernoun
bordes_propernoun	bordes_propernoun
mel_noun	miel_noun
masia_propernoun	masia_propernoun
dactílic_adjective	dactylique_adjective
empestat_adjective	pestiféré_adjective
eduardo_propernoun	eduardo_propernoun
escrutini_noun	scrutin_noun
aliatge_noun	alliage_noun
aleandro_propernoun	aleandro_propernoun
cosir_verb	coudre_verb
verb_noun	verbe_noun
erròniament_adverb	faussement_adverb
excepcionalitat_noun	exceptionnalité_noun
cussà_propernoun	cussà_propernoun
deflexió_noun	déflexion_noun
galantejar_verb	courtiser_verb
lil·liputenc_adjective	lilliputien_adjective
clau-de-fa_noun	clé-de-fa_noun
cidui_propernoun	cidui_propernoun
crête_propernoun	crête_propernoun
morvan_propernoun	morvan_propernoun
narcotraficant_noun	narcotrafiquant_noun
lübeck_propernoun	lübeck_propernoun
llengua-de-signes_noun	langue-des-signes_noun
saray_propernoun	saray_propernoun
perill_noun	péril_noun
dativa_propernoun	dativa_propernoun
cento_propernoun	cento_propernoun
schirò_propernoun	schirò_propernoun
intensió_noun	intension_noun
harrington_propernoun	harrington_propernoun
retardar_verb	reculer_verb
labor_noun	ouvrage_noun
matches_propernoun	matches_propernoun
eufòric_adjective	euphorique_adjective
rarefacció_noun	raréfaction_noun
prospecció_noun	prospection_noun
aroma_noun	arôme_noun
georges_propernoun	georges_propernoun
vecchiali_propernoun	vecchiali_propernoun
caminoi_noun	sentier_noun
trupia_propernoun	trupia_propernoun
saint-brieuc_propernoun	saint-brieuc_propernoun
gianotti_propernoun	gianotti_propernoun
boisselle_propernoun	boisselle_propernoun
álvaro_propernoun	álvaro_propernoun
matriculació_noun	immatriculation_noun
parricida_noun	parricide_noun
nácher_propernoun	nácher_propernoun
embargament_noun	saisie_noun
tramvia_noun	tram_noun
divisa_noun	devise_noun
erèctil_adjective	érectile_adjective
bice_propernoun	bice_propernoun
desenraonat_adjective	déraisonné_adjective
nintendo-64_propernoun	nintendo-64_propernoun
fanfarronejar_verb	fanfaronner_verb
terrádez_propernoun	terrádez_propernoun
rehidratació_noun	réhydratation_noun
cardenal_noun	cardinal_noun
amable_propernoun	amable_propernoun
aqueix_pronoun	ce_pronoun
aqueix_demonstrativepronoun	ce_demonstrativepronoun
aqueix_determiner	ce_determiner
aqueix_demonstrativepronoun	ce_demonstrativepronoun
aqueix_pronoun	ce_pronoun
aqueix_determiner	ce_determiner
prosceni_noun	proscénium_noun
jeanine_propernoun	jeanine_propernoun
berguedà_propernoun	berguedà_propernoun
parc_noun	square_noun
servomecanisme_noun	servomécanisme_noun
emprar_verb	utiliser_verb
peeraerts_propernoun	peeraerts_propernoun
juliane_propernoun	juliane_propernoun
capitalització_noun	capitalisation_noun
tros_noun	tronçon_noun
pleta_noun	enclos_noun
elisardo_propernoun	elisardo_propernoun
melo_propernoun	melo_propernoun
maleït_adjective	honni_adjective
chapman_propernoun	chapman_propernoun
caon_propernoun	caon_propernoun
seropositiu_adjective	séropositif_adjective
aparellar_verb	gréer_verb
tudela_propernoun	tudela_propernoun
gliceraldehid_noun	glycéraldéhyde_noun
calaverita_noun	calavérite_noun
bitton_propernoun	bitton_propernoun
germani_noun	germanium_noun
prudent_adjective	prudent_adjective
islamització_noun	islamisation_noun
saba_propernoun	saba_propernoun
muntanyola_propernoun	muntanyola_propernoun
conjugable_adjective	conjugable_adjective
imprescindible_adjective	indispensable_adjective
urna_noun	urne_noun
permetre_verb	permettre_verb
corrector_noun	correcteur_noun
tabitha_propernoun	tabitha_propernoun
cloquejar_verb	cliqueter_verb
aparcament_noun	parking_noun
chavero_propernoun	chavero_propernoun
liberalitat_noun	libéralité_noun
cremós_adjective	crémeux_adjective
autosatisfacció_noun	autosatisfaction_noun
alejandrina_propernoun	alejandrina_propernoun
deformació_noun	déformation_noun
maita_propernoun	maita_propernoun
electrocardiografia_noun	électrocardiographie_noun
caironar_verb	carreler_verb
equitat_noun	équité_noun
fracassar_verb	échouer_verb
monrós_propernoun	monrós_propernoun
pavón_propernoun	pavón_propernoun
baptisme_noun	baptême_noun
grand_propernoun	grand_propernoun
afrikaner_noun	afrikaner_noun
incorruptible_adjective	incorruptible_adjective
fissore_propernoun	fissore_propernoun
pa-casolà_noun	pain-maison_noun
franks_propernoun	franks_propernoun
fortunato_propernoun	fortunato_propernoun
la-vilavella_propernoun	la-vilavella_propernoun
biden_propernoun	biden_propernoun
redreçament_noun	redressement_noun
tots-nosaltres_pronoun	nous-tous_pronoun
narcotràfic_noun	narcotrafic_noun
duchetta_propernoun	duchetta_propernoun
pantagruel_propernoun	pantagruel_propernoun
fastigiat_adjective	fastigié_adjective
ideogràfic_adjective	idéographique_adjective
desjarlais_propernoun	desjarlais_propernoun
farcell_noun	baluchon_noun
misoneisme_noun	misonéisme_noun
federalisme_noun	fédéralisme_noun
reclassificació_noun	reclassification_noun
ump_noun	ump_noun
boetti_propernoun	boetti_propernoun
tiptologia_noun	typtologie_noun
regina_propernoun	regina_propernoun
froment_propernoun	froment_propernoun
