by-a-whisker_adverb	pels-pèls_adverb
oxidation_noun	oxidació_noun
eager_adjective	ansiós_adjective
sulfanilamide_noun	sulfanilamida_noun
gingival_adjective	gingival_adjective
quadruped_adjective	quadrúpede_adjective
originator_noun	originador_noun
vadillo_propernoun	vadillo_propernoun
fuzzy-set_noun	conjunt-difús_noun
twelve_numeral	dotze_numeral
serious_adjective	seriós_adjective
tract_noun	tracte_noun
even-more_adverb	encara-més_adverb
accentuation_noun	accentuació_noun
in-absentia_adverb	in-absentia_adverb
repudiation_noun	repudiació_noun
aromatic_adjective	aromàtic_adjective
viviana_propernoun	viviana_propernoun
jean-bernard_propernoun	jean-bernard_propernoun
astrologer_noun	astròleg_noun
maladjusted_adjective	inadaptat_adjective
evoy_propernoun	evoy_propernoun
laurel_noun	llorer_noun
bandwidth_noun	ample-de-banda_noun
mucci_propernoun	mucci_propernoun
déodat_propernoun	déodat_propernoun
zoning_noun	zonificació_noun
barber_propernoun	barber_propernoun
guay_propernoun	guay_propernoun
blackjack_noun	blackjack_noun
mcdonnell_propernoun	mcdonnell_propernoun
vitrectomy_noun	vitrectomia_noun
deacon_propernoun	deacon_propernoun
ultimate_adjective	definitiu_adjective
unconstitutionally_adverb	inconstitucionalment_adverb
mix_noun	barreja_noun
living_adjective	de-vida_adjective
sadist_noun	sàdic_noun
hamon_propernoun	hamon_propernoun
rosales_propernoun	rosales_propernoun
manoukian_propernoun	manoukian_propernoun
good-looking_adjective	guapo_adjective
iberia-ashland_propernoun	iberia-ashland_propernoun
device_noun	aparell_noun
fleet_noun	flota_noun
karenina_propernoun	karenina_propernoun
norno_propernoun	norno_propernoun
hepatology_noun	hepatologia_noun
megalith_noun	megàlit_noun
martucci_propernoun	martucci_propernoun
dalia_propernoun	dalia_propernoun
speaker_noun	ponent_noun
table-a-motion_verb	presentar-una-moció_verb
talia_propernoun	talia_propernoun
pounce_verb	estergir_verb
essentially_adverb	essencialment_adverb
muria_propernoun	muria_propernoun
cellulose_noun	cel·lulosa_noun
tracheotomy_noun	traqueotomia_noun
image_noun	estampa_noun
ventilation_noun	ventilació_noun
endoplasmic_adjective	endoplàsmic_adjective
repetitive_adjective	repetitiu_adjective
renault_propernoun	renault_propernoun
expire_verb	caducar_verb
irrigate_verb	regar_verb
remove_verb	retirar_verb
soria_propernoun	soria_propernoun
decrescendo_adverb	decrescendo_adverb
ugly_adjective	lleig_adjective
solemnity_noun	solemnitat_noun
virtual_adjective	virtual_adjective
corpus-based-machine-translation_noun	traducció-automàtica-basada-en-corpus_noun
pavel_propernoun	pavel_propernoun
potassium_noun	potassi_noun
pint_noun	pinta_noun
shortening_noun	abreujament_noun
belen_propernoun	belen_propernoun
aureole_noun	aurèola_noun
remember_verb	recordar_verb
presence_noun	presència_noun
breast_noun	mamella_noun
guijarro_propernoun	guijarro_propernoun
down-below_adverb	avall_adverb
assessment_noun	apreciació_noun
disconnector_noun	seccionador_noun
van_noun	camioneta_noun
joint_noun	juntura_noun
hawkins_propernoun	hawkins_propernoun
phony_adjective	farsant_adjective
plunge_verb	submergir_verb
over-time_adverb	amb-el-temps_adverb
fortune-500_propernoun	fortune-500_propernoun
detection_noun	detecció_noun
waterford_propernoun	waterford_propernoun
disrespect_noun	falta-de-respecte_noun
purple_noun	porpra_noun
metatarsus_noun	metatars_noun
uppermost_adverb	a-sobre_adverb
distress_noun	aflicció_noun
lady_noun	senyor_noun
cytodiaeresis_noun	citodièresi_noun
iorio_propernoun	iorio_propernoun
clifton_propernoun	clifton_propernoun
newton_propernoun	newton_propernoun
stride_noun	camallada_noun
montgomery_propernoun	montgomery_propernoun
juan-de-dios_propernoun	juan-de-dios_propernoun
constituent_noun	constituent_noun
pete_propernoun	pete_propernoun
from-nowhere_adverb	d'enlloc_adverb
paralinguistic_adjective	paralingüístic_adjective
blender_noun	mescladora_noun
at-the-front_adverb	al-davant_adverb
pad_noun	plataforma_noun
chronometer_noun	cronòmetre_noun
opotherapy_noun	opoteràpia_noun
lean_verb	donar-suport_verb
mercury_propernoun	mercuri_propernoun
feasible_adjective	factible_adjective
compact_verb	compactar_verb
cochlea_noun	còclea_noun
unreliable_adjective	poc-fiable_adjective
wall-in_verb	emmurallar_verb
seamlessly_adverb	sense-interrupcions_adverb
outdoor_adjective	exterior_adjective
deza_propernoun	deza_propernoun
immunocyte_noun	immunòcit_noun
smooth_verb	suavitzar_verb
bosnia_propernoun	bòsnia_propernoun
intense_adjective	intens_adjective
cater_verb	proveir_verb
falmouth_propernoun	falmouth_propernoun
biologically_adverb	biològicament_adverb
scholar_noun	becari_noun
boisclair_propernoun	boisclair_propernoun
daponte_propernoun	daponte_propernoun
terrorist_adjective	terrorista_adjective
culpability_noun	culpabilitat_noun
fibric_adjective	fíbric_adjective
hélie_propernoun	hélie_propernoun
equalise_verb	equalitzar_verb
volatile_adjective	volàtil_adjective
freedman_propernoun	freedman_propernoun
entertainment_noun	entreteniment_noun
compressibility_noun	compressibilitat_noun
superluminal_adjective	superlumínic_adjective
ride_noun	passejada_noun
carthage_propernoun	cartago_propernoun
acucio_propernoun	acucio_propernoun
elario_propernoun	elario_propernoun
alphabet_noun	alfabet_noun
renee_propernoun	renee_propernoun
enfield_propernoun	enfield_propernoun
decile_noun	decil_noun
hardship_noun	tràngol_noun
there_adverb	allí_adverb
aperture_noun	obertura_noun
then_adverb	llavors_adverb
gangster_noun	gàngster_noun
draught_noun	glop_noun
decrypt_verb	desencriptar_verb
constrained_adjective	cohibit_adjective
goyer_propernoun	goyer_propernoun
dative_adjective	datiu_adjective
on-an-individual-basis_adverb	individualment_adverb
galaxy_noun	galàxia_noun
iridoparalysis_noun	iridoparàlisi_noun
vasari_propernoun	vasari_propernoun
diet_noun	règim_noun
enclosed_adjective	tancat_adjective
mussel_noun	musclo_noun
gifford_propernoun	gifford_propernoun
keeling_propernoun	keeling_propernoun
know_verb	saber_verb
frontal_adjective	frontal_adjective
ebert_propernoun	ebert_propernoun
fascism_noun	feixisme_noun
hemoagglutination_noun	hemoaglutinació_noun
sedation_noun	sedació_noun
asymptote_noun	asímptota_noun
fons_propernoun	fons_propernoun
founder_noun	fundador_noun
ratification_noun	ratificació_noun
adjust_verb	ajustar_verb
servoamplifier_noun	servoamplificador_noun
leonor_propernoun	leonor_propernoun
trujillo_propernoun	trujillo_propernoun
trade-name_noun	nom-comercial_noun
secant_noun	secant_noun
someone_pronoun	algú_pronoun
semiaquatic_adjective	semiaquàtic_adjective
camryn_propernoun	camryn_propernoun
reservation_noun	reserva_noun
park_propernoun	park_propernoun
flamsteed_propernoun	flamsteed_propernoun
bed_noun	llit_noun
without-exception_adverb	sense-excepcions_adverb
below_adverb	avall_adverb
čssd_noun	čssd_noun
victoriana_propernoun	victoriana_propernoun
superelevation_noun	peralt_noun
sit-down_verb	seure_verb
compass_noun	compàs_noun
calafell_propernoun	calafell_propernoun
greeting_noun	salutació_noun
gurrera_propernoun	gurrera_propernoun
ashlar_noun	carreu_noun
aniano_propernoun	aniano_propernoun
nerea_propernoun	nerea_propernoun
inspection_noun	inspecció_noun
jahiem_propernoun	jahiem_propernoun
espallargas_propernoun	espallargas_propernoun
compilation_noun	compilació_noun
canonization_noun	canonització_noun
even-so_subordinatingconjunction	així-i-tot_subordinatingconjunction
charlemagne_propernoun	charlemagne_propernoun
vilagrán_propernoun	vilagrán_propernoun
sedition_noun	sedició_noun
milking_noun	munyiment_noun
gillet_propernoun	gillet_propernoun
maximilian_propernoun	maximilian_propernoun
cross-eyed_adjective	guerxo_adjective
day_noun	dia_noun
candidate_noun	candidat_noun
vlentina_propernoun	vlentina_propernoun
hydrothermal_adjective	hidrotermal_adjective
discriminate_verb	discriminar_verb
sumptuary_adjective	sumptuari_adjective
hemoblast_noun	hemoblast_noun
ethylcellulose_noun	etilcel·lulosa_noun
tandy_propernoun	tandy_propernoun
pyrenoid_noun	pirenoide_noun
synthesis_noun	síntesi_noun
julvé_propernoun	julvé_propernoun
toning_noun	viratge_noun
masana_propernoun	masana_propernoun
ageo_propernoun	ageo_propernoun
lévesque_propernoun	lévesque_propernoun
self-criticism_noun	autocrítica_noun
pinós_propernoun	pinós_propernoun
fragment_verb	fragmentar_verb
apple_propernoun	apple_propernoun
rush_noun	pressa_noun
farming_noun	agricultura_noun
bernat-mas_propernoun	bernat-mas_propernoun
far-too-long_adverb	massa-llarg_adverb
tuner_noun	sintonitzador_noun
canalisation_noun	canalització_noun
in-dire-straits_adverb	en-una-situació-desesperada_adverb
in-detail_adverb	fil-per-randa_adverb
rise_noun	augment_noun
aubrie_propernoun	aubrie_propernoun
malet_propernoun	malet_propernoun
louisjeune_propernoun	louisjeune_propernoun
prominently_adverb	prominentment_adverb
ramón-grau_propernoun	ramón-grau_propernoun
tolerable_adjective	tolerable_adjective
margarit_propernoun	margarit_propernoun
dorothy_propernoun	dorothy_propernoun
ironic_adjective	irònic_adjective
servomotor_noun	servomotor_noun
patrol_adjective	patruller_adjective
vilamala_propernoun	vilamala_propernoun
negation_noun	negació_noun
contiguity_noun	contigüitat_noun
jovino_propernoun	jovino_propernoun
joy_propernoun	joy_propernoun
temporality_noun	temporalitat_noun
bethesda-softworks_propernoun	bethesda-softworks_propernoun
niobium_noun	niobi_noun
considerably_adverb	considerablement_adverb
statically_adverb	estàticament_adverb
splendour_noun	esplendor_noun
morphometric_adjective	morfomètric_adjective
presage_verb	presagiar_verb
for-my-part_adverb	per-part-meva_adverb
lutfy_propernoun	lutfy_propernoun
praetorian_adjective	pretorià_adjective
vocalisation_noun	vocalització_noun
millie_propernoun	millie_propernoun
inspect_verb	inspeccionar_verb
speaker_noun	altaveu_noun
malory_propernoun	malory_propernoun
good-for-nothing_noun	inútil_noun
digitise_verb	digitalitzar_verb
nicaraguan_noun	nicaragüenc_noun
to-the-detriment-of_preposition	en-detriment-de_preposition
gaëtan_propernoun	gaëtan_propernoun
paul_propernoun	paul_propernoun
chiasson_propernoun	chiasson_propernoun
tunnel-boring-machine_noun	tuneladora_noun
stupidity_noun	estupidesa_noun
arnan_propernoun	arnan_propernoun
ambient_adjective	ambiental_adjective
melomaniac_adjective	melòman_adjective
criminally_adverb	criminalment_adverb
clothes_noun	vestimenta_noun
conscription_noun	allistament_noun
rina_propernoun	rina_propernoun
olivé_propernoun	olivé_propernoun
pelayo_propernoun	pelayo_propernoun
senegalese_adjective	senegalès_adjective
bind_verb	lligar_verb
carlos-casares_propernoun	carlos-casares_propernoun
individualised_adjective	individualitzat_adjective
young_adjective	jove_adjective
conoidal_adjective	conoidal_adjective
hemidemisemiquaver_noun	semifusa_noun
penal_adjective	penal_adjective
biennium_noun	bienni_noun
paraguayan_noun	paraguaià_noun
thermodynamics_noun	termodinàmica_noun
make-up_verb	inventar_verb
duchesneau_propernoun	duchesneau_propernoun
fernão_propernoun	fernão_propernoun
encarnación_propernoun	encarnación_propernoun
smoker_noun	fumador_noun
forrest_propernoun	forrest_propernoun
repayment_noun	reembossament_noun
humor_noun	humor_noun
efficiency_noun	eficàcia_noun
from-coast-to-coast_adverb	de-costa-a-costa_adverb
respect_noun	respecte_noun
peix_propernoun	peix_propernoun
ruz_propernoun	ruz_propernoun
malko_propernoun	malko_propernoun
rabbitskin_propernoun	rabbitskin_propernoun
jade_noun	jade_noun
estrangement_noun	distanciament_noun
wido_propernoun	wido_propernoun
storm_verb	atacar_verb
sidonia_propernoun	sidonia_propernoun
closa_propernoun	closa_propernoun
house-of-representatives_noun	cambra-de-representats_noun
hobby_noun	passatemps_noun
departamental_adjective	departamental_adjective
gort_propernoun	gort_propernoun
in-a-jiffy_adverb	en-un-tres-i-no-res_adverb
notch_verb	entallar_verb
coagulability_noun	coagulabilitat_noun
masachs_propernoun	masachs_propernoun
at-their-request_adverb	a-petició-seva_adverb
circassian_adjective	circassià_adjective
regenerative_adjective	regeneratiu_adjective
arcas_propernoun	arcas_propernoun
verna_propernoun	verna_propernoun
doughnut_noun	dònut_noun
chancellorsville_propernoun	chancellorsville_propernoun
wrench_noun	clau_noun
scarlet_noun	escarlata_noun
archaeologist_noun	arqueòleg_noun
identically_adverb	idènticament_adverb
marcone_propernoun	marcone_propernoun
transparently_adverb	netament_adverb
any_pronoun	cap_pronoun
swap_verb	intercanviar_verb
delay_verb	retardar_verb
fajardo_propernoun	fajardo_propernoun
wear_noun	desgast_noun
attest_verb	testificar_verb
nelly_propernoun	nelly_propernoun
ski_noun	esquí_noun
wall_noun	tàpia_noun
ichthyology_noun	ictiologia_noun
totalitarianism_noun	totalitarisme_noun
inadmissibility_noun	improcedència_noun
ridicule_verb	ridiculitzar_verb
singular_adjective	singular_adjective
bonnie_propernoun	bonnie_propernoun
marion_propernoun	marion_propernoun
dissonant_adjective	dissonant_adjective
efrain_propernoun	efrain_propernoun
cappadocia_propernoun	capadòcia_propernoun
machado_propernoun	machado_propernoun
nolin_propernoun	nolin_propernoun
move-away_verb	allunyar_verb
arpa_propernoun	arpa_propernoun
talía_propernoun	talía_propernoun
garin_propernoun	garin_propernoun
cunha_propernoun	cunha_propernoun
sharecropper_noun	parcer_noun
playstation-4_propernoun	playstation-4_propernoun
haines_propernoun	haines_propernoun
lorange_propernoun	lorange_propernoun
brush_noun	escombreta_noun
overseas_adverb	a-l'estranger_adverb
constitutive_adjective	constitutiu_adjective
biopic_noun	pel·lícula-biogràfica_noun
enoc_propernoun	enoc_propernoun
jawad_propernoun	jawad_propernoun
durrës_propernoun	durrës_propernoun
devonian_adjective	devonià_adjective
macie_propernoun	macie_propernoun
recommend_verb	recomanar_verb
laporte_propernoun	laporte_propernoun
horowitz_propernoun	horowitz_propernoun
often_adverb	sovint_adverb
vaporise_verb	vaporitzar_verb
oleoplast_noun	eleoplast_noun
somersault_noun	giravolt_noun
nicolaus_propernoun	nicolaus_propernoun
bronze_verb	bronzejar_verb
dativa_propernoun	dativa_propernoun
figure_verb	imaginar_verb
blado_propernoun	blado_propernoun
thirty-first_adjective	trenta-unè_adjective
flawed_adjective	defectuós_adjective
aslan_propernoun	àslan_propernoun
koine_noun	koiné_noun
cigarette_noun	cigarret_noun
romanization_noun	romanització_noun
srivijaya_propernoun	srivijaya_propernoun
trinitario_propernoun	trinitario_propernoun
wesley_propernoun	wesley_propernoun
santa_propernoun	santa_propernoun
finally_adverb	a-la-fi_adverb
lockout_noun	locaut_noun
micromodule_noun	micromòdul_noun
balancemeter_noun	balancímetre_noun
sandbinder_noun	aglutinant_noun
estropadak_noun	estropadak_noun
roso_propernoun	roso_propernoun
ravage_verb	devastar_verb
teodocio_propernoun	teodocio_propernoun
electrogravimetry_noun	electrogravimetria_noun
organic_adjective	orgànic_adjective
poulin_propernoun	poulin_propernoun
next-december_adverb	el-desembre-vinent_adverb
mompart_propernoun	mompart_propernoun
mcvie_propernoun	mcvie_propernoun
receiver_noun	auricular_noun
mera_propernoun	mera_propernoun
in-all-fairness_adverb	amb-tota-justícia_adverb
per-person_adverb	per-persona_adverb
layer_noun	estrat_noun
mandelson_propernoun	mandelson_propernoun
hypercapnia_noun	hipercàpnia_noun
meantime_adverb	mentrestant_adverb
magrané_propernoun	magrané_propernoun
according_preposition	segons_preposition
casanova_propernoun	casanova_propernoun
healthcare_noun	salut_noun
at-an-angle_adverb	d'esbiaixada_adverb
granville_propernoun	granville_propernoun
leocadia_propernoun	leocadia_propernoun
artwork_noun	il·lustració_noun
paz_propernoun	paz_propernoun
grieve_verb	apesarar_verb
nitrification_noun	nitrificació_noun
pronominalisation_noun	pronominalització_noun
leeds_propernoun	leeds_propernoun
normand_propernoun	normand_propernoun
angkor_propernoun	angkor_propernoun
pultrusion_noun	pultrusió_noun
arnaz_propernoun	arnaz_propernoun
epicurus_propernoun	epicur_propernoun
safari_noun	safari_noun
mash_verb	amassar_verb
dimer_noun	dímer_noun
pageau_propernoun	pageau_propernoun
inshore-fishing_noun	pesca-litoral_noun
bujan_propernoun	bujan_propernoun
gotha_propernoun	gotha_propernoun
grace_propernoun	grace_propernoun
desinvestment_noun	desinversió_noun
histamine_noun	histamina_noun
auditory_adjective	auditiu_adjective
programming_noun	programació_noun
copper_noun	coure_noun
milne_propernoun	milne_propernoun
molarity_noun	molaritat_noun
papadopoulos_propernoun	papadopoulos_propernoun
dielectric_adjective	dielèctric_adjective
ninja_noun	ninja_noun
itself_pronoun	ell-mateix_pronoun
abominable_adjective	abominable_adjective
range_verb	variar_verb
function_noun	funció_noun
arduously_adverb	àrduament_adverb
boismenu_propernoun	boismenu_propernoun
flow_noun	flux_noun
male_noun	home_noun
steep_adjective	inclinat_adjective
morulation_noun	morulació_noun
compel_verb	obligar_verb
castelló_propernoun	castelló_propernoun
faustin_propernoun	faustin_propernoun
inflammable_adjective	inflamable_adjective
hydrophobic_adjective	hidrofòbic_adjective
mayor_noun	batlle_noun
morvan_propernoun	morvan_propernoun
into-vogue_adverb	en-voga_adverb
bast_noun	líber_noun
coordinate_verb	coordinar_verb
milun_propernoun	milun_propernoun
float_verb	surar_verb
aftermath_noun	conseqüència_noun
isomery_noun	isomeria_noun
part_noun	part_noun
noel_propernoun	noel_propernoun
yvain_propernoun	yvain_propernoun
tropical_adjective	tropical_adjective
cinaras_propernoun	cinaras_propernoun
notburga_propernoun	notburga_propernoun
zenaires_propernoun	zenaires_propernoun
abdu_propernoun	abdu_propernoun
cesia_propernoun	cesia_propernoun
isostasy_noun	isostàsia_noun
pavement_noun	vorera_noun
tortorici_propernoun	tortorici_propernoun
apoptosis_noun	apoptosi_noun
reches_propernoun	reches_propernoun
conducive_adjective	conduciu_adjective
fiji_propernoun	fiji_propernoun
intracellular_adjective	intracel·lular_adjective
jonah_propernoun	jonah_propernoun
posthumously_adverb	pòstumament_adverb
josep-lluís-cleries-i-gonzàlez_propernoun	josep-lluís-cleries-i-gonzàlez_propernoun
chowdhury_propernoun	chowdhury_propernoun
impaired_adjective	discapacitat_adjective
simmons_propernoun	simmons_propernoun
officiality_noun	oficialitat_noun
tejedor_propernoun	tejedor_propernoun
neyen_propernoun	neyen_propernoun
monegasque_adjective	monegasc_adjective
titanic_adjective	titànic_adjective
in-reality_adverb	en-realitat_adverb
peñuela_propernoun	peñuela_propernoun
tetris_propernoun	tetris_propernoun
optician_noun	òptic_noun
alberto_propernoun	alberto_propernoun
hitchhiking_noun	autoestop_noun
innovation_noun	innovació_noun
survivor_noun	sobrevivent_noun
blain_propernoun	blain_propernoun
technique_noun	tècnica_noun
hijano_propernoun	hijano_propernoun
brocal_propernoun	brocal_propernoun
defibrillation_noun	desfibril·lació_noun
loyola_propernoun	loyola_propernoun
fisher_propernoun	fisher_propernoun
paisley_propernoun	paisley_propernoun
object_noun	objectiu_noun
saliba_propernoun	saliba_propernoun
cane_noun	canya_noun
quoquochi_propernoun	quoquochi_propernoun
nag_noun	rossí_noun
persecution_noun	persecució_noun
impediment_noun	impediment_noun
sufficiency_noun	suficiència_noun
valentí_propernoun	valentí_propernoun
uganda_propernoun	uganda_propernoun
quran_propernoun	alcorà_propernoun
borate_noun	borat_noun
nicolino_propernoun	nicolino_propernoun
meander_verb	serpejar_verb
arable_adjective	cultivable_adjective
gollain_propernoun	gollain_propernoun
nisim_propernoun	nisim_propernoun
spondylolisthesis_noun	espondilolitesi_noun
darwinian_adjective	darwinià_adjective
my_possessivepronoun	el-meu_possessivepronoun
my_determiner	el-meu_determiner
my_possessivepronoun	el-meu_possessivepronoun
my_determiner	el-meu_determiner
my_pronoun	el-meu_pronoun
my_possessivepronoun	el-meu_possessivepronoun
my_determiner	el-meu_determiner
bandit_noun	bandit_noun
lorry-driver_noun	camioner_noun
aniceto_propernoun	aniceto_propernoun
brook_propernoun	brook_propernoun
falgás_propernoun	falgás_propernoun
continuum_noun	contínuum_noun
fetal_adjective	fetal_adjective
imperative_adjective	imperatiu_adjective
eleázar_propernoun	eleázar_propernoun
estimation_noun	estimació_noun
betiana_propernoun	betiana_propernoun
jareño_propernoun	jareño_propernoun
prefecture_noun	prefectura_noun
prolapse_noun	prolapse_noun
leocadio_propernoun	leocadio_propernoun
bossé_propernoun	bossé_propernoun
faun_noun	faune_noun
voiceless_adjective	sense-veu_adjective
presentable_adjective	presentable_adjective
authentication_noun	autenticació_noun
hurley_propernoun	hurley_propernoun
zinc_noun	zinc_noun
microsoft-excel_propernoun	microsoft-excel_propernoun
anaclitic_adjective	anaclític_adjective
laudine_propernoun	laudine_propernoun
hewrey_propernoun	hewrey_propernoun
nelo_propernoun	nelo_propernoun
paris_propernoun	paris_propernoun
candelaria_propernoun	candelaria_propernoun
december_noun	desembre_noun
descôteaux_propernoun	descôteaux_propernoun
kimberley_propernoun	kimberley_propernoun
vittorio_propernoun	vittorio_propernoun
imprecision_noun	imprecisió_noun
eustaquio_propernoun	eustaquio_propernoun
luckily_adverb	per-sort_adverb
ayodhya_propernoun	ayodhya_propernoun
caustic_adjective	càustic_adjective
philie_propernoun	philie_propernoun
allan_propernoun	allan_propernoun
melamine_noun	melamina_noun
longitude_noun	longitud_noun
brush_verb	raspallar_verb
margaux_propernoun	margaux_propernoun
aristófanis_propernoun	aristófanis_propernoun
paladio_propernoun	paladio_propernoun
carotid_noun	caròtide_noun
escarré_propernoun	escarré_propernoun
vale_noun	vall_noun
sanroma_propernoun	sanroma_propernoun
kampala_propernoun	kampala_propernoun
kuratowski_propernoun	kuratowski_propernoun
tie_noun	empat_noun
eagle_noun	àguila_noun
joannette_propernoun	joannette_propernoun
obelisk_noun	obelisc_noun
quezada_propernoun	quezada_propernoun
fringe_noun	serrell_noun
lizbeth_propernoun	lizbeth_propernoun
overdeepening_noun	sobreexcavació_noun
marquis_propernoun	marquis_propernoun
hypocaust_noun	hipocaust_noun
tailly_propernoun	tailly_propernoun
portico_noun	pòrtic_noun
courtesy_noun	cortesia_noun
plantain_noun	banana-mascle_noun
dandy_noun	dandi_noun
firewood_noun	llenya_noun
in-regard-to_preposition	en-relació-amb_preposition
phasor_noun	fasor_noun
cold_adjective	fred_adjective
refer_verb	referir_verb
by-and-large_adverb	en-general_adverb
savanna_noun	sabana_noun
third_noun	terç_noun
archbishop_noun	arquebisbe_noun
intricate_adjective	complex_adjective
lehouillier_propernoun	lehouillier_propernoun
gaset_propernoun	gaset_propernoun
toulouse_propernoun	tolosa-de-llenguadoc_propernoun
duplantie_propernoun	duplantie_propernoun
blinding_adjective	encegador_adjective
rossini_propernoun	rossini_propernoun
unsure_adjective	insegur_adjective
saladié_propernoun	saladié_propernoun
chitin_noun	quitina_noun
india_propernoun	india_propernoun
inheritance_noun	herència_noun
lavilla_propernoun	lavilla_propernoun
wilting_noun	pansiment_noun
corrales_propernoun	corrales_propernoun
only-this-way_adverb	només-d'aquesta-manera_adverb
linger_verb	persistir_verb
ohmmeter_noun	òhmmetre_noun
accentuate_verb	accentuar_verb
aldabo_propernoun	aldabo_propernoun
set-up_verb	convocar_verb
please_interjection	si-us-plau_interjection
on-condition-that_subordinatingconjunction	a-condició-que_subordinatingconjunction
bayes_propernoun	bayes_propernoun
sour_adjective	agre_adjective
albida_propernoun	albida_propernoun
cunillera_propernoun	cunillera_propernoun
promise_verb	prometre_verb
discover_verb	descobrir_verb
monumental_adjective	monumental_adjective
hétu_propernoun	hétu_propernoun
crest_noun	cresta_noun
omarion_propernoun	omarion_propernoun
act_verb	obrar_verb
everard_propernoun	everard_propernoun
atrophy_noun	atròfia_noun
dubois_propernoun	dubois_propernoun
amphetamine_noun	amfetamina_noun
administratively_adverb	administrativament_adverb
consider_verb	donar-per_verb
cisse_propernoun	cisse_propernoun
hippocratic_adjective	hipocràtic_adjective
conchoid_noun	concoide_noun
molotov-cocktail_noun	còctel-molotov_noun
hackett_propernoun	hackett_propernoun
