ilegitimamente_adverb	il·legítimament_adverb
bissau_propernoun	bissau_propernoun
supersticioso_adjective	supersticiós_adjective
bibliograficamente_adverb	bibliogràficament_adverb
marisco_noun	marisc_noun
decorativamente_adverb	decorativament_adverb
osterberger_propernoun	osterberger_propernoun
pennoni_propernoun	pennoni_propernoun
refrigeração_noun	refrigeració_noun
muito_adverb	molt_adverb
cendrós_propernoun	cendrós_propernoun
santa-coloma-de-queralt_propernoun	santa-coloma-de-queralt_propernoun
embriagador_adjective	embriagador_adjective
castelhanização_noun	castellanització_noun
sacristão_noun	sagristà_noun
chirilov_propernoun	chirilov_propernoun
eh_interjection	eh_interjection
plasse_propernoun	plasse_propernoun
friedman_propernoun	friedman_propernoun
a-cabo-de_preposition	al-cap-de_preposition
rural_adjective	rural_adjective
somatório_noun	sumatori_noun
desaparelhado_adjective	desaparellat_adjective
mitificação_noun	mitificació_noun
sobreiral_noun	roureda_noun
molaison_propernoun	molaison_propernoun
st-jacques_propernoun	st-jacques_propernoun
paraguaio_noun	paraguaià_noun
fattorini_propernoun	fattorini_propernoun
época_noun	època_noun
constituir_verb	constituir_verb
racionalista_noun	racionalista_noun
occhipinti_propernoun	occhipinti_propernoun
donadi_propernoun	donadi_propernoun
iônico_adjective	iònic_adjective
tauste_propernoun	tauste_propernoun
marcescível_adjective	marcescible_adjective
arbitrariedade_noun	arbitrarietat_noun
salineiro_adjective	saliner_adjective
abolicionismo_noun	abolicionisme_noun
laurier_propernoun	laurier_propernoun
crawford_propernoun	crawford_propernoun
ante_preposition	davant_preposition
esteárico_adjective	esteàric_adjective
casadesús_propernoun	casadesús_propernoun
waldenor_propernoun	waldenor_propernoun
faustin_propernoun	faustin_propernoun
aforístico_adjective	aforístic_adjective
vasco_noun	basc_noun
vilagrassa_propernoun	vilagrassa_propernoun
danis_propernoun	danis_propernoun
modular_adjective	modular_adjective
unsdorfer_propernoun	unsdorfer_propernoun
consola_noun	consola_noun
vingança_noun	venjança_noun
secundariamente_adverb	secundàriament_adverb
buist_propernoun	buist_propernoun
tripolitano_adjective	tripolità_adjective
iruin_propernoun	iruin_propernoun
desorientado_adjective	desorientat_adjective
bricault_propernoun	bricault_propernoun
muixí_propernoun	muixí_propernoun
vivaldo_propernoun	vivaldo_propernoun
clareza_noun	claredat_noun
trapero_propernoun	trapero_propernoun
vermelho_adjective	roig_adjective
investigador_noun	investigador_noun
salvail_propernoun	salvail_propernoun
gamisans_propernoun	gamisans_propernoun
santuário_noun	santuari_noun
de-rua_adjective	de-carrer_adjective
delachevrotière_propernoun	delachevrotière_propernoun
flórida_propernoun	florida_propernoun
sant-esteve-de-la-sarga_propernoun	sant-esteve-de-la-sarga_propernoun
bisagno_propernoun	bisagno_propernoun
magrans_propernoun	magrans_propernoun
aragay_propernoun	aragay_propernoun
frondoso_adjective	frondós_adjective
abasolo_propernoun	abasolo_propernoun
expansibilidade_noun	expansibilitat_noun
cério_noun	ceri_noun
diminuto_adjective	diminut_adjective
ânsia_noun	ànsia_noun
castellaneta_propernoun	castellaneta_propernoun
octogenário_adjective	octogenari_adjective
cosmográfico_adjective	cosmogràfic_adjective
von-kleist_propernoun	von-kleist_propernoun
recriminação_noun	recriminació_noun
nitrogênio_noun	nitrogen_noun
puebla_propernoun	puebla_propernoun
campins_propernoun	campins_propernoun
chatelois_propernoun	chatelois_propernoun
contijoch_propernoun	contijoch_propernoun
abi-ackel_propernoun	abi-ackel_propernoun
jacas_propernoun	jacas_propernoun
troca_noun	recanvi_noun
digard_propernoun	digard_propernoun
de-perto_adverb	de-prop_adverb
encinas_propernoun	encinas_propernoun
candelas_propernoun	candelas_propernoun
consciente_noun	conscient_noun
beaufort_propernoun	beaufort_propernoun
velho_propernoun	velho_propernoun
elvira_propernoun	elvira_propernoun
pirâmide_noun	piràmide_noun
osorio_propernoun	osorio_propernoun
décosse_propernoun	décosse_propernoun
gonocórico_adjective	gonocòric_adjective
wallach_propernoun	wallach_propernoun
horrífico_adjective	horrífic_adjective
martorelli_propernoun	martorelli_propernoun
dolz_propernoun	dolz_propernoun
desempenhar_verb	dur-a-terme_verb
encolher_verb	encongir_verb
ideologia_noun	ideologia_noun
desintegrador_adjective	desintegrador_adjective
lapidoso_adjective	lapidós_adjective
rigorosidade_noun	rigorositat_noun
gervásio_propernoun	gervásio_propernoun
fuentes-de-ayódar_propernoun	fuentes-de-ayódar_propernoun
personagem_noun	personatge_noun
incurável_adjective	incurable_adjective
viciana_propernoun	viciana_propernoun
mallol_propernoun	mallol_propernoun
legislador_noun	legislador_noun
cláusula_noun	clàusula_noun
becerra_propernoun	becerra_propernoun
svetlana_propernoun	svetlana_propernoun
bálcãs_propernoun	balcans_propernoun
marchal_propernoun	marchal_propernoun
leblanc_propernoun	leblanc_propernoun
visigótico_adjective	visigòtic_adjective
duplicação_noun	duplicació_noun
fobia_noun	fòbia_noun
gnomónico_adjective	gnomònic_adjective
humanes_propernoun	humanes_propernoun
palmer_propernoun	palmer_propernoun
imaterial_adjective	immaterial_adjective
themens_propernoun	themens_propernoun
fiorelli_propernoun	fiorelli_propernoun
compulsivo_adjective	compulsiu_adjective
matador_adjective	matador_adjective
cucurull_propernoun	cucurull_propernoun
hacker_noun	hacker_noun
waneta_propernoun	waneta_propernoun
eucariota_noun	eucariota_noun
microbiólogo_noun	microbiòleg_noun
parasitologista_noun	parasitòleg_noun
piermartini_propernoun	piermartini_propernoun
costiniu_propernoun	costiniu_propernoun
trastámaras_propernoun	trastàmares_propernoun
juvé_propernoun	juvé_propernoun
flames_propernoun	flames_propernoun
forcada_propernoun	forcada_propernoun
bonada_propernoun	bonada_propernoun
dario_propernoun	darios_propernoun
fato_noun	fet_noun
gautama_propernoun	gautama_propernoun
biólogo_noun	biòleg_noun
olfação_noun	olfacció_noun
extracurricular_adjective	extracurricular_adjective
escudeiro_noun	escuder_noun
anabático_adjective	anabàtic_adjective
indonésio_noun	indonesi_noun
godoy_propernoun	godoy_propernoun
gallinella_propernoun	gallinella_propernoun
peninha_propernoun	peninha_propernoun
permutabilidade_noun	permutabilitat_noun
incrementar_verb	incrementar_verb
castell-platja-d'aro_propernoun	castell-platja-d'aro_propernoun
martinazzoli_propernoun	martinazzoli_propernoun
scanio_propernoun	scanio_propernoun
kremlin_propernoun	kremlin_propernoun
foz_noun	desembocadura_noun
halde_propernoun	halde_propernoun
muscularmente_adverb	muscularment_adverb
bargues_propernoun	bargues_propernoun
renúncia_noun	renúncia_noun
adultério_noun	adulteri_noun
fulbright_propernoun	fulbright_propernoun
amigdalectomia_noun	amigdalectomia_noun
cordado_adjective	cordat_adjective
ganau_propernoun	ganau_propernoun
lippe_propernoun	lippe_propernoun
ludendorff_propernoun	ludendorff_propernoun
asserção_noun	asserció_noun
palmero_propernoun	palmero_propernoun
chaparro_propernoun	chaparro_propernoun
doente_adjective	malalt_adjective
salomão_propernoun	salomão_propernoun
elipse_noun	el·lipse_noun
logar_verb	connectar_verb
mirada_propernoun	mirada_propernoun
angrill_propernoun	angrill_propernoun
gravanço_noun	cigró_noun
tyler_propernoun	tyler_propernoun
ejaculador_adjective	ejaculador_adjective
lavarra_propernoun	lavarra_propernoun
fotolitografia_noun	fotolitografia_noun
karaté_noun	karate_noun
frigola_propernoun	frigola_propernoun
fisiográfico_adjective	fisiogràfic_adjective
fabricar_verb	fabricar_verb
kemp_propernoun	kemp_propernoun
bisceglie_propernoun	bisceglie_propernoun
estrangeiro_noun	estranger_noun
reabilitar_verb	rehabilitar_verb
ástato_noun	àstat_noun
argüeso_propernoun	argüeso_propernoun
fernández_propernoun	fernández_propernoun
faulkner_propernoun	faulkner_propernoun
persuasão_noun	persuasió_noun
recomendação_noun	recomanació_noun
bisaillon_propernoun	bisaillon_propernoun
ureteral_adjective	ureteral_adjective
algoritmo_noun	algorisme_noun
reificação_noun	reificació_noun
saída_noun	sortida_noun
vazio_propernoun	vazio_propernoun
dangelo_propernoun	dangelo_propernoun
bem-como_subordinatingconjunction	així-com_subordinatingconjunction
operacionalmente_adverb	operacionalment_adverb
deficit_noun	dèficit_noun
liberalizador_adjective	liberalitzador_adjective
desemparelhado_adjective	desemparellat_adjective
santiago_propernoun	santiago_propernoun
abril_noun	abril_noun
mcguire_propernoun	mcguire_propernoun
comentar_verb	comentar_verb
bergüzar_propernoun	bergüzar_propernoun
consulado_noun	consulat_noun
lennon_propernoun	lennon_propernoun
truman_propernoun	truman_propernoun
sharma_propernoun	sharma_propernoun
epistemológico_adjective	epistemològic_adjective
exculpação_noun	exculpació_noun
improcedente_adjective	improcedent_adjective
sol_noun	sol_noun
gasper_propernoun	gasper_propernoun
jannaccone_propernoun	jannaccone_propernoun
eremia_propernoun	eremia_propernoun
lozoya_propernoun	lozoya_propernoun
ilírio_adjective	il·liri_adjective
matth_propernoun	matth_propernoun
filarmónico_adjective	filharmònic_adjective
recobrável_adjective	recobrable_adjective
veneziale_propernoun	veneziale_propernoun
recuperador_adjective	recuperador_adjective
beijo_noun	bes_noun
villaescusa_propernoun	villaescusa_propernoun
moncayo_propernoun	moncayo_propernoun
empatar_verb	empatar_verb
colli_propernoun	colli_propernoun
pronunciável_adjective	pronunciable_adjective
tirador_adjective	tirador_adjective
tessálico_adjective	tessàlic_adjective
wyoming_propernoun	wyoming_propernoun
reuters_propernoun	reuters_propernoun
licenciado_noun	llicenciat_noun
datador_noun	datador_noun
villanueva_propernoun	villanueva_propernoun
banu_propernoun	banu_propernoun
hannie_propernoun	hannie_propernoun
bartolomé_propernoun	bartolomé_propernoun
publicidade_noun	publicitat_noun
armesto_propernoun	armesto_propernoun
formiga_noun	formiga_noun
oração_noun	pregària_noun
carbonizar_verb	carbonitzar_verb
alucinação_noun	al·lucinació_noun
avril_propernoun	avril_propernoun
ferroviariamente_adverb	ferroviàriament_adverb
pastorino_propernoun	pastorino_propernoun
medievalidade_noun	medievalitat_noun
sultanado_noun	sultanat_noun
iztueta_propernoun	iztueta_propernoun
nissan_propernoun	nissan_propernoun
altura_noun	altura_noun
camp_propernoun	camp_propernoun
rahaman_propernoun	rahaman_propernoun
disparar_verb	disparar_verb
almeda_propernoun	almeda_propernoun
byron_propernoun	byron_propernoun
montagnino_propernoun	montagnino_propernoun
agostini_propernoun	agostini_propernoun
mallafré_propernoun	mallafré_propernoun
revert_propernoun	revert_propernoun
marqués_propernoun	marqués_propernoun
kipling_propernoun	kipling_propernoun
organização_noun	organització_noun
pernicioso_adjective	perniciós_adjective
cadel_propernoun	cadel_propernoun
canalha_adjective	canalla_adjective
noroeste_noun	nord-oest_noun
mínimo_adjective	mínim_adjective
festivamente_adverb	festivament_adverb
bonner_propernoun	bonner_propernoun
imbeni_propernoun	imbeni_propernoun
viérin_propernoun	viérin_propernoun
esteticamente_adverb	estèticament_adverb
ardentoso_adjective	ardentós_adjective
filsaime_propernoun	filsaime_propernoun
orozco_propernoun	orozco_propernoun
derrota_noun	desfeta_noun
alcalá_propernoun	alcalá_propernoun
binariamente_adverb	binàriament_adverb
nosso_adjective	nostre_adjective
nosso_adjective	nostre_adjective
nosso_possessivepronoun	nostre_possessivepronoun
nosso_adjective	nostre_adjective
siguenza_propernoun	siguenza_propernoun
silenciador_noun	silenciador_noun
llamazares_propernoun	llamazares_propernoun
transnacional_adjective	transnacional_adjective
marchildon_propernoun	marchildon_propernoun
barnes_propernoun	barnes_propernoun
tênis_noun	tenis_noun
soses_propernoun	soses_propernoun
debonis_propernoun	debonis_propernoun
nabokov_propernoun	nabókov_propernoun
martínez_propernoun	martínez_propernoun
chamberland_propernoun	chamberland_propernoun
gandia_propernoun	gandia_propernoun
amnistiar_verb	amnistiar_verb
ao-todo_adverb	en-total_adverb
mediterrâneo_propernoun	mediterrània_propernoun
proibição_noun	prohibició_noun
representador_adjective	representador_adjective
bellcaire-d'empordà_propernoun	bellcaire-d'empordà_propernoun
muguruza_propernoun	muguruza_propernoun
malonda_propernoun	malonda_propernoun
carvão_noun	carbó_noun
kusstatscher_propernoun	kusstatscher_propernoun
stirner_propernoun	stirner_propernoun
conflito_noun	conflicte_noun
demagogicamente_adverb	demagògicament_adverb
sola_propernoun	sola_propernoun
macroeconômico_adjective	macroeconòmic_adjective
sevícia_noun	sevícia_noun
inofensivo_adjective	inofensiu_adjective
vidigal_propernoun	vidigal_propernoun
pontils_propernoun	pontils_propernoun
totalitário_adjective	totalitari_adjective
chover_verb	ploure_verb
parisiense_adjective	parisenc_adjective
generalizável_adjective	generalitzable_adjective
azar_propernoun	azar_propernoun
benifaió_propernoun	benifaió_propernoun
short_propernoun	short_propernoun
epagógico_adjective	epagògic_adjective
erigir_verb	erigir_verb
platônico_adjective	platònic_adjective
planamente_adverb	planament_adverb
rancoroso_adjective	rancorós_adjective
homero_propernoun	homer_propernoun
desratização_noun	desratització_noun
falconio_propernoun	falconio_propernoun
rusu_propernoun	rusu_propernoun
marchini_propernoun	marchini_propernoun
von-bremen_propernoun	von-bremen_propernoun
quase_adverb	quasi_adverb
numeral_adjective	numeral_adjective
st-cyr_propernoun	st-cyr_propernoun
alceu_propernoun	alceu_propernoun
palau-saverdera_propernoun	palau-saverdera_propernoun
espécie_noun	espècie_noun
alaska_propernoun	alaska_propernoun
saba_propernoun	saba_propernoun
hilton_propernoun	hilton_propernoun
túlio_propernoun	túlio_propernoun
de-ganga_adjective	texà_adjective
adaptador_adjective	adaptador_adjective
cobalto_noun	cobalt_noun
parasito_noun	paràsit_noun
alacala_propernoun	alacala_propernoun
zurinaga_propernoun	zurinaga_propernoun
opugnação_noun	opugnació_noun
algorfa_propernoun	algorfa_propernoun
documental_adjective	documental_adjective
eleição_noun	comici_noun
estorninho_noun	estornell_noun
credor_noun	creditor_noun
dianteiro_adjective	davanter_adjective
aitchison_propernoun	aitchison_propernoun
finalização_noun	finalització_noun
tráfico_noun	tràfic_noun
frangível_adjective	frangible_adjective
en-breve_adverb	aviat_adverb
resiliente_adjective	resilient_adjective
berço_noun	moll_noun
preguiça_noun	mandra_noun
sotoca_propernoun	sotoca_propernoun
mckeown_propernoun	mckeown_propernoun
chaplin_propernoun	chaplin_propernoun
enérgico_adjective	enèrgic_adjective
hispano-americano_noun	hispanoamericà_noun
individualista_noun	individualista_noun
aumont_propernoun	aumont_propernoun
vasseur_propernoun	vasseur_propernoun
roby_propernoun	roby_propernoun
arnán_propernoun	arnán_propernoun
vadio_adjective	vagabund_adjective
vizzini_propernoun	vizzini_propernoun
barbara_propernoun	barbara_propernoun
baltrons_propernoun	baltrons_propernoun
corunha_propernoun	la-corunya_propernoun
interioridade_noun	interioritat_noun
massaoudi_propernoun	massaoudi_propernoun
ressuscitar_verb	ressuscitar_verb
crouch_propernoun	crouch_propernoun
sinal_noun	senyal_noun
congénito_adjective	congènit_adjective
índice_noun	índex_noun
efémero_adjective	efímer_adjective
leccisi_propernoun	leccisi_propernoun
monier_propernoun	monier_propernoun
incontrastável_adjective	incontrastable_adjective
portaña_propernoun	portaña_propernoun
calvi_propernoun	calvi_propernoun
faucal_adjective	faucal_adjective
eternidade_noun	eternitat_noun
em-potencial_adverb	en-potència_adverb
limitação_noun	limitació_noun
longpré_propernoun	longpré_propernoun
guimond_propernoun	guimond_propernoun
roquetes_propernoun	roquetes_propernoun
xiang_propernoun	xiang_propernoun
mansour_propernoun	mansour_propernoun
isentrópico_adjective	isentròpic_adjective
exosfera_noun	exosfera_noun
endossador_adjective	endossador_adjective
autocarro_noun	autobús_noun
paisagem_noun	paisatge_noun
amazônico_adjective	amazònic_adjective
diacrônico_adjective	diacrònic_adjective
frias_propernoun	frias_propernoun
ducal_adjective	ducal_adjective
eletroquímico_adjective	electroquímic_adjective
comunicador_noun	comunicador_noun
trespidi_propernoun	trespidi_propernoun
ivars_propernoun	ivars_propernoun
goergen_propernoun	goergen_propernoun
imensamente_adverb	immensament_adverb
black_propernoun	black_propernoun
santana_propernoun	santana_propernoun
pélissier_propernoun	pélissier_propernoun
servidor-público_noun	funcionari_noun
anne-marie_propernoun	anne-marie_propernoun
genésico_adjective	genèsic_adjective
sinalizar_verb	senyalitzar_verb
recepção_noun	recepció_noun
cami_propernoun	cami_propernoun
huberdeau_propernoun	huberdeau_propernoun
broomfield_propernoun	broomfield_propernoun
albiol_propernoun	albiol_propernoun
st-vincent_propernoun	st-vincent_propernoun
obediencial_adjective	obediencial_adjective
pedaço_noun	tros_noun
satriani_propernoun	satriani_propernoun
ehm_propernoun	ehm_propernoun
larrañaga_propernoun	larrañaga_propernoun
arménio_adjective	armeni_adjective
biocompatibilidade_noun	biocompatibilitat_noun
parcial_adjective	parcial_adjective
julieta_propernoun	julieta_propernoun
deformidade_noun	deformitat_noun
farisaico_adjective	farisaic_adjective
olímpia_propernoun	olímpia_propernoun
ghimpu_propernoun	ghimpu_propernoun
boulianne_propernoun	boulianne_propernoun
excelência_noun	excel·lència_noun
premissa_noun	premissa_noun
antipróton_noun	antiprotó_noun
infetante_adjective	infectant_adjective
milênio_noun	mil·lenni_noun
cheviet_propernoun	cheviet_propernoun
balcãs_propernoun	balcans_propernoun
reativação_noun	reactivació_noun
brezzi_propernoun	brezzi_propernoun
melanésia_propernoun	melanèsia_propernoun
guaman_propernoun	guaman_propernoun
simònides_propernoun	simònides_propernoun
irresistível_adjective	irresistible_adjective
santonocito_propernoun	santonocito_propernoun
individualizável_adjective	individualitzable_adjective
masri_propernoun	masri_propernoun
bonache_propernoun	bonache_propernoun
terraza_propernoun	terraza_propernoun
excreção_noun	excreció_noun
unitariamente_adverb	unitàriament_adverb
desarme_noun	desarmament_noun
caranguejo_noun	cranc_noun
triásico_adjective	triàsic_adjective
igualmente_adverb	igualment_adverb
papoila_noun	rosella_noun
casquero_propernoun	casquero_propernoun
oncina_propernoun	oncina_propernoun
irreflexão_noun	irreflexió_noun
menéndez_propernoun	menéndez_propernoun
acusado_noun	acusat_noun
bethlem_propernoun	bethlem_propernoun
incivilizado_adjective	incivilitzat_adjective
torrador_adjective	torrador_adjective
grilli_propernoun	grilli_propernoun
francino_propernoun	francino_propernoun
liso_adjective	llis_adjective
ortogonal_adjective	ortogonal_adjective
quaquero_propernoun	quaquero_propernoun
brais_propernoun	brais_propernoun
monge_propernoun	monge_propernoun
demoníaco_adjective	demoníac_adjective
estoicamente_adverb	estoicament_adverb
cornella_propernoun	cornella_propernoun
zarro_propernoun	zarro_propernoun
tesoureiro_noun	tresorer_noun
vermelhoso_adjective	vermellós_adjective
dactilográfico_adjective	dactilogràfic_adjective
incessável_adjective	incessable_adjective
paleográfico_adjective	paleogràfic_adjective
pol_propernoun	pol_propernoun
instaurável_adjective	instaurable_adjective
modernizador_adjective	modernitzador_adjective
algum_pronoun	algun_pronoun
redón_propernoun	redón_propernoun
uruguaio_adjective	uruguaià_adjective
sexagésimo-terceiro_adjective	seixanta-tresè_adjective
arabi_propernoun	arabi_propernoun
bossa_propernoun	bossa_propernoun
arrendamento_noun	arrendament_noun
fabricante_noun	fabricant_noun
barbareschi_propernoun	barbareschi_propernoun
carda_propernoun	carda_propernoun
mcadoo_propernoun	mcadoo_propernoun
vitalista_adjective	vitalista_adjective
familiar_adjective	familiar_adjective
a-favor_adverb	a-favor_adverb
weinstein_propernoun	weinstein_propernoun
maçador_adjective	avorrit_adjective
particularidade_noun	particularitat_noun
marquis_propernoun	marquis_propernoun
conceitual_adjective	conceptual_adjective
giboso_adjective	gibós_adjective
inspecionar_verb	inspeccionar_verb
índico_adjective	índic_adjective
declinar_verb	declinar_verb
perclórico_adjective	perclòric_adjective
fazzi_propernoun	fazzi_propernoun
vigara_propernoun	vigara_propernoun
iacono_propernoun	iacono_propernoun
numeroso_adjective	nombrós_adjective
gladstone_propernoun	gladstone_propernoun
autopático_adjective	autopàtic_adjective
dicotômico_adjective	dicotòmic_adjective
périard_propernoun	périard_propernoun
bettin_propernoun	bettin_propernoun
escrich_propernoun	escrich_propernoun
villemaire_propernoun	villemaire_propernoun
umbert_propernoun	umbert_propernoun
digressão_noun	digressió_noun
doente_noun	malalt_noun
correlação_noun	correlació_noun
fayos_propernoun	fayos_propernoun
helenístico_adjective	hel·lenístic_adjective
lister_propernoun	lister_propernoun
heredia_propernoun	heredia_propernoun
declaração_noun	declaració_noun
castricone_propernoun	castricone_propernoun
tirolês_adjective	tirolès_adjective
biesterfeld_propernoun	biesterfeld_propernoun
sabido_propernoun	sabido_propernoun
ugarítico_adjective	ugarític_adjective
risibilidade_noun	risibilitat_noun
picard_propernoun	picard_propernoun
grau-juan_propernoun	grau-juan_propernoun
dallara_propernoun	dallara_propernoun
estalinista_noun	estalinista_noun
éder_propernoun	éder_propernoun
ponce_propernoun	ponce_propernoun
em-forte-descida_adverb	fortament-a-la-baixa_adverb
torrentí_propernoun	torrentí_propernoun
widmann_propernoun	widmann_propernoun
desenfadado_adjective	desenfadat_adjective
gaumond_propernoun	gaumond_propernoun
manna_propernoun	manna_propernoun
coreógrafo_noun	coreògraf_noun
sepulcro_noun	sepulcre_noun
redemocratização_noun	redemocratització_noun
rinologista_noun	rinòleg_noun
ferrol_propernoun	ferrol_propernoun
promoção_noun	promoció_noun
amante_adjective	amant_adjective
curar_verb	curar_verb
planificar_verb	planificar_verb
georgiano_noun	georgià_noun
micótico_adjective	micòtic_adjective
tripiana_propernoun	tripiana_propernoun
henri_propernoun	henri_propernoun
carmel_propernoun	carmel_propernoun
piuze_propernoun	piuze_propernoun
extremamente_adverb	extremadament_adverb
ideografia_noun	ideografia_noun
filiz_propernoun	filiz_propernoun
levar_verb	endur_verb
presidir_verb	presidir_verb
azotoso_adjective	azotós_adjective
eslida_propernoun	eslida_propernoun
urticante_adjective	urticant_adjective
rogliano_propernoun	rogliano_propernoun
fechar_verb	tancar_verb
conway_propernoun	conway_propernoun
introversão_noun	introversió_noun
contento_propernoun	contento_propernoun
bouthillier_propernoun	bouthillier_propernoun
desmarais_propernoun	desmarais_propernoun
suyo_adjective	suyo_adjective
juif_propernoun	juif_propernoun
hospitalização_noun	hospitalització_noun
mosso-d'esquadra_noun	mosso-d'esquadra_noun
puigdemont_propernoun	puigdemont_propernoun
casamitjana_propernoun	casamitjana_propernoun
dl_noun	dl_noun
boissé_propernoun	boissé_propernoun
tavera_propernoun	tavera_propernoun
senese_propernoun	senese_propernoun
antigamente_adverb	antigament_adverb
bonferroni_propernoun	bonferroni_propernoun
brigante_adjective	brigant_adjective
acidentalmente_adverb	accidentalment_adverb
retweet_noun	piulada_noun
pequinês_adjective	pequinès_adjective
contranatural_adjective	contranatural_adjective
exercer_verb	exercir_verb
mentiroso_adjective	mentirós_adjective
reyna_propernoun	reyna_propernoun
dinossauro_noun	dinosaure_noun
de-azeredo_propernoun	de-azeredo_propernoun
cadanțu_propernoun	cadanțu_propernoun
cidadela_noun	ciutadella_noun
sinuosamente_adverb	sinuosament_adverb
nugent_propernoun	nugent_propernoun
deliciosamente_adverb	deliciosament_adverb
tantã_noun	gong_noun
desabar_verb	caure_verb
mensagem_noun	missatge_noun
telescópico_adjective	telescòpic_adjective
monoatómico_adjective	monoatòmic_adjective
voo_noun	vol_noun
coronel_propernoun	coronel_propernoun
duplessis_propernoun	duplessis_propernoun
maldição_noun	maledicció_noun
sucinto_adjective	succint_adjective
sentir-falta_verb	enyorar_verb
norman_propernoun	norman_propernoun
bairro-de-lata_noun	barri-de-barraques_noun
siemens_propernoun	siemens_propernoun
meteórico_adjective	meteòric_adjective
carpenedo_propernoun	carpenedo_propernoun
folco_propernoun	folco_propernoun
escipió_propernoun	escipió_propernoun
scarlat_propernoun	scarlat_propernoun
pissarro_propernoun	pissarro_propernoun
irmão_adjective	germà_adjective
ionização_noun	ionització_noun
sulfato_noun	sulfat_noun
rotatório_adjective	rotatori_adjective
poma_propernoun	poma_propernoun
dumay_propernoun	dumay_propernoun
agrogeologia_noun	agrogeologia_noun
diptérico_adjective	diptèric_adjective
yanna_propernoun	yanna_propernoun
babilônico_adjective	babiloni_adjective
franci_propernoun	franci_propernoun
reivindicatório_adjective	reivindicatori_adjective
cambó_propernoun	cambó_propernoun
alegi_propernoun	alegi_propernoun
desta-vez_adverb	aquesta-vegada_adverb
décimo_noun	dècim_noun
equalizador_noun	equalitzador_noun
fertilização_noun	fertilització_noun
electrólise_noun	electròlisi_noun
bone_propernoun	bone_propernoun
odette_propernoun	odette_propernoun
oum_propernoun	oum_propernoun
concreto_adjective	concret_adjective
onde-não-tem_adverb	on-no-n'hi-ha_adverb
radiogénico_adjective	radiogènic_adjective
zucato_propernoun	zucato_propernoun
vercellotti_propernoun	vercellotti_propernoun
greenwood_propernoun	greenwood_propernoun
lesieur_propernoun	lesieur_propernoun
propriedade_noun	propietat_noun
período_noun	període_noun
exacção_noun	exacció_noun
carro_propernoun	carro_propernoun
infamatório_adjective	infamatori_adjective
higuain_propernoun	higuain_propernoun
piña_propernoun	piña_propernoun
crença_noun	creença_noun
degenerescente_adjective	degenerescent_adjective
asens_propernoun	asens_propernoun
moreyra_propernoun	moreyra_propernoun
lamentar_verb	lamentar_verb
hiperfunção_noun	hiperfunció_noun
cos_propernoun	cos_propernoun
aielo-de-malferit_propernoun	aielo-de-malferit_propernoun
púnico_adjective	púnic_adjective
característico_adjective	característic_adjective
prefixação_noun	prefixació_noun
duchetta_propernoun	duchetta_propernoun
campa_propernoun	campa_propernoun
neonazista_noun	neonazi_noun
suboficial_noun	sotsoficial_noun
possessório_adjective	possessori_adjective
perspectivista_adjective	perspectivista_adjective
milagrosamente_adverb	miraculosament_adverb
aerofobia_noun	aerofòbia_noun
sulfito_noun	sulfit_noun
legatório_adjective	legatori_adjective
