propietario_noun	proprietário_noun
ocasión_noun	ocasião_noun
desfasado_adjective	defasado_adjective
voluntad_noun	vontade_noun
degeneración_noun	degeneração_noun
preferiblemente_adverb	preferivelmente_adverb
normalizado_adjective	padrão_adjective
avidez_noun	sofreguidão_noun
a-ciegas_adverb	de-olhos-fechados_adverb
admiración_noun	admiração_noun
vibración_noun	vibração_noun
innovar_verb	inovar_verb
interesante_adjective	interessante_adjective
protuberancia_noun	protuberância_noun
rediseñar_verb	redesenhar_verb
amaral_propernoun	amaral_propernoun
estación_noun	estação_noun
pulgar_noun	polegar_noun
excentricidad_noun	excentricidade_noun
endémicamente_adverb	endemicamente_adverb
testimoniar_verb	testemunhar_verb
aula_noun	sala_noun
koehler_propernoun	koehler_propernoun
presumidamente_adverb	vaidosamente_adverb
podridamente_adverb	podremente_adverb
flotación_noun	flutuação_noun
utilizablemente_adverb	utilizavelmente_adverb
bienio_noun	biênio_noun
redefinición_noun	redefinição_noun
escasamente_adverb	escassamente_adverb
presupuestariamente_adverb	orçamentariamente_adverb
quinquenio_noun	quinquénio_noun
azores_propernoun	açores_propernoun
posición_noun	posição_noun
payasada_noun	palhaçada_noun
superposición_noun	sobreposição_noun
lamer_verb	lamber_verb
ficticio_adjective	fictício_adjective
agradablemente_adverb	agradavelmente_adverb
régimen_noun	regime_noun
desastroso_adjective	desastroso_adjective
encamp_propernoun	encamp_propernoun
guión_noun	roteiro_noun
con-tal-de-que_subordinatingconjunction	contanto-que_subordinatingconjunction
infracción_noun	infração_noun
sustancialmente_adverb	substancialmente_adverb
noche_noun	noite_noun
empalmar_verb	juntar_verb
adelante_adverb	adiante_adverb
bel_propernoun	bel_propernoun
inimaginablemente_adverb	inimaginavelmente_adverb
indonesia_propernoun	indonésia_propernoun
forasteramente_adverb	forasteiramente_adverb
generación_noun	geração_noun
uña_noun	unha_noun
mil_numeral	milhar_numeral
huso_noun	fuso_noun
cohesión_noun	coesão_noun
pulmón_noun	pulmão_noun
ruta_noun	rota_noun
genocidio_noun	genocídio_noun
despertar_verb	acordar_verb
arabia-saudí_propernoun	arábia-saudita_propernoun
sexy_adjective	sexy_adjective
minúsculamente_adverb	minusculamente_adverb
telecom_propernoun	telecom_propernoun
mixto_adjective	misto_adjective
acrónimo_noun	acrônimo_noun
insosteniblemente_adverb	insustentavelmente_adverb
cotidianamente_adverb	quotidianamente_adverb
linealidad_noun	linealidade_noun
objeto_noun	objeto_noun
ryder_propernoun	ryder_propernoun
españolamente_adverb	espanholamente_adverb
cobardía_noun	covardia_noun
compatible_adjective	compatível_adjective
fresado_adjective	fresado_adjective
reelegir_verb	reeleger_verb
blackrock_propernoun	blackrock_propernoun
despedazar_verb	despedaçar_verb
gordura_noun	peso_noun
consejero_noun	pelouro_noun
shimell_propernoun	shimell_propernoun
roncamente_adverb	roucamente_adverb
exaltar_verb	exaltar_verb
cgu_propernoun	cgu_propernoun
anexionar_verb	anexar_verb
enrech_propernoun	enrech_propernoun
drci_propernoun	drci_propernoun
exilio_noun	exílio_noun
favorablemente_adverb	favoravelmente_adverb
asombroso_adjective	assombroso_adjective
bronce_noun	bronze_noun
sermón_noun	sermão_noun
cad_propernoun	cad_propernoun
p_noun	p_noun
identidad_noun	identidade_noun
armonización_noun	harmonização_noun
converger_verb	convergir_verb
asignación_noun	atribuição_noun
curriculum-vitae_noun	curriculum-vitae_noun
sectorial_adjective	sectorial_adjective
record_propernoun	record_propernoun
disipar_verb	dissipar_verb
enrutamiento_noun	roteamento_noun
apadrinar_verb	apadrinhar_verb
textil_adjective	têxtil_adjective
fan_noun	fã_noun
prescribir_verb	prescrever_verb
llano_adjective	plano_adjective
vergüenza_noun	vergonha_noun
atención_noun	atendimento_noun
en-vez-de_preposition	ao-invés-de_preposition
protector_adjective	protector_adjective
antes-de-nada_adverb	antes-de-mais-nada_adverb
virgem_propernoun	virgem_propernoun
fabra_propernoun	fabra_propernoun
arqueólogamente_adverb	arqueologamente_adverb
duradero_adjective	duradouro_adjective
armónico_adjective	harmônico_adjective
macroeconómico_adjective	macroeconômico_adjective
verdura_noun	verdura_noun
peñasco_noun	penhasco_noun
traviesamente_adverb	travessamente_adverb
sin-embargo_subordinatingconjunction	porém_subordinatingconjunction
despegable_adjective	descolável_adjective
inagotable_adjective	inesgotável_adjective
motriz_adjective	motriz_adjective
detestablemente_adverb	detestavelmente_adverb
masía_noun	herdade_noun
frecuencia_noun	frequência_noun
actual_adjective	actual_adjective
lector_noun	leitor_noun
proporcionalidad_noun	proporcionalidade_noun
gran_adjective	grande_adjective
incomprendidamente_adverb	incompreendidamente_adverb
ordenamiento_noun	ordenamento_noun
exactitud_noun	exactidão_noun
caminante_noun	caminhante_noun
atraer_verb	atrair_verb
parangón_noun	comparação_noun
collar_noun	colar_noun
reminiscencia_noun	reminiscência_noun
volcánico_adjective	vulcânico_adjective
hombro_noun	ombro_noun
liberalizador_adjective	liberador_adjective
ciclón_noun	ciclone_noun
línea_noun	linha_noun
otro_pronoun	outro_pronoun
acceso_noun	acesso_noun
balancear_verb	balançar_verb
afectuosamente_adverb	afetuosamente_adverb
cercanamente_adverb	proximamente_adverb
demostración_noun	demonstração_noun
metido-en-el-ajo_adverb	por-dentro_adverb
valuar_verb	avaliar_verb
italia_propernoun	itália_propernoun
chucho_propernoun	chucho_propernoun
etiopía_propernoun	etiópia_propernoun
astronómicamente_adverb	astronomicamente_adverb
provincia_noun	província_noun
usufructuar_verb	usufruir_verb
odum_propernoun	odum_propernoun
interminablemente_adverb	interminavelmente_adverb
ineficiente_adjective	ineficiente_adjective
cesr_propernoun	cesr_propernoun
importador_noun	importador_noun
esquizofrénico_noun	esquizofrênico_noun
anglicismo_noun	anglicismo_noun
alterno_adjective	alterno_adjective
patentar_verb	patentear_verb
tetraedro_noun	tetraedro_noun
manual_noun	manual_noun
familiarizar_verb	familiarizar_verb
pulpería_noun	mercado_noun
harina_noun	farinha_noun
gris_noun	cinza_noun
variedad_noun	variedade_noun
más-grande_adjective	maior_adjective
batir_verb	bater_verb
dotación_noun	dotação_noun
estómago_noun	estômago_noun
puerto_noun	porto_noun
groseramente_adverb	grosseiramente_adverb
entalle_noun	entalhe_noun
gobierno_noun	governação_noun
expresamente_adverb	expressamente_adverb
tdr_propernoun	tdr_propernoun
monotonía_noun	monotonia_noun
inherentemente_adverb	inerentemente_adverb
estatura_noun	estatura_noun
arrastrar_verb	arrastar_verb
chasco_noun	decepção_noun
abstracción_noun	abstração_noun
líquidamente_adverb	liqüidamente_adverb
paraguayo_noun	paraguaio_noun
plantación_noun	plantação_noun
forzosamente_adverb	forçosamente_adverb
oreja_noun	orelha_noun
volar_verb	voar_verb
cementerio_noun	cemitério_noun
financiación_noun	financiamento_noun
transformación_noun	transformação_noun
tras_preposition	trás_preposition
vasco_noun	vasconço_noun
suelo_noun	chão_noun
agroalimentario_adjective	agroalimentar_adjective
malla_noun	malha_noun
error_noun	erro_noun
plácidamente_adverb	placidamente_adverb
factible_adjective	factível_adjective
preguntar_verb	perguntar_verb
por-qué_adverb	por-que_adverb
aumentado_adjective	aumentado_adjective
generalidad_noun	generalidade_noun
letonia_propernoun	letônia_propernoun
dar-las-gracias_verb	agradecer_verb
beta_noun	beta_noun
coger_verb	segurar_verb
encadenamiento_noun	encadeamento_noun
linfocito_noun	linfócito_noun
tampoco_adverb	tampouco_adverb
reverencia_noun	reverência_noun
marlene_propernoun	marlene_propernoun
enumerar_verb	listar_verb
sorprendentemente_adverb	surpreendentemente_adverb
floculador_noun	floculador_noun
seducción_noun	sedução_noun
coordinadamente_adverb	coordenadamente_adverb
sobrecarga_noun	sobrecarga_noun
diecisiete_numeral	dezassete_numeral
ojeada_noun	olhadela_noun
cm_noun	cm_noun
electrón_noun	elétron_noun
espectacularmente_adverb	espectacularmente_adverb
carné-de-conducir_noun	carta-de-condução_noun
introducción_noun	introdução_noun
apelación_noun	apelação_noun
veintinueve_numeral	vinte-e-nove_numeral
vena_noun	veia_noun
centro-comercial_noun	shopping_noun
progreso_noun	progresso_noun
notificación_noun	notificação_noun
myspace_propernoun	myspace_propernoun
cilindro_noun	cilindro_noun
sinde_propernoun	sinde_propernoun
irrespirablemente_adverb	irrespiravelmente_adverb
inutilizar_verb	inutilizar_verb
cañón_noun	canhão_noun
niebla_noun	névoa_noun
lance_propernoun	lance_propernoun
sanción_noun	sanção_noun
min_noun	min_noun
listamente_adverb	prontamente_adverb
prestar_verb	emprestar_verb
enteramente_adverb	inteiramente_adverb
costosamente_adverb	custosamente_adverb
fortificación_noun	fortificação_noun
reforzamiento_noun	reforço_noun
indispensablemente_adverb	indispensavelmente_adverb
saip_propernoun	saip_propernoun
elástico_adjective	elástico_adjective
ofertar_verb	oferecer_verb
borde_noun	borda_noun
depresión_noun	depressão_noun
eléctrico_adjective	eléctrico_adjective
incumplimiento_noun	não_cumprimento_noun
injusticia_noun	injustiça_noun
presión_noun	pressão_noun
valle_noun	vale_noun
tiroteo_noun	tiroteio_noun
diámetro_noun	diâmetro_noun
moutinho_propernoun	moutinho_propernoun
teleformación_noun	teleformação_noun
beso_noun	beijo_noun
enjuiciamiento_noun	ajuizamento_noun
antiguamente_adverb	antigamente_adverb
incumplir_verb	incumprir_verb
merced-a_preposition	graças-a_preposition
comunicacional_adjective	de-comunicação_adjective
inauguración_noun	inauguração_noun
anciano_noun	idoso_noun
cohete_noun	foguete_noun
micrómetro_noun	micrômetro_noun
desesperación_noun	desespero_noun
forzar_verb	forçar_verb
correctivo_adjective	corretivo_adjective
hero_propernoun	hero_propernoun
jugosamente_adverb	suculentamente_adverb
tendencia_noun	tendência_noun
américa-del-sur_propernoun	américa-do-sul_propernoun
absorber_verb	absorver_verb
ventana_noun	janela_noun
norteamericano_adjective	norte-americano_adjective
conejo_noun	coelho_noun
barrio_noun	bairro_noun
para-el-cual_subordinatingconjunction	para-o-qual_subordinatingconjunction
antecesor_noun	antecessor_noun
subjetividad_noun	subjetividade_noun
junior_propernoun	junior_propernoun
lectura_noun	leitura_noun
ciberespacio_noun	ciberespaço_noun
velatorio_noun	velório_noun
fundente_adjective	fundente_adjective
volcán_noun	vulcão_noun
budapest_propernoun	budapeste_propernoun
primus_propernoun	primus_propernoun
veneración_noun	veneração_noun
inhibición_noun	inibição_noun
proporción_noun	proporção_noun
revitalizar_verb	revigorar_verb
optimismo_noun	otimismo_noun
evm_propernoun	evm_propernoun
liberar_verb	libertar_verb
agresor_noun	agressor_noun
por-dentro_adverb	por-dentro_adverb
aprovechar_verb	aproveitar_verb
intención_noun	intenção_noun
tiernamente_adverb	meigamente_adverb
desarenador_noun	desarenador_noun
premio_noun	prémio_noun
toro_noun	touro_noun
shock_noun	choque_noun
permiso-de-conducir_noun	carta-de-motorista_noun
estatua_noun	estátua_noun
bailar_verb	dançar_verb
dibujar_verb	desenhar_verb
indexar_verb	indexar_verb
relámpago_noun	relâmpago_noun
orgullo_noun	orgulho_noun
divergencia_noun	divergência_noun
acanalado_adjective	estriado_adjective
cacería_noun	caçada_noun
octogésimamente_adverb	octogesimamente_adverb
paternidad_noun	paternidade_noun
tubular_adjective	tubular_adjective
flotar_verb	flutuar_verb
apéndice_noun	adendo_noun
privatizablemente_adverb	privatizavelmente_adverb
investigar_verb	pesquisar_verb
adquisición_noun	aquisição_noun
csi_propernoun	csi_propernoun
comprender_verb	abranger_verb
pasivamente_adverb	passivamente_adverb
cuenta_noun	contagem_noun
rótula_noun	soquete_noun
medina_propernoun	medina_propernoun
peor_adverb	pior_adverb
asimilación_noun	assimilação_noun
sagardi_propernoun	sagardi_propernoun
informe_noun	relatório_noun
descomprimir_verb	descompactar_verb
supersónico_adjective	supersônico_adjective
estribillo_noun	estribilho_noun
media-tarde_adverb	meia-tarde_adverb
identificable_adjective	identificável_adjective
complementario_adjective	complementar_adjective
mando_noun	comando_noun
fibanc_propernoun	fibanc_propernoun
remisión_noun	remessa_noun
homologado_adjective	homologado_adjective
vanidoso_adjective	vaidoso_adjective
procuración_noun	procuração_noun
en-remojo_noun	de-molho_noun
salsa_noun	molho_noun
valeroso_adjective	valoroso_adjective
anatómico_adjective	anatômico_adjective
noreste_noun	nordeste_noun
fracturar_verb	fraturar_verb
excepción_noun	exceção_noun
enterrar_verb	soterrar_verb
ankara_propernoun	ancara_propernoun
ratificación_noun	ratificação_noun
repasar_verb	repassar_verb
mg_noun	mg_noun
ladeo_noun	torção_noun
alemán_noun	alemão_noun
asedio_noun	assédio_noun
casillero_noun	ficha_noun
pesquero_adjective	pesqueiro_adjective
popularidad_noun	popularidade_noun
casero_adjective	caseiro_adjective
preferible_adjective	preferível_adjective
fortalecimiento_noun	fortalecimento_noun
hechizar_verb	enfeitiçar_verb
profesionalismo_noun	profissionalismo_noun
sgps_propernoun	sgps_propernoun
clienta_noun	cliente_noun
limpieza_noun	limpeza_noun
abu-dhabi_propernoun	abu-dhabi_propernoun
sabotaje_noun	sabotagem_noun
continuamente_adverb	sustentadamente_adverb
eclesiásticamente_adverb	eclesiasticamente_adverb
agitación_noun	agitação_noun
quizzes_noun	quizzes_noun
boavista_propernoun	boavista_propernoun
conversor_noun	conversor_noun
sustantivamente_adverb	substantivamente_adverb
ce_noun	ce_noun
coutinho_propernoun	coutinho_propernoun
estudiar_verb	estudar_verb
millonario_adjective	milionário_adjective
fenómeno_noun	fenômeno_noun
iaia_propernoun	iaia_propernoun
pantano_noun	pântano_noun
a-caso-hecho_adverb	de-caso-pensado_adverb
convenio_noun	convênio_noun
sobretodo_adverb	sobretudo_adverb
copiar-a_verb	copiar-para_verb
trapezoidal_adjective	trapezoidal_adjective
envidioso_adjective	invejoso_adjective
pre_adverb	pré_adverb
fr_propernoun	fr_propernoun
astronomía_noun	astronomia_noun
especia_noun	especiaria_noun
medir_verb	mensurar_verb
alimenticio_adjective	alimentar_adjective
auricular_noun	auricular_noun
máster_noun	mestrado_noun
disponer_verb	dispor_verb
de-hecho_adverb	de-fato_adverb
contemporáneo_adjective	contemporâneo_adjective
utensilio_noun	utensílio_noun
latir_verb	bater_verb
instrumentar_verb	instrumentar_verb
aunque_subordinatingconjunction	embora_subordinatingconjunction
migratório_adjective	migratório_adjective
saciedad_noun	saciedade_noun
desregulación_noun	desregulamentação_noun
es-igual_adverb	tanto-faz_adverb
rumanía_propernoun	romênia_propernoun
confortablemente_adverb	confortavelmente_adverb
siria_propernoun	síria_propernoun
proença_propernoun	proença_propernoun
acoso_noun	assédio_noun
extensor_noun	extensor_noun
barra-de-estado_noun	barra-de-status_noun
ingresar_verb	internar_verb
sinónimo_noun	sinônimo_noun
instructor_noun	instrutor_noun
a-las-puertas_adverb	muito-próximo_adverb
reestructurar_verb	reestruturar_verb
mostrador_noun	balcão_noun
liquidación_noun	liquidação_noun
adecuadamente_adverb	adequadamente_adverb
hierro_noun	ferro_noun
bpi_noun	bpi_noun
verdadero_adjective	verdadeiro_adjective
duración_noun	duração_noun
hipocondríacamente_adverb	hipocondriacamente_adverb
espionaje_noun	espionagem_noun
góndola_noun	gôndola_noun
piñón_noun	pinhão_noun
prestación_noun	prestação_noun
concepto_noun	conceito_noun
secuencia_noun	seqüência_noun
indebido_adjective	indevido_adjective
friburgo_propernoun	friburgo_propernoun
acumulación_noun	acumulação_noun
menú_noun	menu_noun
subasta_noun	leilão_noun
consanguinidad_noun	consangüinidade_noun
mentalidad_noun	mentalidade_noun
recabar_verb	obter_verb
meso_noun	médio_noun
otoño_noun	outono_noun
hermético_adjective	hermético_adjective
pero_coordinatingconjunction	mas_coordinatingconjunction
largura_noun	comprimento_noun
dictador_noun	ditador_noun
cómico_adjective	cômico_adjective
en-pauta_adverb	em-questão_adverb
impactante_adjective	impactante_adjective
uno_determiner	um_determiner
solevación_noun	transição_noun
contacto_noun	contato_noun
champions_propernoun	champions_propernoun
olor_noun	cheiro_noun
subsistencia_noun	subsistência_noun
boletín_noun	boletim_noun
delincuente_noun	delinquente_noun
paradigma_noun	paradigma_noun
pésimamente_adverb	pessimamente_adverb
patera_noun	bateira_noun
entonces_adverb	então_adverb
mem_propernoun	mem_propernoun
obsoleto_adjective	obsoleto_adjective
discontinuidad_noun	descontinuidade_noun
gemelo_noun	panturrilha_noun
procesador_noun	processador_noun
goldman_propernoun	goldman_propernoun
alegoría_noun	alegoria_noun
prototipo_noun	protótipo_noun
y-qué_adverb	e-daí_adverb
liberalizar_verb	liberar_verb
cómo_adverb	como_adverb
alianza_noun	aliança_noun
ama-de-casa_noun	dona-de-casa_noun
portafolio_noun	portfolio_noun
hongo_noun	fungo_noun
a-lo-ancho_adverb	na-largura_adverb
cuarto-creciente_noun	quartocrescente_noun
reglamentar_verb	regulamentar_verb
efluente_noun	efluente_noun
humillar_verb	humilhar_verb
redundancia_noun	redundância_noun
pariente_noun	parente_noun
asomar_verb	assomar_verb
fotogalería_noun	fotogaleria_noun
caco_propernoun	caco_propernoun
puchero_noun	cocido_noun
monolingüe_adjective	monolingüe_adjective
incierto_adjective	incerto_adjective
directriz_noun	diretriz_noun
eurosai_propernoun	eurosai_propernoun
extender_verb	estender_verb
desorganizar_verb	desorganizar_verb
semejanza_noun	semelhança_noun
cabezal_noun	cabeça_noun
oscuramente_adverb	escuramente_adverb
quien_relativepronoun	quem_relativepronoun
quien_pronoun	quem_pronoun
quien_interrogativepronoun	quem_interrogativepronoun
presencial_adjective	presencial_adjective
mixtamente_adverb	mistamente_adverb
ebrio_noun	ébrio_noun
individualizar_verb	individualizar_verb
evidencia_noun	evidência_noun
disolver_verb	dissolver_verb
agrupación_noun	agrupamento_noun
homosexualmente_adverb	homossexualmente_adverb
hueco_noun	oco_noun
establecimiento_noun	estabelecimento_noun
recreo_noun	recreio_noun
castellano_adjective	castelhano_adjective
grosor_noun	espessura_noun
corteza-prefrontal_noun	córtex-pré-frontal_noun
apis_propernoun	apis_propernoun
abreu_propernoun	abreu_propernoun
avalancha_noun	avalanche_noun
plantear_verb	propor_verb
tópico_noun	tópico_noun
a-palo-seco_adverb	no-seco_adverb
favorable_adjective	favorável_adjective
sujeto_adjective	sujeito_adjective
groenlandia_propernoun	gronelândia_propernoun
pontificio_adjective	pontifício_adjective
hemisférico_adjective	hemisférico_adjective
rsa_propernoun	rsa_propernoun
corporación_noun	corporação_noun
año_noun	ano_noun
aviso_noun	aviso_noun
tributario_adjective	tributário_adjective
faz_noun	face_noun
detección-remota_noun	detecção-remota_noun
teletrabajo_noun	teletrabalho_noun
national-geographic_propernoun	national-geographic_propernoun
operacionalidad_noun	operacionalidade_noun
sumar_verb	somar_verb
nacimiento_noun	nascimento_noun
inmóvilmente_adverb	imovelmente_adverb
sudáfrica_propernoun	áfrica-do-sul_propernoun
clic_noun	clique_noun
razón_noun	razão_noun
radicalizar_verb	radicalizar_verb
establecer_verb	estabelecer_verb
endosar_verb	endossar_verb
superación_noun	superação_noun
apreciación_noun	apreciação_noun
con-todas-las-de-la-ley_adverb	com-tudo-que-eu-tenho-direito_adverb
hechicero_noun	feiticeiro_noun
féretro_noun	caixão_noun
puñado_noun	punhado_noun
comedia_noun	comédia_noun
fragoso_propernoun	fragoso_propernoun
guifré-el-pilós_propernoun	guifré-el-pilós_propernoun
tan-sólo_adverb	tão-só_adverb
sopa_propernoun	sopa_propernoun
albania_propernoun	albânia_propernoun
qué-tal_interjection	tudo-bom_interjection
imputar_verb	imputar_verb
únicamente_adverb	unicamente_adverb
representatividad_noun	representatividade_noun
tecla_noun	tecla_noun
sobrecogedor_adjective	surpreendente_adjective
colgar_verb	pendurar_verb
impenetrable_adjective	impenetrável_adjective
jungla_noun	selva_noun
rencor_noun	rancor_noun
deducción_noun	dedução_noun
nieto_propernoun	nieto_propernoun
arancelario_adjective	alfandegário_adjective
duraderamente_adverb	duradouramente_adverb
monitoreo_noun	monitorização_noun
iluminar_verb	alumiar_verb
durablemente_adverb	duravelmente_adverb
iteración_noun	iteração_noun
máximo_adjective	máximo_adjective
israelí_adjective	israelense_adjective
tangible_adjective	tangível_adjective
paliza_noun	surra_noun
hoja_noun	folha_noun
compañero_adjective	parceiro_adjective
prisionero_noun	prisioneiro_noun
paracaidista_noun	pára-quedista_noun
habitación_noun	habitação_noun
idolatría_noun	idolatria_noun
ganancia_noun	ganho_noun
exactitud_noun	exatidão_noun
ferrocarril_noun	ferrovia_noun
con-nombre-y-apellido_adverb	com-todos-os-pontos-e-vírgulas_adverb
tráfico_noun	tráfego_noun
insatisfacción_noun	insatisfação_noun
atracción_noun	atração_noun
insufriblemente_adverb	insofrivelmente_adverb
electricidad_noun	electricidade_noun
boda_noun	casamento_noun
universidad_noun	universidade_noun
diferir_verb	diferir_verb
distinto_adjective	diferente_adjective
regatear_verb	pechinchar_verb
explosionar_verb	explodir_verb
de-ahora-en-adelante_adverb	doravante_adverb
nombramiento_noun	nomeação_noun
incansablemente_adverb	incansavelmente_adverb
practicar_verb	praticar_verb
