waiting_for_preposition_en	esperando_a_preposition_es
binaural_adjective_en	binaural_adjective_es
muscovite_adjective_en	moscovita_adjective_es
pay_out_verb_en	pagar_verb_es
glossary_noun_en	glosario_noun_es
prize_noun_en	premio_noun_es
codicil_noun_en	codicilo_noun_es
mouse_noun_en	ratón_noun_es
bottom_noun_en	fondo_noun_es
crowd_noun_en	multitud_noun_es
weakly_adverb_en	débilmente_adverb_es
leisure_noun_en	ocio_noun_es
ecology_noun_en	ecología_noun_es
semi-anechoic_adjective_en	semianecoico_adjective_es
ignorance_noun_en	desconocimiento_noun_es
royalty_noun_en	realeza_noun_es
finally_adverb_en	por_último_adverb_es
composer_noun_en	compositor_noun_es
mix_verb_en	mezclarse_verb_es
vice_secretary_noun_en	vicesecretario_noun_es
yugoslav_noun_en	yugoslavo_noun_es
importance_noun_en	relevancia_noun_es
balance_noun_en	balance_noun_es
ravening_adjective_en	voraz_adjective_es
without_reservation_adverb_en	sin_reservas_adverb_es
ovation_noun_en	ovación_noun_es
by_no_means_adverb_en	de_ninguna_manera_adverb_es
sole_noun_en	lenguado_noun_es
fandicosta_propernoun_en	fandicosta_propernoun_es
herat_propernoun_en	herat_propernoun_es
sore_adjective_en	dolorido_adjective_es
pluralist_noun_en	pluralista_noun_es
cleansing_noun_en	limpieza_noun_es
dracula_propernoun_en	drácula_propernoun_es
caribbean_propernoun_en	caribe_propernoun_es
on_sale_adjective_en	en_venta_adjective_es
grant_power_verb_en	conceder_el_protagonismo_verb_es
pedestrian_adjective_en	pedestre_adjective_es
gallon_noun_en	galón_noun_es
paratactic_adjective_en	paratáctico_adjective_es
celom_noun_en	celoma_noun_es
blinding_noun_en	cegamiento_noun_es
sentimentalism_noun_en	sentimentalismo_noun_es
oil_industry_noun_en	industria_petrolera_noun_es
four-leaf_clover_noun_en	trébol_de_cuatro_hojas_noun_es
dust_noun_en	polvo_noun_es
dark_noun_en	oscuridad_noun_es
off-the-record_adjective_en	extraoficial_adjective_es
manipulate_verb_en	manipular_verb_es
anthrax_noun_en	ántrax_noun_es
brutal_adjective_en	brutal_adjective_es
hide_noun_en	escondite_noun_es
diminishing_adjective_en	menguando_adjective_es
hemistich_noun_en	hemistiquio_noun_es
isothermal_adjective_en	isotermo_adjective_es
colour_verb_en	pintar_verb_es
wholesaler_noun_en	mayorista_noun_es
suffrage_noun_en	sufragio_noun_es
secure_verb_en	asegurar_verb_es
rectify_verb_en	rectificar_verb_es
genomic_adjective_en	genómico_adjective_es
tighten_verb_en	apretar_verb_es
von_blottnitz_propernoun_en	von_blottnitz_propernoun_es
marshal_noun_en	mariscal_noun_es
politically_adverb_en	políticamente_adverb_es
assyrian_noun_en	asirio_noun_es
validation_noun_en	validación_noun_es
reactivity_noun_en	reactividad_noun_es
unix_propernoun_en	unix_propernoun_es
sumptuary_adjective_en	suntuario_adjective_es
vegetarian_adjective_en	vegetariano_adjective_es
miguel_buen_propernoun_en	miguel_buen_propernoun_es
inspire_verb_en	inspirar_verb_es
thank_verb_en	dar_las_gracias_a_verb_es
appetizer_noun_en	aperitivo_noun_es
wrongly_adverb_en	incorrectamente_adverb_es
archimedes_propernoun_en	arquímedes_propernoun_es
kidney_noun_en	riñón_noun_es
bicarbonate_noun_en	bicarbonato_noun_es
avoidance_noun_en	evitación_noun_es
watermelon_noun_en	sandía_noun_es
silent_adjective_en	silencioso_adjective_es
leather_noun_en	cuero_noun_es
reply_noun_en	respuesta_noun_es
talk_noun_en	charla_noun_es
squandering_noun_en	dilapidación_noun_es
allegorize_verb_en	alegorizar_verb_es
interdiction_noun_en	interdicción_noun_es
overcoat_noun_en	sobretodo_noun_es
copulatively_adverb_en	copulativamente_adverb_es
registration_noun_en	inscripción_noun_es
handle_verb_en	manejar_verb_es
conde_propernoun_en	conde_propernoun_es
secondhand_adjective_en	de_segunda_mano_adjective_es
on_condition_that_subordinatingconjunction_en	a_condición_de_que_subordinatingconjunction_es
crutch_noun_en	muleta_noun_es
coral_reef_noun_en	arrecife_de_coral_noun_es
revenge_noun_en	venganza_noun_es
zoom_noun_en	zoom_noun_es
redeem_verb_en	redimir_verb_es
horrify_verb_en	horrorizar_verb_es
broadway_propernoun_en	broadway_propernoun_es
spoon_noun_en	cuchara_noun_es
strain_noun_en	cepa_noun_es
ultimately_adverb_en	finalmente_adverb_es
her_royal_highness_noun_en	su_alteza_real_noun_es
neuter_adjective_en	neutro_adjective_es
impartiality_noun_en	imparcialidad_noun_es
bretos_propernoun_en	bretos_propernoun_es
bid_noun_en	oferta_noun_es
gondola_noun_en	góndola_noun_es
john_vi_propernoun_en	juan_vi_propernoun_es
make_money_verb_en	ganar_dinero_verb_es
plant_verb_en	sembrar_verb_es
cosmetic_adjective_en	cosmético_adjective_es
trade_noun_en	comercio_noun_es
earl_noun_en	conde_noun_es
exit_noun_en	salida_noun_es
euro-deputy_noun_en	eurodiputado_noun_es
no_determiner_en	ninguno_determiner_es
war_noun_en	guerra_noun_es
ticket_noun_en	boleto_noun_es
appetite_noun_en	apetito_noun_es
istanbul_propernoun_en	estambul_propernoun_es
candela_noun_en	candela_noun_es
cudeyo_propernoun_en	cudeyo_propernoun_es
thalassocracy_noun_en	talasocracia_noun_es
regulation_noun_en	control_noun_es
this_afternoon_adverb_en	esta_tarde_adverb_es
matas_propernoun_en	matas_propernoun_es
misunderstanding_noun_en	malentendido_noun_es
determinant_noun_en	determinante_noun_es
essentially_adverb_en	eminentemente_adverb_es
branchia_noun_en	branquia_noun_es
aqueduct_noun_en	acueducto_noun_es
vestibular_adjective_en	vestibular_adjective_es
in_the_region_of_preposition_en	del_orden_de_preposition_es
space_shuttle_noun_en	transbordador_espacial_noun_es
cycloid_noun_en	cicloide_noun_es
costa_rica_propernoun_en	costa_rica_propernoun_es
call_verb_en	llamar_verb_es
peanut_noun_en	cacahuete_noun_es
hollow_adjective_en	hueco_adjective_es
sample_noun_en	muestra_noun_es
clause_noun_en	cláusula_noun_es
masonry_noun_en	masonería_noun_es
austrian_noun_en	austríaco_noun_es
wholesail_noun_en	venta_al_por_mayor_noun_es
institute_of_modern_languages_propernoun_en	instituto_de_lenguas_vivas_propernoun_es
positional_adjective_en	posicional_adjective_es
limit_verb_en	limitar_verb_es
verbose_adjective_en	verboso_adjective_es
flamethrower_noun_en	lanzallamas_noun_es
rajoy_propernoun_en	rajoy_propernoun_es
excellence_noun_en	excelencia_noun_es
flatly_adverb_en	de_plano_adverb_es
move_verb_en	trasponer_verb_es
transcendence_noun_en	transcendencia_noun_es
dishonest_adjective_en	deshonesto_adjective_es
theory_of_contextual_economics_noun_en	teoría_económica_coyuntural_noun_es
streamlining_noun_en	carenado_noun_es
swear_verb_en	jurar_verb_es
cotado_propernoun_en	cotado_propernoun_es
payday_noun_en	día_de_pago_noun_es
visit_verb_en	visitar_verb_es
self-defence_noun_en	autodefensa_noun_es
sacrifice_noun_en	sacrificio_noun_es
conventionalism_noun_en	convencionalismo_noun_es
kõiv_propernoun_en	kõiv_propernoun_es
malleable_adjective_en	maleable_adjective_es
question_noun_en	pregunta_noun_es
waste_noun_en	derroche_noun_es
foothill_noun_en	estribación_noun_es
reform_noun_en	reforma_noun_es
excellent_adjective_en	sobresaliente_adjective_es
in_order_of_importance_adverb_en	por_orden_de_importancia_adverb_es
find_verb_en	hallar_verb_es
five_numeral_en	cinco_numeral_es
hemidemisemiquaver_noun_en	semifusa_noun_es
fill_verb_en	cumplimentar_verb_es
egoistic_adjective_en	egoísta_adjective_es
praise_verb_en	loar_verb_es
dread_noun_en	pavor_noun_es
zkm_propernoun_en	zkm_propernoun_es
reprehensible_act_noun_en	acción_condenable_noun_es
cauterisation_noun_en	cauterización_noun_es
like_verb_en	agradar_verb_es
solvable_adjective_en	resoluble_adjective_es
feel_dizzy_verb_en	marearse_verb_es
inevitability_noun_en	inevitabilidad_noun_es
silicious_adjective_en	silicio_adjective_es
apriority_noun_en	apriorismo_noun_es
flower_verb_en	florecer_verb_es
instrumentalist_noun_en	instrumentista_noun_es
marten_noun_en	marta_noun_es
encipher_verb_en	cifrar_verb_es
with_particular_reference_to_subordinatingconjunction_en	con_particular_énfasis_en_subordinatingconjunction_es
snowman_noun_en	monigote_de_nieve_noun_es
hydrophobia_noun_en	hidrofobia_noun_es
mineralisation_noun_en	mineralización_noun_es
typhoon_noun_en	tifón_noun_es
pickaxe_noun_en	piqueta_noun_es
orthodox_adjective_en	ortodoxo_adjective_es
trousers_noun_en	pantalón_noun_es
womanhood_noun_en	condición_de_mujer_noun_es
history_noun_en	historia_noun_es
ring_noun_en	círculo_noun_es
ninety-nine_times_out_of_a_hundred_adverb_en	noventa_y_nueve_veces_de_cada_cien_adverb_es
investor_noun_en	inversionista_noun_es
colombian_noun_en	colombiano_noun_es
off_stage_adverb_en	fuera_del_escenario_adverb_es
arts_centre_noun_en	centro_de_arte_noun_es
mouth_noun_en	boca_noun_es
dialectology_noun_en	dialectología_noun_es
dna_noun_en	adn_noun_es
incentive_for_investment_noun_en	ayuda_para_la_inversión_noun_es
hereby_adverb_en	de_ahora_en_adelante_adverb_es
person_concerned_noun_en	propio_interesado_noun_es
inspiration_noun_en	inspiración_noun_es
routine_noun_en	rutina_noun_es
semiannual_adjective_en	semestral_adjective_es
slump_noun_en	recesión_noun_es
chrysanthemum_noun_en	crisantemo_noun_es
permutation_noun_en	permutación_noun_es
grant-aided_adjective_en	subvencionado_adjective_es
fanfare_noun_en	fanfarria_noun_es
corpse_noun_en	cadáver_noun_es
horse_noun_en	caballo_noun_es
which_relativepronoun_en	que_relativepronoun_es
which_pronoun_en	que_pronoun_es
religion_noun_en	religión_noun_es
north_america_propernoun_en	américa_del_norte_propernoun_es
jumble_noun_en	revoltijo_noun_es
overexploitation_noun_en	sobreexplotación_noun_es
oscillator_noun_en	oscilador_noun_es
letter_of_intent_to_purchase_noun_en	carta_de_intención_de_compra_noun_es
cyberspace_noun_en	ciberespacio_noun_es
acrobatics_noun_en	acrobacia_noun_es
one_hundredth_determiner_en	centésimo_determiner_es
apply_verb_en	aplicar_verb_es
abra-real_sporting_club_propernoun_en	abra-real_sporting_club_propernoun_es
corporation_noun_en	empresa_noun_es
flea_noun_en	pulga_noun_es
freeze_noun_en	congelación_noun_es
lebanese_noun_en	libanés_noun_es
authorship_noun_en	autoría_noun_es
pazos_propernoun_en	pazos_propernoun_es
fun_noun_en	diversión_noun_es
review_verb_en	repasar_verb_es
elucidate_verb_en	dilucidar_verb_es
extract_noun_en	extracto_noun_es
eric_propernoun_en	eric_propernoun_es
anti-ballistic_missile_noun_en	mísil_antibalístico_noun_es
robustness_noun_en	robustez_noun_es
pseudonym_noun_en	seudónimo_noun_es
friend_noun_en	amigo_noun_es
performance_noun_en	actuación_noun_es
with_a_time_of_preposition_en	con_un_crono_de_preposition_es
php_noun_en	php_noun_es
phonostylistic_adjective_en	fonoestilístico_adjective_es
clean_verb_en	limpiar_verb_es
put_aside_verb_en	dejar_de_lado_verb_es
irresponsibly_adverb_en	irresponsablemente_adverb_es
men's_team_noun_en	selección_masculina_noun_es
slowness_noun_en	lentitud_noun_es
albacete_propernoun_en	albacete_propernoun_es
postnatal_noun_en	posparto_noun_es
ravine_noun_en	barranco_noun_es
showcase_noun_en	escaparate_noun_es
playground_noun_en	patio_noun_es
al-maliki_propernoun_en	al-maliki_propernoun_es
readership_noun_en	lector_noun_es
go_on_verb_en	seguir_adelante_verb_es
decade_noun_en	decenio_noun_es
underlying_problem_noun_en	problema_de_fondo_noun_es
checkup_noun_en	chequeo_noun_es
thermoregulator_noun_en	termorregulador_noun_es
carry_out_verb_en	sacar_adelante_verb_es
come_off_verb_en	salir_verb_es
petrochemical_adjective_en	petroquímico_adjective_es
backside_noun_en	parte_posterior_noun_es
nightingale_noun_en	ruiseñor_noun_es
specifiable_adjective_en	especificable_adjective_es
parisian_adjective_en	parisino_adjective_es
prefabricate_verb_en	prefabricar_verb_es
mad_adjective_en	loco_adjective_es
information_noun_en	información_noun_es
normality_noun_en	normalidad_noun_es
colonising_adjective_en	colonizador_adjective_es
oratory_noun_en	oratoria_noun_es
talk_verb_en	hablar_verb_es
fulcrum_noun_en	fulcro_noun_es
titanic_adjective_en	titánico_adjective_es
as_soon_as_possible_adverb_en	tan_pronto_como_sea_posible_adverb_es
mushroom_noun_en	champiñón_noun_es
typological_adjective_en	tipológico_adjective_es
childcare_noun_en	guardería_noun_es
antagonism_noun_en	antagonismo_noun_es
halting_problem_noun_en	problema_de_la_parada_noun_es
atheist_noun_en	ateo_noun_es
zurich_propernoun_en	zurich_propernoun_es
monopole_noun_en	monopolo_noun_es
john_paul_ii_propernoun_en	juan_pablo_ii_propernoun_es
reconversion_noun_en	reconversión_noun_es
quadruped_adjective_en	quadrúpedo_adjective_es
mtorolite_noun_en	mtorolita_noun_es
depository_adjective_en	depositario_adjective_es
stem_noun_en	vástago_noun_es
watershed_noun_en	cuenca_noun_es
add_verb_en	añadir_verb_es
re-create_verb_en	recrear_verb_es
decompress_verb_en	descomprimir_verb_es
drainage_noun_en	drenaje_noun_es
curtail_verb_en	acortar_verb_es
foal_noun_en	potro_noun_es
infinitive_noun_en	infinitivo_noun_es
seek_verb_en	ambicionar_verb_es
fraction_noun_en	quebrado_noun_es
hispanic_adjective_en	hispano_adjective_es
take_for_granted_verb_en	dar_por_sentado_verb_es
hexameter_noun_en	hexámetro_noun_es
qala-i-naw_propernoun_en	qala-i-naw_propernoun_es
scallion_noun_en	cebolleta_noun_es
plead_for_verb_en	abogar_por_verb_es
compote_noun_en	compota_noun_es
