decano_noun_es	doyen_noun_fr
responsabilidad_noun_es	responsabilité_noun_fr
mirón_adjective_es	badaud_adjective_fr
afrontar_verb_es	affronter_verb_fr
brad_propernoun_es	brad_propernoun_fr
rebelde_adjective_es	rebelle_adjective_fr
impulso_noun_es	impulsion_noun_fr
halgand_propernoun_es	halgand_propernoun_fr
anticoncepción_noun_es	contraception_noun_fr
invocar_verb_es	invoquer_verb_fr
deportivo_adjective_es	sportif_adjective_fr
inversionista_noun_es	investisseur_noun_fr
nuboso_adjective_es	nuageux_adjective_fr
ficha_noun_es	jeton_noun_fr
filtro_noun_es	filtre_noun_fr
pedraza_propernoun_es	pedraza_propernoun_fr
andre_propernoun_es	andre_propernoun_fr
hora-de-entrada_noun_es	heure-d'entrée_noun_fr
culpa_noun_es	tort_noun_fr
revolver-el-estómago_verb_es	soulever-le-coeur_verb_fr
honorífico_adjective_es	honorifique_adjective_fr
natascha_propernoun_es	natascha_propernoun_fr
preparatorio_adjective_es	préparatoire_adjective_fr
hasta-nuevo-aviso_subordinatingconjunction_es	jusqu'à-nouvel-ordre_subordinatingconjunction_fr
vizcaíno_adjective_es	biscayen_adjective_fr
canet_propernoun_es	canet_propernoun_fr
depredador_adjective_es	prédateur_adjective_fr
veto_noun_es	veto_noun_fr
campana_noun_es	cloche_noun_fr
noventa-y-ocho_numeral_es	quatre-vingt-dix-huit_numeral_fr
punto-de-venta_noun_es	point-de-vente_noun_fr
sui_noun_es	sui_noun_fr
sánchez_propernoun_es	sánchez_propernoun_fr
debacle_noun_es	désastre_noun_fr
ancyra_propernoun_es	ancyre_propernoun_fr
areo_propernoun_es	areo_propernoun_fr
farmacia_noun_es	pharmacie_noun_fr
electrón_noun_es	électron_noun_fr
cambises-ii_propernoun_es	cambyse-ii_propernoun_fr
desafiar_verb_es	défier_verb_fr
creencia_noun_es	croyance_noun_fr
lennon_propernoun_es	lennon_propernoun_fr
desconocer_verb_es	méconnaître_verb_fr
acopio_noun_es	approvisionnement_noun_fr
hacer-el-tonto_verb_es	faire-l'idiot_verb_fr
provinciano_adjective_es	provincial_adjective_fr
addy_propernoun_es	addy_propernoun_fr
atento_adjective_es	attentif_adjective_fr
detallado_adjective_es	détaillé_adjective_fr
alumbrado_noun_es	éclairage_noun_fr
xv_numeral_es	xv_numeral_fr
imperativo_noun_es	impératif_noun_fr
contrato-laboral_noun_es	contrat-de-travail_noun_fr
thatcher_propernoun_es	thatcher_propernoun_fr
echeverría_propernoun_es	echeverría_propernoun_fr
resbalar_verb_es	glisser_verb_fr
fútbol_noun_es	foot_noun_fr
traducción_noun_es	traduction_noun_fr
fiscalía_noun_es	ministère-public_noun_fr
marie-george_propernoun_es	marie-george_propernoun_fr
retocar_verb_es	retoucher_verb_fr
oskitz_propernoun_es	oskitz_propernoun_fr
gol_noun_es	but_noun_fr
propagar_verb_es	propager_verb_fr
colomer_propernoun_es	colomer_propernoun_fr
mintzola_propernoun_es	mintzola_propernoun_fr
penalti_noun_es	penalty_noun_fr
tiago_propernoun_es	tiago_propernoun_fr
carbón_noun_es	charbon_noun_fr
modelización_noun_es	modélisation_noun_fr
ganador_adjective_es	gagnant_adjective_fr
ideológico_adjective_es	idéologique_adjective_fr
adónde_adverb_es	où_adverb_fr
adónde_interrogativepronoun_es	où_interrogativepronoun_fr
actinómetro_noun_es	actinomètre_noun_fr
desconfianza_noun_es	défiance_noun_fr
cuenta-indistinta_noun_es	compte-en-indivision_noun_fr
asamblea-extraordinaria_noun_es	assemblée-extraordinaire_noun_fr
otorgamiento_noun_es	concession_noun_fr
vida_noun_es	vie_noun_fr
taoufik_propernoun_es	taoufik_propernoun_fr
desolación_noun_es	désolation_noun_fr
mucho-después_adverb_es	beaucoup-après_adverb_fr
pese-a-que_subordinatingconjunction_es	malgré-le-fait-que_subordinatingconjunction_fr
costa-rica_propernoun_es	costa-rica_propernoun_fr
afuera_adverb_es	dehors_adverb_fr
godoy_propernoun_es	godoy_propernoun_fr
conquistar_verb_es	conquérir_verb_fr
abastecedor_adjective_es	ravitailleur_adjective_fr
autonómico_adjective_es	autonome_adjective_fr
ourón_propernoun_es	ourón_propernoun_fr
judas_propernoun_es	judas_propernoun_fr
ranking_noun_es	classement_noun_fr
transatlántico_adjective_es	transatlantique_adjective_fr
áfrica-austral_propernoun_es	afrique-australe_propernoun_fr
introducir_verb_es	introduire_verb_fr
lena_propernoun_es	lena_propernoun_fr
aventajar_verb_es	dépasser_verb_fr
monet_propernoun_es	monet_propernoun_fr
pierluigi_propernoun_es	pierluigi_propernoun_fr
ai_noun_es	ai_noun_fr
lehendakari_noun_es	président-du-pays-basque_noun_fr
valle_noun_es	vallée_noun_fr
librado_noun_es	tiré_noun_fr
mientras-tanto_adverb_es	entre-temps_adverb_fr
entorno_noun_es	environnement_noun_fr
responsable_noun_es	responsable_noun_fr
ros_propernoun_es	ros_propernoun_fr
escenario_noun_es	plateau_noun_fr
arrendamiento_noun_es	location_noun_fr
schengen_propernoun_es	schengen_propernoun_fr
futbolista_noun_es	footballeur_noun_fr
intersección_noun_es	intersection_noun_fr
leo_propernoun_es	lion_propernoun_fr
n1_noun_es	n1_noun_fr
euronext_propernoun_es	euronext_propernoun_fr
grabación_noun_es	enregistrement_noun_fr
no-mucho_adverb_es	pas-beaucoup_adverb_fr
chatterley_propernoun_es	chatterley_propernoun_fr
tm_noun_es	t_noun_fr
al-respecto_adverb_es	à-ce-propos_adverb_fr
islas-cook_propernoun_es	îles-cook_propernoun_fr
dédalo_propernoun_es	dédale_propernoun_fr
antiguo-régimen_propernoun_es	ancien-régime_propernoun_fr
sin-embargo_adverb_es	pourtant_adverb_fr
brest_propernoun_es	brest_propernoun_fr
asaltar_verb_es	assaillir_verb_fr
islas-anglo-normandas_propernoun_es	îles-anglo-normandes_propernoun_fr
alto_adjective_es	grand_adjective_fr
apodar_verb_es	surnommer_verb_fr
roubaix_propernoun_es	roubaix_propernoun_fr
hinault_propernoun_es	hinault_propernoun_fr
padre_noun_es	père_noun_fr
territorio_noun_es	territoire_noun_fr
en-favor-de-terceros_adverb_es	en-faveur-des-tiers_adverb_fr
homogeneidad_noun_es	homogénéité_noun_fr
alonso_propernoun_es	alonso_propernoun_fr
norcoreano_adjective_es	nord-coréen_adjective_fr
baumann_propernoun_es	baumann_propernoun_fr
morán_propernoun_es	morán_propernoun_fr
folleto_noun_es	brochure_noun_fr
organización-de-las-naciones-unidas_propernoun_es	organisation-des-nations-unies_propernoun_fr
francia_propernoun_es	france_propernoun_fr
genio_noun_es	caractère_noun_fr
dar-soporte_verb_es	supporter_verb_fr
inhábil_adjective_es	incapable_adjective_fr
inagotable_adjective_es	inépuisable_adjective_fr
evangelización_noun_es	évangélisation_noun_fr
cristalización_noun_es	cristallisation_noun_fr
arberoa_propernoun_es	arbéroue_propernoun_fr
ups_propernoun_es	ups_propernoun_fr
según_preposition_es	au-dire-de_preposition_fr
barceló_propernoun_es	barceló_propernoun_fr
deterioro_noun_es	dégât_noun_fr
huerta_noun_es	verger_noun_fr
incendio_noun_es	incendie_noun_fr
cocaína_noun_es	cocaïne_noun_fr
vaciar_verb_es	évider_verb_fr
publicidad_noun_es	publicité_noun_fr
armada-roja_propernoun_es	armée-rouge_propernoun_fr
oriola_propernoun_es	orihuela_propernoun_fr
otan_noun_es	otan_noun_fr
mâcon_propernoun_es	mâcon_propernoun_fr
cíclico_adjective_es	cyclique_adjective_fr
posibilidad_noun_es	possibilité_noun_fr
pintxo_noun_es	amuse-gueule_noun_fr
i_numeral_es	i_numeral_fr
coordinador_noun_es	coordinateur_noun_fr
corrector_noun_es	correcteur_noun_fr
x_numeral_es	x_numeral_fr
vestimenta_noun_es	habillement_noun_fr
ea_noun_es	ea_noun_fr
ampliable_adjective_es	agrandissable_adjective_fr
incógnita_noun_es	inconnue_noun_fr
venezolano_noun_es	vénézuélien_noun_fr
grytviken_propernoun_es	grytviken_propernoun_fr
reemprender_verb_es	reprendre_verb_fr
yerno_noun_es	gendre_noun_fr
sucesivamente_adverb_es	successivement_adverb_fr
instalador_noun_es	installateur_noun_fr
alta-presión_noun_es	haute-pression_noun_fr
desprecio_noun_es	mépris_noun_fr
asesor_adjective_es	de-conseil_adjective_fr
bolsa_noun_es	sac_noun_fr
escudo-canadiense_propernoun_es	jean-scot-érigène_propernoun_fr
deserción_noun_es	désertion_noun_fr
en-el-día-de-hoy_adverb_es	au-jour-d'aujourd'hui_adverb_fr
bilbao_propernoun_es	bilbao_propernoun_fr
global_adjective_es	global_adjective_fr
neuilly_propernoun_es	neuilly_propernoun_fr
irakoitz_propernoun_es	irakoitz_propernoun_fr
salir-de-sus-casillas_verb_es	sortir-de-ses-gonds_verb_fr
alcestis_propernoun_es	alceste_propernoun_fr
cordero_noun_es	agneau_noun_fr
aldaya_propernoun_es	aldaia_propernoun_fr
tibetano_adjective_es	tibétain_adjective_fr
expresión_noun_es	expression_noun_fr
centésimo_noun_es	centième_noun_fr
legitimidad_noun_es	légitimité_noun_fr
discapacitado_adjective_es	handicapé_adjective_fr
jaio_propernoun_es	jaio_propernoun_fr
lente_noun_es	lentille_noun_fr
gurbanguly-berdimuhammedow_propernoun_es	gurbanguly-berdimuhammedow_propernoun_fr
veteranía_noun_es	expérience_noun_fr
arenas-movedizas_noun_es	sables-mouvants_noun_fr
credikutxa_propernoun_es	credikutxa_propernoun_fr
auritz-burguete_propernoun_es	auritz-burguete_propernoun_fr
estirar-la-pata_verb_es	casser-sa-pipe_verb_fr
afirmación_noun_es	affirmation_noun_fr
henao_propernoun_es	hainaut_propernoun_fr
diouf_propernoun_es	diouf_propernoun_fr
mireille_propernoun_es	mireille_propernoun_fr
vespucio_propernoun_es	vespuce_propernoun_fr
petrograd_propernoun_es	pétrograd_propernoun_fr
recaída_noun_es	retombée_noun_fr
aproximadamente_adverb_es	quelque_adverb_fr
neil_propernoun_es	neil_propernoun_fr
christine_propernoun_es	christine_propernoun_fr
interventor_adjective_es	intervenant_adjective_fr
sener_propernoun_es	sener_propernoun_fr
somme_propernoun_es	somme_propernoun_fr
resucitar_verb_es	ressusciter_verb_fr
famoso_adjective_es	fameux_adjective_fr
prueba_noun_es	épreuve_noun_fr
arbitrar_verb_es	arbitrer_verb_fr
ussuriisk_propernoun_es	oussouriisk_propernoun_fr
invariable_adjective_es	invariable_adjective_fr
salazar_propernoun_es	salazar_propernoun_fr
eros_propernoun_es	éros_propernoun_fr
termómetro_noun_es	thermomètre_noun_fr
alpes-de-alta-provenza_propernoun_es	alpes-de-haute-provence_propernoun_fr
peninsular_adjective_es	péninsulaire_adjective_fr
esther_propernoun_es	esther_propernoun_fr
juerga_noun_es	bringue_noun_fr
louise_propernoun_es	louise_propernoun_fr
anais_propernoun_es	anais_propernoun_fr
a-priori_adverb_es	a-priori_adverb_fr
bestialidad_noun_es	bestialité_noun_fr
aflorar_verb_es	affleurer_verb_fr
omán_propernoun_es	oman_propernoun_fr
peña_noun_es	club_noun_fr
gibernau_propernoun_es	gibernau_propernoun_fr
elsa_propernoun_es	elsa_propernoun_fr
quizás_adverb_es	peut-être_adverb_fr
subtil_adjective_es	subtil_adjective_fr
biólogo_noun_es	biologiste_noun_fr
atlético-de-madrid_propernoun_es	atlético-de-madrid_propernoun_fr
fuera-de_preposition_es	en-dehors-de_preposition_fr
desalojo_noun_es	délogement_noun_fr
zampieri_propernoun_es	zampieri_propernoun_fr
visa_noun_es	visa_noun_fr
voto_noun_es	vote_noun_fr
pala_noun_es	pelle_noun_fr
arnotegi_propernoun_es	arnotegi_propernoun_fr
zune_propernoun_es	zune_propernoun_fr
embotellamiento_noun_es	embouteillage_noun_fr
concejala_noun_es	conseillère-municipale_noun_fr
poner-trabas_verb_es	mettre-des-bâtons-dans-les-roues_verb_fr
claro_adjective_es	clair_adjective_fr
lingüístico_adjective_es	linguistique_adjective_fr
registrar_verb_es	enregistrer_verb_fr
hortefeux_propernoun_es	hortefeux_propernoun_fr
anneli_propernoun_es	anneli_propernoun_fr
avignon_propernoun_es	avignon_propernoun_fr
buesa_propernoun_es	buesa_propernoun_fr
millardo_noun_es	milliard_noun_fr
único_adjective_es	unique_adjective_fr
autodeterminación_noun_es	autodétermination_noun_fr
asiria_propernoun_es	assyrie_propernoun_fr
pascua_propernoun_es	pâques_propernoun_fr
hogar-del-pensionista_noun_es	foyer-de-retraités_noun_fr
modo_noun_es	façon_noun_fr
constitucionalmente_adverb_es	constitutionnellement_adverb_fr
feo_adjective_es	laid_adjective_fr
notificar_verb_es	notifier_verb_fr
caspe_propernoun_es	caspe_propernoun_fr
referencia_noun_es	référencement_noun_fr
orfebre_noun_es	orfèvre_noun_fr
escalar_verb_es	escalader_verb_fr
adquisitivo_adjective_es	acquisitif_adjective_fr
aleación_noun_es	alliage_noun_fr
liberia_propernoun_es	libéria_propernoun_fr
anibal_propernoun_es	hannibal_propernoun_fr
playtime_propernoun_es	playtime_propernoun_fr
caución_noun_es	caution_noun_fr
gadea_propernoun_es	gadea_propernoun_fr
endurecer_verb_es	durcir_verb_fr
guardaespaldas_noun_es	garde-du-corps_noun_fr
preso_adjective_es	emprisonné_adjective_fr
manny-mori_propernoun_es	manny-mori_propernoun_fr
países-del-loira_propernoun_es	pays-de-la-loire_propernoun_fr
en-justicia_adverb_es	en-toute-justice_adverb_fr
domiciliar_verb_es	domicilier_verb_fr
cata_noun_es	dégustation_noun_fr
descartar_verb_es	écarter_verb_fr
belmonte_propernoun_es	belmonte_propernoun_fr
aglomerado_noun_es	aggloméré_noun_fr
damocles_propernoun_es	damoclès_propernoun_fr
presa_noun_es	prise_noun_fr
bailén_propernoun_es	bailén_propernoun_fr
abjasia_propernoun_es	abkhazie_propernoun_fr
angelis_propernoun_es	angelis_propernoun_fr
óscar-berger-perdomo_propernoun_es	óscar-berger-perdomo_propernoun_fr
quimper_propernoun_es	quimper_propernoun_fr
kinshasa_propernoun_es	kinshasa_propernoun_fr
ironizar_verb_es	ironiser_verb_fr
tirada_noun_es	tirage_noun_fr
benz_propernoun_es	benz_propernoun_fr
resonar_verb_es	résonner_verb_fr
aversión_noun_es	aversion_noun_fr
numancia_propernoun_es	numance_propernoun_fr
deflagración_noun_es	déflagration_noun_fr
corajoso_adjective_es	courageux_adjective_fr
opinión_noun_es	opinion_noun_fr
militar_noun_es	militaire_noun_fr
ochenta-y-siete_numeral_es	quatre-vingt-sept_numeral_fr
mondragón_propernoun_es	mondragón_propernoun_fr
general_noun_es	général_noun_fr
fito_propernoun_es	fito_propernoun_fr
sensibilidad_noun_es	sensibilité_noun_fr
corrientes_noun_es	mois-courants_noun_fr
carrefour_propernoun_es	carrefour_propernoun_fr
jara_propernoun_es	jara_propernoun_fr
comunicante_noun_es	communicant_noun_fr
planeta_noun_es	planète_noun_fr
hambruna_noun_es	faim_noun_fr
dictadura_noun_es	dictature_noun_fr
costa-del-azahar_propernoun_es	costa-del-azahar_propernoun_fr
oliva_propernoun_es	oliva_propernoun_fr
emisor_noun_es	émetteur_noun_fr
alcudia_propernoun_es	alcúdia_propernoun_fr
ryan_propernoun_es	ryan_propernoun_fr
gregory_propernoun_es	gregory_propernoun_fr
percibir-haberes_verb_es	percevoir-des-biens_verb_fr
subestimar_verb_es	sous-estimer_verb_fr
adeslas_propernoun_es	adeslas_propernoun_fr
curar_verb_es	guérir_verb_fr
colega_noun_es	collègue_noun_fr
cheliuskin_propernoun_es	tcheliouskine_propernoun_fr
giorgio_propernoun_es	giorgio_propernoun_fr
aiye_propernoun_es	aiye_propernoun_fr
de-tal-modo-que_subordinatingconjunction_es	de-telle-façon-que_subordinatingconjunction_fr
vuelta_noun_es	tour_noun_fr
enterrar_verb_es	enterrer_verb_fr
apache_adjective_es	apache_adjective_fr
tapiador_propernoun_es	tapiador_propernoun_fr
bizkaina_propernoun_es	bizkaina_propernoun_fr
de-momento_adverb_es	pour-le-moment_adverb_fr
jauregi_propernoun_es	jauregi_propernoun_fr
richardson_propernoun_es	richardson_propernoun_fr
irónico_adjective_es	ironique_adjective_fr
arbitraje_noun_es	arbitrage_noun_fr
forestal_adjective_es	forestier_adjective_fr
