decano_noun	doyen_noun
por-la-noche_adverb	la-nuit_adverb
amane_propernoun	amane_propernoun
legazpi_propernoun	legazpi_propernoun
abaitúa_propernoun	abaitúa_propernoun
moneda_noun	monnaie_noun
generalista_noun	généraliste_noun
detección_noun	dépistage_noun
ibex_propernoun	ibex_propernoun
apartar_verb	écarter_verb
goleman_propernoun	goleman_propernoun
aguinaga_propernoun	aguinaga_propernoun
favorecer_verb	favoriser_verb
alejandro-farnesio_propernoun	alexandre-farnèse_propernoun
nido_noun	nid_noun
liberalidad_noun	libéralité_noun
bután_propernoun	bhoutan_propernoun
respiración_noun	respiration_noun
blaudzun_propernoun	blaudzun_propernoun
plantel_noun	groupe_noun
mar-de-china-oriental_propernoun	mer-de-chine-orientale_propernoun
disciplina_noun	discipline_noun
sectarismo_noun	sectarisme_noun
bbc_noun	bbc_noun
crucial_adjective	crucial_adjective
ludovic_propernoun	ludovic_propernoun
pesaje_noun	pesage_noun
everest_propernoun	everest_propernoun
veintena_noun	vingtaine_noun
adinerado_adjective	riche_adjective
compañera_noun	compagne_noun
kutxaempresas_propernoun	kutxaempresas_propernoun
asunto_noun	sujet_noun
siesta_noun	sieste_noun
veintinueve_numeral	vingt-neuf_numeral
cuba_propernoun	cuba_propernoun
gran-manchester_propernoun	greater-manchester_propernoun
encerrar_verb	enfermer_verb
ganbara_propernoun	ganbara_propernoun
protagonista_noun	protagoniste_noun
en-mis-tiempos_adverb	de-mon-temps_adverb
perrier_propernoun	perrier_propernoun
benín_propernoun	bénin_propernoun
voluntario_noun	volontaire_noun
txingudi_propernoun	txingudi_propernoun
grandes-antillas_propernoun	grandes-antilles_propernoun
monge_propernoun	monge_propernoun
atascar_verb	embourber_verb
fluir_verb	couler_verb
nube_noun	nuage_noun
adrenalina_noun	adrénaline_noun
comunista_adjective	communiste_adjective
custodia_noun	garde_noun
belcebú_propernoun	belzébuth_propernoun
himno_noun	hymne_noun
hoyinversión_propernoun	hoyinversión_propernoun
cordillera-cantábrica_propernoun	monts-cantabriques_propernoun
incompetencia_noun	incompétence_noun
jenófanes_propernoun	xénophane_propernoun
edf_propernoun	edf_propernoun
pompeyo_propernoun	pompée_propernoun
asiduo_adjective	assidu_adjective
constructivo_adjective	constructif_adjective
sindical_adjective	syndical_adjective
takeo_propernoun	takeo_propernoun
adarraga_propernoun	adarraga_propernoun
aniversario_noun	anniversaire_noun
efecto-comercial_noun	effet-commercial_noun
renta-fija_noun	revenu-fixe_noun
paseo_noun	promenade_noun
zamora_propernoun	zamora_propernoun
esperanzador_adjective	encourageant_adjective
segmentación_noun	segmentation_noun
apóstol_noun	apôtre_noun
contribución_noun	contribution_noun
transitoriamente_adverb	transitoirement_adverb
polo_noun	pôle_noun
radioprotección_noun	radioprotection_noun
palabra_noun	parole_noun
decán_propernoun	deccan_propernoun
país-de-gales_propernoun	pays-de-galles_propernoun
antiviolencia_noun	antiviolence_noun
forest_propernoun	forest_propernoun
esconder_verb	cacher_verb
abiba-diskojaia_propernoun	abiba-diskojaia_propernoun
strawberry-fields_propernoun	strawberry-fields_propernoun
laudo_noun	arbitrage_noun
tinta_noun	encre_noun
heinz-fischer_propernoun	heinz-fischer_propernoun
jean-yves_propernoun	jean-yves_propernoun
ancona_propernoun	ancona_propernoun
fisiológico_adjective	physiologique_adjective
guayana-francesa_propernoun	guyane_propernoun
etruria_propernoun	étrurie_propernoun
consagrar_verb	consacrer_verb
marichal_propernoun	marichal_propernoun
baath_propernoun	baath_propernoun
ostentación_noun	ostentation_noun
gernika-lumo_propernoun	gernika-lumo_propernoun
rehabilitación_noun	rehabilitation_noun
derechos-del-hombre-y-del-ciudadano_propernoun	droits-de-l'homme-et-du-citoyen_propernoun
creer_verb	croire_verb
buenas-migas_noun	bon-ménage_noun
montgomery_propernoun	montgomery_propernoun
ir_verb	aller_verb
arrugar_verb	rider_verb
vermeulen_propernoun	vermeulen_propernoun
ahora-que_subordinatingconjunction	maintenant-que_subordinatingconjunction
escudero_propernoun	escudero_propernoun
tumulto_noun	tumulte_noun
desequilibrio_noun	déséquilibre_noun
nantes_propernoun	nantes_propernoun
medio-de-autoservicio_noun	moyen-de-libre-service_noun
luego_adverb	après_adverb
akrami_propernoun	akrami_propernoun
velar_verb	voiler_verb
indurain_propernoun	indurain_propernoun
chantaje_noun	chantage_noun
alaska_propernoun	alaska_propernoun
mayoría-de-edad_noun	majorité_noun
sacro-imperio-romano-germánico_propernoun	saint-empire_propernoun
capital_noun	capitale_noun
andrey_propernoun	andrey_propernoun
imperialismo_noun	impérialisme_noun
juppé_propernoun	juppé_propernoun
magie_propernoun	magie_propernoun
reaccionario_noun	réactionnaire_noun
ariani_propernoun	ariani_propernoun
mizel_propernoun	mizel_propernoun
dermoepidérmico_adjective	dermo-épidermique_adjective
ellen-johnson-sirleaf_propernoun	ellen-johnson-sirleaf_propernoun
ramos_propernoun	ramos_propernoun
hípica_noun	hippisme_noun
cañizares_propernoun	cañizares_propernoun
otorrinolaringología_noun	otorrinolaryngologie_noun
retia_propernoun	rhétie_propernoun
ficción_noun	fiction_noun
airub_noun	airub_noun
proust_propernoun	proust_propernoun
lonja_noun	halle_noun
agazapar_verb	tapir_verb
invención_noun	invention_noun
anulación_noun	annulation_noun
martha_propernoun	martha_propernoun
tiborta_noun	poignée_noun
previsibilidad_noun	prévisibilité_noun
etxebarria_propernoun	etxebarria_propernoun
dieciséis_numeral	seize_numeral
actor_noun	acteur_noun
alberca_propernoun	alberca_propernoun
unesco_propernoun	unesco_propernoun
cuota-de-abono_noun	frais-d'abonnement_noun
perplejidad_noun	perplexité_noun
fuga_noun	fuite_noun
cervera_propernoun	cervera_propernoun
eitb_propernoun	eitb_propernoun
bermudas_propernoun	bermudes_propernoun
falangista_adjective	phalangiste_adjective
guezala_propernoun	guezala_propernoun
actitud_noun	attitude_noun
ardid_noun	ruse_noun
jaén_propernoun	jaén_propernoun
orleanesado_propernoun	orléanais_propernoun
safran_propernoun	safran_propernoun
adrede_adverb	exprès_adverb
comisión-por-cancelación_noun	commission-d'annulation_noun
potter_propernoun	potter_propernoun
civera_propernoun	civera_propernoun
jubilación_noun	retraite_noun
incriminación_noun	incrimination_noun
no-es-que_subordinatingconjunction	non-que_subordinatingconjunction
trío_noun	trio_noun
acumulable_adjective	accumulable_adjective
aede_noun	aede_noun
incomunicabilidad_noun	incommunicabilité_noun
piotr-ilich_propernoun	petr-ilitch_propernoun
desconfianza_noun	méfiance_noun
panamá_propernoun	panamá_propernoun
rebaño_noun	troupeau_noun
naturalización_noun	naturalisation_noun
primero_adjective	premier_adjective
responsabilidad_noun	responsabilité_noun
epsilon_propernoun	epsilon_propernoun
mirón_adjective	badaud_adjective
saturación_noun	saturation_noun
afrontar_verb	affronter_verb
brad_propernoun	brad_propernoun
rebelde_adjective	rebelle_adjective
impulso_noun	impulsion_noun
ventilador_noun	ventilateur_noun
halgand_propernoun	halgand_propernoun
anticoncepción_noun	contraception_noun
refrendar_verb	confirmer_verb
rutina_noun	routine_noun
invocar_verb	invoquer_verb
torre_noun	tour_noun
informal_adjective	informel_adjective
deportivo_adjective	sportif_adjective
ficha_noun	jeton_noun
filtro_noun	filtre_noun
hora-de-entrada_noun	heure-d'entrée_noun
revolver-el-estómago_verb	soulever-le-coeur_verb
honorífico_adjective	honorifique_adjective
andrle_propernoun	andrle_propernoun
hasta-nuevo-aviso_subordinatingconjunction	jusqu'à-nouvel-ordre_subordinatingconjunction
vizcaíno_adjective	biscayen_adjective
canet_propernoun	canet_propernoun
cobertura-informativa_noun	couverture-médiatique_noun
micerinos_propernoun	mykerinus_propernoun
depredador_adjective	prédateur_adjective
boya_noun	bouée_noun
veto_noun	veto_noun
campana_noun	cloche_noun
vigilancia_noun	surveillance_noun
noventa-y-ocho_numeral	quatre-vingt-dix-huit_numeral
punto-de-venta_noun	point-de-vente_noun
sui_noun	sui_noun
sánchez_propernoun	sánchez_propernoun
debacle_noun	désastre_noun
areo_propernoun	areo_propernoun
farmacia_noun	pharmacie_noun
electrón_noun	électron_noun
cambises-ii_propernoun	cambyse-ii_propernoun
neurona_noun	neurone_noun
desafiar_verb	défier_verb
secretariado_noun	secrétariat_noun
lennon_propernoun	lennon_propernoun
desconocer_verb	méconnaître_verb
hacer-el-tonto_verb	faire-l'idiot_verb
gabini_propernoun	gabini_propernoun
alcobasa_propernoun	alcobasa_propernoun
provinciano_adjective	provincial_adjective
atento_adjective	attentif_adjective
detallado_adjective	détaillé_adjective
alumbrado_noun	éclairage_noun
xv_numeral	xv_numeral
imperativo_noun	impératif_noun
contrato-laboral_noun	contrat-de-travail_noun
thatcher_propernoun	thatcher_propernoun
resbalar_verb	glisser_verb
fiscalía_noun	ministère-public_noun
recuperación_noun	récupération_noun
martinon_propernoun	martinon_propernoun
marie-george_propernoun	marie-george_propernoun
multifunción_noun	multifonction_noun
aturdir_verb	étourdir_verb
oskitz_propernoun	oskitz_propernoun
fusil_noun	fusil_noun
antiálgico_adjective	antialgique_adjective
propagar_verb	propager_verb
danzar_verb	danser_verb
sotomayor_propernoun	sotomayor_propernoun
mintzola_propernoun	mintzola_propernoun
tiago_propernoun	tiago_propernoun
faisal-ii_propernoun	faysal-iième_propernoun
modelización_noun	modélisation_noun
ganador_adjective	gagnant_adjective
ideológico_adjective	idéologique_adjective
adónde_interrogativepronoun	où_interrogativepronoun
hasta-tal-punto-que_subordinatingconjunction	à-tel-point-que_subordinatingconjunction
desconfianza_noun	défiance_noun
cuenta-indistinta_noun	compte-en-indivision_noun
otorgamiento_noun	concession_noun
constelación_noun	constellation_noun
vida_noun	vie_noun
taoufik_propernoun	taoufik_propernoun
desolación_noun	désolation_noun
pese-a-que_subordinatingconjunction	malgré-le-fait-que_subordinatingconjunction
godoy_propernoun	godoy_propernoun
fujita-tsuguharu_propernoun	léonard-foujita_propernoun
judas_propernoun	judas_propernoun
ranking_noun	classement_noun
transatlántico_adjective	transatlantique_adjective
equiparable_adjective	comparable_adjective
aventajar_verb	dépasser_verb
monet_propernoun	monet_propernoun
ai_noun	ai_noun
lehendakari_noun	président-du-pays-basque_noun
valle_noun	vallée_noun
librado_noun	tiré_noun
mientras-tanto_adverb	entre-temps_adverb
entorno_noun	environnement_noun
responsable_noun	responsable_noun
ros_propernoun	ros_propernoun
arrendamiento_noun	location_noun
techo_noun	plafond_noun
hurón_propernoun	huron_propernoun
intersección_noun	intersection_noun
papel_noun	papier_noun
leo_propernoun	lion_propernoun
n1_noun	n1_noun
no-mucho_adverb	pas-beaucoup_adverb
chatterley_propernoun	chatterley_propernoun
tm_noun	t_noun
al-respecto_adverb	à-ce-propos_adverb
dédalo_propernoun	dédale_propernoun
antiguo-régimen_propernoun	ancien-régime_propernoun
sin-embargo_adverb	pourtant_adverb
amplitud_noun	ampleur_noun
kia_propernoun	kia_propernoun
brest_propernoun	brest_propernoun
asaltar_verb	assaillir_verb
roh-moo-hyun_propernoun	roh-moo-hyun_propernoun
comparar-con_verb	apparenter-à_verb
apodar_verb	surnommer_verb
pedro-verona-rodrigues-pires_propernoun	pedro-verona-rodrigues-pires_propernoun
hinault_propernoun	hinault_propernoun
padre_noun	père_noun
territorio_noun	territoire_noun
en-favor-de-terceros_adverb	en-faveur-des-tiers_adverb
homogeneidad_noun	homogénéité_noun
permanentemente_adverb	en-permanence_adverb
alonso_propernoun	alonso_propernoun
baumann_propernoun	baumann_propernoun
morán_propernoun	morán_propernoun
folleto_noun	brochure_noun
organización-de-las-naciones-unidas_propernoun	organisation-des-nations-unies_propernoun
genio_noun	caractère_noun
dar-soporte_verb	supporter_verb
inagotable_adjective	inépuisable_adjective
evangelización_noun	évangélisation_noun
cristalización_noun	cristallisation_noun
polinesia-francesa_propernoun	polynésie-française_propernoun
acelerador_adjective	accélérateur_adjective
arberoa_propernoun	arbéroue_propernoun
según_preposition	au-dire-de_preposition
paulino_propernoun	paulino_propernoun
barceló_propernoun	barceló_propernoun
vaciar_verb	évider_verb
publicidad_noun	publicité_noun
patrono_noun	patron_noun
armada-roja_propernoun	armée-rouge_propernoun
otan_noun	otan_noun
mâcon_propernoun	mâcon_propernoun
the-guardian_propernoun	the-guardian_propernoun
cíclico_adjective	cyclique_adjective
posibilidad_noun	possibilité_noun
pintxo_noun	amuse-gueule_noun
i_numeral	i_numeral
coordinador_noun	coordinateur_noun
corrector_noun	correcteur_noun
millán_propernoun	millán_propernoun
ea_noun	ea_noun
clooney_propernoun	clooney_propernoun
incógnita_noun	inconnue_noun
grytviken_propernoun	grytviken_propernoun
yerno_noun	gendre_noun
cárcel_noun	prison_noun
sucesivamente_adverb	successivement_adverb
instalador_noun	installateur_noun
desprecio_noun	mépris_noun
juez_noun	juge_noun
asesor_adjective	de-conseil_adjective
bolsa_noun	sac_noun
profesionalización_noun	professionnalisation_noun
deserción_noun	désertion_noun
saneamiento-de-cartera_noun	assainissement-du-portefeuille_noun
bilbao_propernoun	bilbao_propernoun
neuilly_propernoun	neuilly_propernoun
anotar_verb	noter_verb
irakoitz_propernoun	irakoitz_propernoun
vergara_propernoun	vergara_propernoun
salir-de-sus-casillas_verb	sortir-de-ses-gonds_verb
alcestis_propernoun	alceste_propernoun
aldaya_propernoun	aldaia_propernoun
reflexión_noun	réflexion_noun
tibetano_adjective	tibétain_adjective
expresión_noun	expression_noun
centésimo_noun	centième_noun
legitimidad_noun	légitimité_noun
discapacitado_adjective	handicapé_adjective
jaio_propernoun	jaio_propernoun
diputado_noun	député_noun
lente_noun	lentille_noun
delgado_propernoun	delgado_propernoun
esnal_propernoun	esnal_propernoun
gurbanguly-berdimuhammedow_propernoun	gurbanguly-berdimuhammedow_propernoun
veteranía_noun	expérience_noun
insólito_adjective	inaccoutumé_adjective
cabo-de-agujas_propernoun	cape-des-aiguilles_propernoun
auritz-burguete_propernoun	auritz-burguete_propernoun
estirar-la-pata_verb	casser-sa-pipe_verb
henao_propernoun	hainaut_propernoun
mireille_propernoun	mireille_propernoun
petrograd_propernoun	pétrograd_propernoun
recaída_noun	retombée_noun
neil_propernoun	neil_propernoun
rugby_noun	rugby_noun
interventor_adjective	intervenant_adjective
somme_propernoun	somme_propernoun
airosamente_adverb	élégamment_adverb
resucitar_verb	ressusciter_verb
famoso_adjective	fameux_adjective
prueba_noun	épreuve_noun
franquista_adjective	franquiste_adjective
ussuriisk_propernoun	oussouriisk_propernoun
invariable_adjective	invariable_adjective
salazar_propernoun	salazar_propernoun
eros_propernoun	éros_propernoun
termómetro_noun	thermomètre_noun
alpes-de-alta-provenza_propernoun	alpes-de-haute-provence_propernoun
esther_propernoun	esther_propernoun
juerga_noun	bringue_noun
louise_propernoun	louise_propernoun
precepto_noun	précepte_noun
anais_propernoun	anais_propernoun
a-priori_adverb	a-priori_adverb
bestialidad_noun	bestialité_noun
aflorar_verb	affleurer_verb
omán_propernoun	oman_propernoun
querella_noun	complainte_noun
peña_noun	club_noun
costar-un-ojo-de-la-cara_verb	coûter-les-yeux-de-la-tête_verb
burofax_noun	fax_noun
elsa_propernoun	elsa_propernoun
quizás_adverb	peut-être_adverb
alunizaje_noun	alunissage_noun
biólogo_noun	biologiste_noun
estropear_verb	abîmer_verb
etcétera_subordinatingconjunction	et-cetera_subordinatingconjunction
fuera-de_preposition	en-dehors-de_preposition
visa_noun	visa_noun
voto_noun	vote_noun
pala_noun	pelle_noun
arnotegi_propernoun	arnotegi_propernoun
saipan_propernoun	saipan_propernoun
concejala_noun	conseillère-municipale_noun
poner-trabas_verb	mettre-des-bâtons-dans-les-roues_verb
filadelfia_propernoun	philadelphie_propernoun
lingüístico_adjective	linguistique_adjective
hortefeux_propernoun	hortefeux_propernoun
anneli_propernoun	anneli_propernoun
avignon_propernoun	avignon_propernoun
buesa_propernoun	buesa_propernoun
millardo_noun	milliard_noun
autodeterminación_noun	autodétermination_noun
asiria_propernoun	assyrie_propernoun
pascua_propernoun	pâques_propernoun
ansioso_adjective	anxieux_adjective
berbalagun_propernoun	berbalagun_propernoun
hogar-del-pensionista_noun	foyer-de-retraités_noun
modo_noun	façon_noun
elegancia_noun	élégance_noun
constitucionalmente_adverb	constitutionnellement_adverb
feo_adjective	laid_adjective
notificar_verb	notifier_verb
etxalus_propernoun	etxalus_propernoun
caspe_propernoun	caspe_propernoun
referencia_noun	référencement_noun
escalar_verb	escalader_verb
opositor_adjective	opposant_adjective
discutir_verb	contester_verb
liberia_propernoun	libéria_propernoun
anibal_propernoun	hannibal_propernoun
roissy_propernoun	roissy_propernoun
regalar_verb	offrir_verb
playtime_propernoun	playtime_propernoun
caución_noun	caution_noun
manny-mori_propernoun	manny-mori_propernoun
países-del-loira_propernoun	pays-de-la-loire_propernoun
esqueleto_noun	squelette_noun
en-justicia_adverb	en-toute-justice_adverb
danièle_propernoun	danièle_propernoun
kim-jong-il_propernoun	kim-jong-il_propernoun
sondeo_noun	sondage_noun
domiciliar_verb	domicilier_verb
rast_noun	rast_noun
cata_noun	dégustation_noun
descartar_verb	écarter_verb
albese_propernoun	albese_propernoun
aglomerado_noun	aggloméré_noun
damocles_propernoun	damoclès_propernoun
presa_noun	prise_noun
bailén_propernoun	bailén_propernoun
abjasia_propernoun	abkhazie_propernoun
nacionalidad_noun	nationalité_noun
óscar-berger-perdomo_propernoun	óscar-berger-perdomo_propernoun
ironizar_verb	ironiser_verb
tirada_noun	tirage_noun
resonar_verb	résonner_verb
solo_adjective	seul_adjective
alabar_verb	louer_verb
numancia_propernoun	numance_propernoun
deflagración_noun	déflagration_noun
corajoso_adjective	courageux_adjective
opinión_noun	opinion_noun
aditivo_adjective	additif_adjective
militar_noun	militaire_noun
mondragón_propernoun	mondragón_propernoun
fito_propernoun	fito_propernoun
sensibilidad_noun	sensibilité_noun
gigante_adjective	géant_adjective
carrefour_propernoun	carrefour_propernoun
comunicante_noun	communicant_noun
prescriptor_noun	prescripteur_noun
imperio-austrohúngaro_propernoun	empire-austro-hongrois_propernoun
planeta_noun	planète_noun
hambruna_noun	faim_noun
dictadura_noun	dictature_noun
repetidamente_adverb	à-plusieurs-reprises_adverb
costa-del-azahar_propernoun	costa-del-azahar_propernoun
oliva_propernoun	oliva_propernoun
alcudia_propernoun	alcúdia_propernoun
ryan_propernoun	ryan_propernoun
complementar_verb	compléter_verb
mal_adverb	mal_adverb
percibir-haberes_verb	percevoir-des-biens_verb
adeslas_propernoun	adeslas_propernoun
curar_verb	guérir_verb
colega_noun	collègue_noun
sobrina_noun	nièce_noun
cheliuskin_propernoun	tcheliouskine_propernoun
giorgio_propernoun	giorgio_propernoun
de-tal-modo-que_subordinatingconjunction	de-telle-façon-que_subordinatingconjunction
enterrar_verb	enterrer_verb
apache_adjective	apache_adjective
tapiador_propernoun	tapiador_propernoun
incesante_adjective	incessant_adjective
bizkaina_propernoun	bizkaina_propernoun
de-momento_adverb	pour-le-moment_adverb
jauregi_propernoun	jauregi_propernoun
richardson_propernoun	richardson_propernoun
irónico_adjective	ironique_adjective
arbitraje_noun	arbitrage_noun
forestal_adjective	forestier_adjective
felipe-i-el-hermoso_propernoun	philippe-ier-le-beau_propernoun
amann_propernoun	amann_propernoun
de-manera-que_subordinatingconjunction	de-manière-que_subordinatingconjunction
completamente_adverb	complètement_adverb
incontrovertido_adjective	incontroversé_adjective
ebro_propernoun	èbre_propernoun
combustión_noun	combustion_noun
patinaje_noun	patinage_noun
formar_verb	former_verb
demandante_adjective	plaignant_adjective
gri_propernoun	gri_propernoun
comunicar_verb	communiquer_verb
corrales_propernoun	corrales_propernoun
derechista_adjective	de-droite_adjective
evergreen_propernoun	evergreen_propernoun
plinio-el-viejo_propernoun	pline-l'ancien_propernoun
valladolid_propernoun	valladolid_propernoun
arbitrariedad_noun	arbitraire_noun
sucesor_noun	successeur_noun
obediente_adjective	obéissant_adjective
christoph_propernoun	christoph_propernoun
ferraz_propernoun	ferraz_propernoun
afanias_noun	afanias_noun
fondo-público_noun	fonds-publics_noun
investigación_noun	investigation_noun
cortesía_noun	politesse_noun
forzar_verb	forcer_verb
sichuan_propernoun	sichuan_propernoun
innegable_adjective	indéniable_adjective
amir_propernoun	amir_propernoun
pirineo_propernoun	pyrénées_propernoun
ronda_noun	ronde_noun
conglomerado_noun	conglomérat_noun
intento_noun	tentative_noun
vulerabilidad_noun	vulnérabilité_noun
amero_noun	améro_noun
con-efecto-a-partir-de_preposition	en-vigueur-à-partir-de_preposition
adición_noun	ajout_noun
amarillento_adjective	jaunâtre_adjective
afectar_verb	affecter_verb
aketza_propernoun	aketza_propernoun
demarcación_noun	démarcation_noun
desplazar_verb	déplacer_verb
aramendia_propernoun	aramendia_propernoun
extraño_adjective	bizarre_adjective
observador_adjective	observateur_adjective
aún_adverb	encore_adverb
tarjeta-monedero_noun	carte-porte-monnaie_noun
villalobos_propernoun	villalobos_propernoun
clausurar_verb	clôturer_verb
bombay_propernoun	mumbai_propernoun
morfeo_propernoun	morphée_propernoun
fujita-tsuguharu_propernoun	tsuguharu-fujita_propernoun
anorexia_noun	anorexie_noun
rebelión_noun	rébellion_noun
africano_noun	africain_noun
incinerar_verb	incinérer_verb
mil_numeral	mil_numeral
trigo_noun	blé_noun
carmen_propernoun	carmen_propernoun
karun_propernoun	karoun_propernoun
pensar-en-las-musarañas_verb	bâiller-à-s'en-décrocher-la-mâchoire_verb
cuál_adjective	quel_adjective
cuál_interrogativepronoun	quel_interrogativepronoun
depurar_verb	épurer_verb
impedir_verb	empêcher_verb
arbe_propernoun	arbe_propernoun
listón_noun	latte_noun
santuario_noun	sanctuaire_noun
igone_propernoun	igone_propernoun
pesado_adjective	lourd_adjective
vice_adjective	vice_adjective
ánimo_noun	esprit_noun
ametsa_propernoun	ametsa_propernoun
reducción_noun	réduction_noun
sin-voz-ni-voto_adverb	sans-voix-délibérative_adverb
moratinos_propernoun	moratinos_propernoun
areatza_propernoun	areatza_propernoun
comoras_propernoun	comores_propernoun
horizonte_noun	horizon_noun
opositor_noun	adversaire_noun
plana_propernoun	plana_propernoun
recibir_verb	recevoir_verb
su-majestad-el-rey_noun	sa-majesté-le-roi_noun
galardón_noun	prix_noun
área_noun	zone_noun
kremlin_propernoun	kremlin_propernoun
alegoría_noun	allégorie_noun
importe_noun	montant_noun
sandra-bullock_propernoun	sandra-bullock_propernoun
tratar-a-cuerpo-de-rey_verb	soigner-aux-petits-oignons_verb
aiztondo_propernoun	aiztondo_propernoun
efracción_noun	effraction_noun
guinda_noun	cerise_noun
colocación_noun	placement_noun
maputo_propernoun	maputo_propernoun
agobio_noun	accablement_noun
palestino_adjective	palestinien_adjective
reajuste_noun	réajustement_noun
insurgencia_noun	insurrection_noun
guerra-franco-prusiana_noun	guerre-franco-allemande_noun
consentir_verb	consentir_verb
rendir-cuentas_verb	rendre-des-comptes_verb
timo_noun	thymus_noun
microchip_noun	micropuce_noun
descripción_noun	signalement_noun
trento_propernoun	trente_propernoun
encontrar_verb	rencontrer_verb
álvaro-uribe_propernoun	álvaro-uribe-vélez_propernoun
parlamentario_noun	parlementaire_noun
kurdistán_propernoun	kurdistan_propernoun
reconnectarse_verb	reconnecter_verb
ozono_noun	ozone_noun
sentar_verb	asseoir_verb
oro_noun	or_noun
acaecer_verb	devenir_verb
monumental_adjective	monumental_adjective
espinosa_propernoun	espinosa_propernoun
chaparrón_noun	averse_noun
mucho_adverb	guère_adverb
neocolonialista_adjective	néocolonialiste_adjective
desiderio_propernoun	desiderio_propernoun
efta_noun	aele_noun
norsk_propernoun	norsk_propernoun
estatus_noun	statut_noun
vista_noun	vue_noun
continuar_verb	continuer_verb
mancebo_noun	jeune-homme_noun
tercer-mundo_propernoun	tiers-monde_propernoun
poner-de-largo_verb	présenter_verb
obligar_verb	obliger_verb
joel_propernoun	joel_propernoun
institucional_adjective	institutionnel_adjective
jijona_propernoun	jijona_propernoun
psicológicamente_adverb	psychologiquement_adverb
bouygues_propernoun	bouygues_propernoun
puntualizar_verb	préciser_verb
recta_noun	ligne-droite_noun
totalidad_noun	totalité_noun
aalborg_propernoun	aalborg_propernoun
reciente_adjective	récent_adjective
andamán_propernoun	andaman_propernoun
aparentemente_adverb	apparemment_adverb
compartimento_noun	compartiment_noun
pagoamigo_propernoun	pagoamigo_propernoun
orden-permanente_noun	ordre-permanent_noun
cataratas-del-niágara_propernoun	chutes-du-niagara_propernoun
de-cannes_adjective	cannois_adjective
sueldo_noun	salaire_noun
vencer_verb	vaincre_verb
velatorio_noun	veillée-funèbre_noun
vincular_verb	lier_verb
isabel-farnesio_propernoun	élisabeth-farnèse_propernoun
estatua_noun	statue_noun
arma-química_noun	arme-chimique_noun
vivienda_noun	logis_noun
geroa_propernoun	geroa_propernoun
alguacil_noun	huissier_noun
establecimiento-comercial_noun	établissement-commercial_noun
soja_noun	soja_noun
laval_propernoun	laval_propernoun
preocupación_noun	préoccupation_noun
richard_propernoun	richard_propernoun
chándal_noun	survêtement_noun
capitulación_noun	capitulation_noun
antiglobalización_noun	antiglobalisation_noun
marx_propernoun	marx_propernoun
casi_adverb	presque_adverb
vivero_noun	pépinière_noun
arregi_propernoun	arregi_propernoun
maquinaria_noun	engin_noun
medicamento_noun	médicament_noun
gutarrak_propernoun	gutarrak_propernoun
esfera_noun	sphère_noun
new-yorker_propernoun	new-yorker_propernoun
casación_noun	cassation_noun
reto_noun	défi_noun
alsacia_propernoun	alsace_propernoun
allan_propernoun	allan_propernoun
txapela_noun	prix_noun
ansia_noun	transe_noun
furioso_adjective	furieux_adjective
en-cualquier-momento_adverb	à-tout-moment_adverb
diseño_noun	création_noun
