positioner_noun	posicionador_noun
a-while_adverb	una-estona_adverb
television_adjective	televisiu_adjective
jihad_noun	jihad_noun
ulcer_noun	úlcera_noun
leech_noun	sangonera_noun
philosophic_adjective	filosòfic_adjective
ibarretxe_propernoun	ibarretxe_propernoun
close-by_adverb	molt-a-prop_adverb
surplus_noun	sobrant_noun
cablegram_noun	cablegrama_noun
injurious_adjective	injuriós_adjective
fernandez_propernoun	fernandez_propernoun
force-majeure_noun	força-major_noun
pseudoscience_noun	pseudociència_noun
cabaret_noun	cabaret_noun
march_noun	març_noun
eosinophilia_noun	eosinofília_noun
generosa_propernoun	generosa_propernoun
craig_propernoun	craig_propernoun
interchangeably_adverb	de-manera-intercambiable_adverb
mills_propernoun	mills_propernoun
tactic_noun	tàctica_noun
blanch_propernoun	blanch_propernoun
eager_adjective	ansiós_adjective
sulfanilamide_noun	sulfanilamida_noun
quadruped_adjective	quadrúpede_adjective
vadillo_propernoun	vadillo_propernoun
fuzzy-set_noun	conjunt-difús_noun
nonexistent_adjective	inexistent_adjective
twelve_numeral	dotze_numeral
gros_propernoun	gros_propernoun
even-more_adverb	encara-més_adverb
accentuation_noun	accentuació_noun
aromatic_adjective	aromàtic_adjective
translucent_adjective	translúcid_adjective
jean-bernard_propernoun	jean-bernard_propernoun
oscillation_noun	oscil·lació_noun
astrologer_noun	astròleg_noun
radiosonde_noun	radiosonda_noun
maladjusted_adjective	inadaptat_adjective
clever_adjective	llest_adjective
evoy_propernoun	evoy_propernoun
bandwidth_noun	ample-de-banda_noun
mucci_propernoun	mucci_propernoun
jam_noun	embós_noun
for-control-purposes_adverb	per-raons-de-control_adverb
déodat_propernoun	déodat_propernoun
zoning_noun	zonificació_noun
coup-d'état_noun	cop-d'estat_noun
guay_propernoun	guay_propernoun
deacon_propernoun	deacon_propernoun
polyposis_noun	poliposi_noun
aguilar_propernoun	aguilar_propernoun
black_noun	negre_noun
mix_noun	barreja_noun
nauru_propernoun	nauru_propernoun
living_adjective	de-vida_adjective
hamon_propernoun	hamon_propernoun
manoukian_propernoun	manoukian_propernoun
good-looking_adjective	guapo_adjective
iberia-ashland_propernoun	iberia-ashland_propernoun
fleet_noun	flota_noun
karenina_propernoun	karenina_propernoun
norno_propernoun	norno_propernoun
hepatology_noun	hepatologia_noun
cases_propernoun	cases_propernoun
almagro_propernoun	almagro_propernoun
rumour_verb	rumorejar_verb
megalith_noun	megàlit_noun
martucci_propernoun	martucci_propernoun
dalia_propernoun	dalia_propernoun
archiphoneme_noun	arxifonema_noun
astrology_noun	astrologia_noun
speaker_noun	ponent_noun
table-a-motion_verb	presentar-una-moció_verb
fistula_noun	fístula_noun
hilda_propernoun	hilda_propernoun
talia_propernoun	talia_propernoun
palos_propernoun	palos_propernoun
pounce_verb	estergir_verb
essentially_adverb	essencialment_adverb
muria_propernoun	muria_propernoun
tracheotomy_noun	traqueotomia_noun
image_noun	estampa_noun
endoplasmic_adjective	endoplàsmic_adjective
expire_verb	caducar_verb
remove_verb	retirar_verb
pray_verb	pregar_verb
soria_propernoun	soria_propernoun
ugly_adjective	lleig_adjective
virtual_adjective	virtual_adjective
pavel_propernoun	pavel_propernoun
potassium_noun	potassi_noun
trochiter_noun	tròquiter_noun
pint_noun	pinta_noun
shortening_noun	abreujament_noun
belen_propernoun	belen_propernoun
aureole_noun	aurèola_noun
remember_verb	recordar_verb
presence_noun	presència_noun
down-below_adverb	avall_adverb
assessment_noun	apreciació_noun
van_noun	camioneta_noun
anti-doping-laboratory_noun	laboratori-antidopatge_noun
hawkins_propernoun	hawkins_propernoun
phony_adjective	farsant_adjective
plunge_verb	submergir_verb
over-time_adverb	amb-el-temps_adverb
fortune-500_propernoun	fortune-500_propernoun
weightman_propernoun	weightman_propernoun
dieujuste_propernoun	dieujuste_propernoun
xiaoping_propernoun	xiaoping_propernoun
disrespect_noun	falta-de-respecte_noun
rial_propernoun	rial_propernoun
bloodsucker_noun	sangonera_noun
purple_noun	porpra_noun
uppermost_adverb	a-sobre_adverb
lady_noun	senyor_noun
cytodiaeresis_noun	citodièresi_noun
iorio_propernoun	iorio_propernoun
telly_propernoun	telly_propernoun
accomplish_verb	complir_verb
newton_propernoun	newton_propernoun
stride_noun	camallada_noun
redeem_verb	bescanviar_verb
constituent_noun	constituent_noun
meroño_propernoun	meroño_propernoun
pete_propernoun	pete_propernoun
camp_noun	campament_noun
from-nowhere_adverb	d'enlloc_adverb
blender_noun	mescladora_noun
niahim_propernoun	niahim_propernoun
pad_noun	plataforma_noun
chronometer_noun	cronòmetre_noun
opotherapy_noun	opoteràpia_noun
lean_verb	donar-suport_verb
mercury_propernoun	mercuri_propernoun
feasible_adjective	factible_adjective
elect_verb	triar_verb
serge_noun	sarja_noun
cochlea_noun	còclea_noun
unreliable_adjective	poc-fiable_adjective
wall-in_verb	emmurallar_verb
from-alicante_adjective	alacantí_adjective
seamlessly_adverb	sense-interrupcions_adverb
proportionality_noun	proporcionalitat_noun
smooth_verb	suavitzar_verb
bosnia_propernoun	bòsnia_propernoun
intense_adjective	intens_adjective
scholar_noun	becari_noun
equalise_verb	equalitzar_verb
entertainment_noun	entreteniment_noun
compressibility_noun	compressibilitat_noun
ride_noun	passejada_noun
carthage_propernoun	cartago_propernoun
elario_propernoun	elario_propernoun
stoma_noun	estoma_noun
renee_propernoun	renee_propernoun
enfield_propernoun	enfield_propernoun
hardship_noun	tràngol_noun
there_adverb	allí_adverb
aperture_noun	obertura_noun
then_adverb	llavors_adverb
gangster_noun	gàngster_noun
ischium_noun	isqui_noun
cure_noun	cura_noun
decrypt_verb	desencriptar_verb
constrained_adjective	cohibit_adjective
goyer_propernoun	goyer_propernoun
on-an-individual-basis_adverb	individualment_adverb
rodecinda_propernoun	rodecinda_propernoun
noel-stefani_propernoun	noel-stefani_propernoun
galaxy_noun	galàxia_noun
iridoparalysis_noun	iridoparàlisi_noun
vasari_propernoun	vasari_propernoun
landelino_propernoun	landelino_propernoun
diet_noun	règim_noun
enclosed_adjective	tancat_adjective
mussel_noun	musclo_noun
multiplicity_noun	multiplicitat_noun
gifford_propernoun	gifford_propernoun
keeling_propernoun	keeling_propernoun
edition_noun	edició_noun
hemoagglutination_noun	hemoaglutinació_noun
sedation_noun	sedació_noun
muon_noun	muó_noun
asymptote_noun	asímptota_noun
fons_propernoun	fons_propernoun
founder_noun	fundador_noun
homogenise_verb	homogeneïtzar_verb
ratification_noun	ratificació_noun
adjust_verb	ajustar_verb
trujillo_propernoun	trujillo_propernoun
triangulation_noun	triangulació_noun
trade-name_noun	nom-comercial_noun
semiaquatic_adjective	semiaquàtic_adjective
reservation_noun	reserva_noun
park_propernoun	park_propernoun
bed_noun	llit_noun
below_adverb	avall_adverb
čssd_noun	čssd_noun
subcommittee_noun	subcomissió_noun
superelevation_noun	peralt_noun
sit-down_verb	seure_verb
compass_noun	compàs_noun
chris_propernoun	chris_propernoun
cornwallis_propernoun	cornwallis_propernoun
calafell_propernoun	calafell_propernoun
greeting_noun	salutació_noun
blindworm_noun	lliseta_noun
apertium_propernoun	apertium_propernoun
gurrera_propernoun	gurrera_propernoun
calixta_propernoun	calixta_propernoun
ashlar_noun	carreu_noun
aniano_propernoun	aniano_propernoun
nerea_propernoun	nerea_propernoun
inspection_noun	inspecció_noun
jahiem_propernoun	jahiem_propernoun
espallargas_propernoun	espallargas_propernoun
canonization_noun	canonització_noun
even-so_subordinatingconjunction	així-i-tot_subordinatingconjunction
vilagrán_propernoun	vilagrán_propernoun
sedition_noun	sedició_noun
maximilian_propernoun	maximilian_propernoun
cross-eyed_adjective	guerxo_adjective
candidate_noun	candidat_noun
hydrothermal_adjective	hidrotermal_adjective
sumptuary_adjective	sumptuari_adjective
ethylcellulose_noun	etilcel·lulosa_noun
simona_propernoun	simona_propernoun
tandy_propernoun	tandy_propernoun
pyrenoid_noun	pirenoide_noun
mendonca_propernoun	mendonca_propernoun
toning_noun	viratge_noun
new-delhi_propernoun	nova-delhi_propernoun
outline_noun	contorn_noun
masana_propernoun	masana_propernoun
up-until-then_adverb	fins-llavors_adverb
ageo_propernoun	ageo_propernoun
self-criticism_noun	autocrítica_noun
fragment_verb	fragmentar_verb
rush_noun	pressa_noun
farming_noun	agricultura_noun
far-too-long_adverb	massa-llarg_adverb
tuner_noun	sintonitzador_noun
canalisation_noun	canalització_noun
in-dire-straits_adverb	en-una-situació-desesperada_adverb
oxidation-reduction_noun	oxidació-reducció_noun
malet_propernoun	malet_propernoun
prominently_adverb	prominentment_adverb
ramón-grau_propernoun	ramón-grau_propernoun
picotin_propernoun	picotin_propernoun
dorothy_propernoun	dorothy_propernoun
ironic_adjective	irònic_adjective
dembski_propernoun	dembski_propernoun
servomotor_noun	servomotor_noun
masoretic_adjective	masorètic_adjective
lactiferous_adjective	lactífer_adjective
valdez_propernoun	valdez_propernoun
contiguity_noun	contigüitat_noun
jovino_propernoun	jovino_propernoun
bethesda-softworks_propernoun	bethesda-softworks_propernoun
niobium_noun	niobi_noun
considerably_adverb	considerablement_adverb
impede_verb	impedir_verb
statically_adverb	estàticament_adverb
splendour_noun	esplendor_noun
morphometric_adjective	morfomètric_adjective
for-my-part_adverb	per-part-meva_adverb
bogota_propernoun	bogotà_propernoun
lutfy_propernoun	lutfy_propernoun
praetorian_adjective	pretorià_adjective
inspect_verb	inspeccionar_verb
speaker_noun	altaveu_noun
nuisance_noun	nosa_noun
good-for-nothing_noun	inútil_noun
digitise_verb	digitalitzar_verb
nicaraguan_noun	nicaragüenc_noun
gaëtan_propernoun	gaëtan_propernoun
paul_propernoun	paul_propernoun
chiasson_propernoun	chiasson_propernoun
courteously_adverb	amb-cortesia_adverb
along-general-lines_adverb	a-grans-trets_adverb
stupidity_noun	estupidesa_noun
savion_propernoun	savion_propernoun
arnan_propernoun	arnan_propernoun
grandbois_propernoun	grandbois_propernoun
criminally_adverb	criminalment_adverb
independently_adverb	independentment_adverb
clothes_noun	vestimenta_noun
men's-team_noun	selecció-masculina_noun
corporally_adverb	corporalment_adverb
conscription_noun	allistament_noun
rina_propernoun	rina_propernoun
unnaturally_adverb	innaturalment_adverb
defenceless_adjective	indefens_adjective
pelayo_propernoun	pelayo_propernoun
senegalese_adjective	senegalès_adjective
bind_verb	lligar_verb
carlos-casares_propernoun	carlos-casares_propernoun
young_adjective	jove_adjective
hemidemisemiquaver_noun	semifusa_noun
willy_propernoun	willy_propernoun
trace_propernoun	trace_propernoun
roving_adjective	ambulant_adjective
paraguayan_noun	paraguaià_noun
thermodynamics_noun	termodinàmica_noun
make-up_verb	inventar_verb
apperception_noun	apercepció_noun
fernão_propernoun	fernão_propernoun
perfecta_propernoun	perfecta_propernoun
proconsul_noun	procònsol_noun
smoker_noun	fumador_noun
forrest_propernoun	forrest_propernoun
efficiency_noun	eficàcia_noun
from-coast-to-coast_adverb	de-costa-a-costa_adverb
respect_noun	respecte_noun
performance_noun	rendiment_noun
peix_propernoun	peix_propernoun
marko_propernoun	marko_propernoun
ruz_propernoun	ruz_propernoun
malko_propernoun	malko_propernoun
a-few_pronoun	uns-quants_pronoun
jade_noun	jade_noun
estrangement_noun	distanciament_noun
wido_propernoun	wido_propernoun
storm_verb	atacar_verb
brilliance_noun	brillantor_noun
sidonia_propernoun	sidonia_propernoun
hobby_noun	passatemps_noun
departamental_adjective	departamental_adjective
gort_propernoun	gort_propernoun
dumaresq_propernoun	dumaresq_propernoun
notch_verb	entallar_verb
coagulability_noun	coagulabilitat_noun
hexafluoride_noun	hexafluorur_noun
mark_verb	puntuar_verb
at-their-request_adverb	a-petició-seva_adverb
brest-litovsk_propernoun	brest-litovsk_propernoun
circassian_adjective	circassià_adjective
regenerative_adjective	regeneratiu_adjective
verna_propernoun	verna_propernoun
doughnut_noun	dònut_noun
chancellorsville_propernoun	chancellorsville_propernoun
scarlet_noun	escarlata_noun
archaeologist_noun	arqueòleg_noun
identically_adverb	idènticament_adverb
emilie_propernoun	emilie_propernoun
marcone_propernoun	marcone_propernoun
fictionism_noun	ficcionalisme_noun
aristarco_propernoun	aristarco_propernoun
vulcanologist_noun	vulcanòleg_noun
fajardo_propernoun	fajardo_propernoun
attest_verb	testificar_verb
fiscally_adverb	fiscalment_adverb
ski_noun	esquí_noun
aquitaine_propernoun	aquitània_propernoun
wall_noun	tàpia_noun
ichthyology_noun	ictiologia_noun
presumable_adjective	presumible_adjective
totalitarianism_noun	totalitarisme_noun
christianization_noun	cristianització_noun
audacity_noun	gosadia_noun
ridicule_verb	ridiculitzar_verb
rugometer_noun	rugosímetre_noun
bonnie_propernoun	bonnie_propernoun
denudation_noun	denudació_noun
moine_propernoun	moine_propernoun
marion_propernoun	marion_propernoun
efrain_propernoun	efrain_propernoun
cappadocia_propernoun	capadòcia_propernoun
nolin_propernoun	nolin_propernoun
move-away_verb	allunyar_verb
talía_propernoun	talía_propernoun
cunha_propernoun	cunha_propernoun
mesencephalon_noun	mesencèfal_noun
sharecropper_noun	parcer_noun
haines_propernoun	haines_propernoun
brush_noun	escombreta_noun
jawad_propernoun	jawad_propernoun
devonian_adjective	devonià_adjective
macie_propernoun	macie_propernoun
proportionally_adverb	proporcionalment_adverb
laporte_propernoun	laporte_propernoun
holograph_noun	hològraf_noun
caouette_propernoun	caouette_propernoun
sing_verb	cantar_verb
often_adverb	sovint_adverb
oleoplast_noun	eleoplast_noun
somersault_noun	giravolt_noun
enough_adverb	força_adverb
nicolaus_propernoun	nicolaus_propernoun
dativa_propernoun	dativa_propernoun
recall_verb	recordar_verb
blado_propernoun	blado_propernoun
thirty-first_adjective	trenta-unè_adjective
flawed_adjective	defectuós_adjective
cigarette_noun	cigarret_noun
romanization_noun	romanització_noun
jesús_propernoun	jesús_propernoun
trinitario_propernoun	trinitario_propernoun
wesley_propernoun	wesley_propernoun
santa_propernoun	santa_propernoun
finally_adverb	a-la-fi_adverb
zaragoza_propernoun	saragossa_propernoun
lockout_noun	locaut_noun
balancemeter_noun	balancímetre_noun
monoblast_noun	monoblast_noun
estropadak_noun	estropadak_noun
roso_propernoun	roso_propernoun
ravage_verb	devastar_verb
in-a-minute_adverb	en-un-minut_adverb
miniaturisation_noun	miniaturització_noun
electrogravimetry_noun	electrogravimetria_noun
organic_adjective	orgànic_adjective
poulin_propernoun	poulin_propernoun
next-december_adverb	el-desembre-vinent_adverb
akemi_propernoun	akemi_propernoun
receiver_noun	auricular_noun
mera_propernoun	mera_propernoun
syndicated-share_noun	acció-sindicada_noun
in-all-fairness_adverb	amb-tota-justícia_adverb
moldovan_adjective	moldau_adjective
per-person_adverb	per-persona_adverb
the-next-tuesday_adverb	el-proper-dimarts_adverb
layer_noun	estrat_noun
mandelson_propernoun	mandelson_propernoun
hypercapnia_noun	hipercàpnia_noun
meantime_adverb	mentrestant_adverb
magrané_propernoun	magrané_propernoun
according_preposition	segons_preposition
healthcare_noun	salut_noun
leocadia_propernoun	leocadia_propernoun
paz_propernoun	paz_propernoun
use_noun	ús_noun
grieve_verb	apesarar_verb
sincerely_adverb	sincerament_adverb
nitrification_noun	nitrificació_noun
pronominalisation_noun	pronominalització_noun
leeds_propernoun	leeds_propernoun
inaccurate_adjective	inexacte_adjective
normand_propernoun	normand_propernoun
médicis_propernoun	médicis_propernoun
angkor_propernoun	angkor_propernoun
neology_noun	neologia_noun
hydrographic_adjective	hidrogràfic_adjective
arnaz_propernoun	arnaz_propernoun
epicurus_propernoun	epicur_propernoun
dimer_noun	dímer_noun
pageau_propernoun	pageau_propernoun
negligence_noun	negligència_noun
inshore-fishing_noun	pesca-litoral_noun
maurilio_propernoun	maurilio_propernoun
bujan_propernoun	bujan_propernoun
shock_noun	descàrrega_noun
desinvestment_noun	desinversió_noun
histamine_noun	histamina_noun
spawn_verb	engendrar_verb
auditory_adjective	auditiu_adjective
milne_propernoun	milne_propernoun
molarity_noun	molaritat_noun
papadopoulos_propernoun	papadopoulos_propernoun
just-now_adverb	ara-mateix_adverb
itself_pronoun	ell-mateix_pronoun
abominable_adjective	abominable_adjective
sabat_propernoun	sabat_propernoun
range_verb	variar_verb
function_noun	funció_noun
düsseldorf_propernoun	düsseldorf_propernoun
arduously_adverb	àrduament_adverb
life_noun	vida_noun
donnelly_propernoun	donnelly_propernoun
boismenu_propernoun	boismenu_propernoun
flow_noun	flux_noun
male_noun	home_noun
steep_adjective	inclinat_adjective
elliott_propernoun	elliott_propernoun
the-other-night_adverb	l'altra-nit_adverb
palpable_adjective	palpable_adjective
compel_verb	obligar_verb
rupérez_propernoun	rupérez_propernoun
faustin_propernoun	faustin_propernoun
inflammable_adjective	inflamable_adjective
mayor_noun	batlle_noun
tarifa_propernoun	tarifa_propernoun
ricarda_propernoun	ricarda_propernoun
rachelle_propernoun	rachelle_propernoun
bast_noun	líber_noun
exchanger_noun	bescanviador_noun
newcastle_propernoun	newcastle_propernoun
coordinate_verb	coordinar_verb
saint_noun	sant_noun
milun_propernoun	milun_propernoun
float_verb	surar_verb
irupé_propernoun	irupé_propernoun
aftermath_noun	conseqüència_noun
mythical_adjective	mític_adjective
robineau_propernoun	robineau_propernoun
recuero_propernoun	recuero_propernoun
part_noun	part_noun
noel_propernoun	noel_propernoun
yvain_propernoun	yvain_propernoun
tropical_adjective	tropical_adjective
hemotherapy_noun	hemoteràpia_noun
cinaras_propernoun	cinaras_propernoun
notburga_propernoun	notburga_propernoun
zenaires_propernoun	zenaires_propernoun
abdu_propernoun	abdu_propernoun
isostasy_noun	isostàsia_noun
without_preposition	sense_preposition
pavement_noun	vorera_noun
tortorici_propernoun	tortorici_propernoun
apoptosis_noun	apoptosi_noun
jonah_propernoun	jonah_propernoun
posthumously_adverb	pòstumament_adverb
agonizing_adjective	atroç_adjective
chowdhury_propernoun	chowdhury_propernoun
impaired_adjective	discapacitat_adjective
simmons_propernoun	simmons_propernoun
tejedor_propernoun	tejedor_propernoun
raimundo_propernoun	raimundo_propernoun
monegasque_adjective	monegasc_adjective
louvel_propernoun	louvel_propernoun
titanic_adjective	titànic_adjective
in-reality_adverb	en-realitat_adverb
peñuela_propernoun	peñuela_propernoun
tetris_propernoun	tetris_propernoun
optician_noun	òptic_noun
alberto_propernoun	alberto_propernoun
palleja_propernoun	palleja_propernoun
st-james_propernoun	st-james_propernoun
hitchhiking_noun	autoestop_noun
survivor_noun	sobrevivent_noun
blain_propernoun	blain_propernoun
brocal_propernoun	brocal_propernoun
consequently_adverb	consegüentment_adverb
lotte_propernoun	lotte_propernoun
defibrillation_noun	desfibril·lació_noun
debit_verb	carregar_verb
loyola_propernoun	loyola_propernoun
fisher_propernoun	fisher_propernoun
paisley_propernoun	paisley_propernoun
object_noun	objectiu_noun
saliba_propernoun	saliba_propernoun
asynchronously_adverb	de-manera-asíncrona_adverb
brull_propernoun	brull_propernoun
cane_noun	canya_noun
nag_noun	rossí_noun
impediment_noun	impediment_noun
heaven_propernoun	heaven_propernoun
valentí_propernoun	valentí_propernoun
villén_propernoun	villén_propernoun
uganda_propernoun	uganda_propernoun
quran_propernoun	alcorà_propernoun
borate_noun	borat_noun
nicolino_propernoun	nicolino_propernoun
arable_adjective	cultivable_adjective
gollain_propernoun	gollain_propernoun
agustín_propernoun	agustín_propernoun
taut_adjective	tibant_adjective
spondylolisthesis_noun	espondilolitesi_noun
goyo_propernoun	goyo_propernoun
bourne_propernoun	bourne_propernoun
piñar_propernoun	piñar_propernoun
andoquio_propernoun	andoquio_propernoun
renaud_propernoun	renaud_propernoun
darwinian_adjective	darwinià_adjective
hamel_propernoun	hamel_propernoun
my_pronoun	el-meu_pronoun
my_possessivepronoun	el-meu_possessivepronoun
my_possessivepronoun	el-meu_possessivepronoun
my_pronoun	el-meu_pronoun
my_possessivepronoun	el-meu_possessivepronoun
my_determiner	el-meu_determiner
louisseize_propernoun	louisseize_propernoun
brook_propernoun	brook_propernoun
designation_noun	assenyalament_noun
falgás_propernoun	falgás_propernoun
continuum_noun	contínuum_noun
fetal_adjective	fetal_adjective
imperative_adjective	imperatiu_adjective
bleda_propernoun	bleda_propernoun
estimation_noun	estimació_noun
betiana_propernoun	betiana_propernoun
pkk_noun	pkk_noun
prefecture_noun	prefectura_noun
prolapse_noun	prolapse_noun
faun_noun	faune_noun
voiceless_adjective	sense-veu_adjective
presentable_adjective	presentable_adjective
paralysis_noun	paràlisi_noun
authentication_noun	autenticació_noun
hurley_propernoun	hurley_propernoun
zinc_noun	zinc_noun
microsoft-excel_propernoun	microsoft-excel_propernoun
maximin-criterion_noun	criteri-maximín_noun
laudine_propernoun	laudine_propernoun
hewrey_propernoun	hewrey_propernoun
paris_propernoun	paris_propernoun
candelaria_propernoun	candelaria_propernoun
december_noun	desembre_noun
descôteaux_propernoun	descôteaux_propernoun
kimberley_propernoun	kimberley_propernoun
vittorio_propernoun	vittorio_propernoun
luckily_adverb	per-sort_adverb
caustic_adjective	càustic_adjective
allan_propernoun	allan_propernoun
alum_noun	alum_noun
melamine_noun	melamina_noun
longitude_noun	longitud_noun
margaux_propernoun	margaux_propernoun
paladio_propernoun	paladio_propernoun
carotid_noun	caròtide_noun
escarré_propernoun	escarré_propernoun
sanroma_propernoun	sanroma_propernoun
kuratowski_propernoun	kuratowski_propernoun
tie_noun	empat_noun
eagle_noun	àguila_noun
joannette_propernoun	joannette_propernoun
obelisk_noun	obelisc_noun
fringe_noun	serrell_noun
lizbeth_propernoun	lizbeth_propernoun
chronicler_noun	cronista_noun
primo_propernoun	primo_propernoun
kubrick_propernoun	kubrick_propernoun
thermoregulator_noun	termoregulador_noun
marquis_propernoun	marquis_propernoun
hypocaust_noun	hipocaust_noun
tailly_propernoun	tailly_propernoun
portico_noun	pòrtic_noun
courtesy_noun	cortesia_noun
plantain_noun	banana-mascle_noun
dandy_noun	dandi_noun
gisella_propernoun	gisella_propernoun
firewood_noun	llenya_noun
in-regard-to_preposition	en-relació-amb_preposition
cold_adjective	fred_adjective
refer_verb	referir_verb
by-and-large_adverb	en-general_adverb
savanna_noun	sabana_noun
archbishop_noun	arquebisbe_noun
von-meyenfeldt_propernoun	von-meyenfeldt_propernoun
intricate_adjective	complex_adjective
lehouillier_propernoun	lehouillier_propernoun
pilotage_noun	pilotatge_noun
panorama_noun	panorama_noun
duplantie_propernoun	duplantie_propernoun
blinding_adjective	encegador_adjective
rossini_propernoun	rossini_propernoun
saladié_propernoun	saladié_propernoun
overview_noun	resum_noun
many-times_adverb	moltes-vegades_adverb
chitin_noun	quitina_noun
to-a-small-extent_adverb	fins-a-cert-punt_adverb
meteorology_noun	meteorologia_noun
india_propernoun	india_propernoun
rembrandt_propernoun	rembrandt_propernoun
inheritance_noun	herència_noun
lavilla_propernoun	lavilla_propernoun
wilting_noun	pansiment_noun
rosaura-andreu_propernoun	rosaura-andreu_propernoun
only-this-way_adverb	només-d'aquesta-manera_adverb
linger_verb	persistir_verb
decontamination_noun	descontaminació_noun
ohmmeter_noun	òhmmetre_noun
accentuate_verb	accentuar_verb
agreement_noun	acord_noun
please_interjection	si-us-plau_interjection
bayes_propernoun	bayes_propernoun
uriel_propernoun	uriel_propernoun
sour_adjective	agre_adjective
chamaillard_propernoun	chamaillard_propernoun
albida_propernoun	albida_propernoun
cunillera_propernoun	cunillera_propernoun
promise_verb	prometre_verb
discover_verb	descobrir_verb
monumental_adjective	monumental_adjective
arson_noun	incendi-provocat_noun
netherlands_propernoun	països-baixos_propernoun
hétu_propernoun	hétu_propernoun
crest_noun	cresta_noun
boom_noun	boom_noun
act_verb	obrar_verb
everard_propernoun	everard_propernoun
atrophy_noun	atròfia_noun
dubois_propernoun	dubois_propernoun
amphetamine_noun	amfetamina_noun
administratively_adverb	administrativament_adverb
inukpuk_propernoun	inukpuk_propernoun
borderline_adjective	límit_adjective
leone_propernoun	leone_propernoun
hippocratic_adjective	hipocràtic_adjective
conchoid_noun	concoide_noun
molotov-cocktail_noun	còctel-molotov_noun
vangelis_propernoun	vangelis_propernoun
hackett_propernoun	hackett_propernoun
samay_propernoun	samay_propernoun
neuropsychology_noun	neuropsicologia_noun
maintenance_noun	manutenció_noun
azzo_propernoun	azzo_propernoun
footwear_noun	calçat_noun
trek_noun	caminada_noun
gregorian_adjective	gregorià_adjective
morláns_propernoun	morláns_propernoun
unavailable_adjective	inutilitzable_adjective
monolingualism_noun	monolingüisme_noun
maneuverability_noun	maniobrabilitat_noun
excrecence_noun	excrescència_noun
