il·legítimament_adverb	ilegitimamente_adverb
conceptualista_adjective	conceptualista_adjective
etxezarreta_propernoun	etxezarreta_propernoun
argentin_propernoun	argentin_propernoun
bissau_propernoun	bissau_propernoun
musante_propernoun	musante_propernoun
supersticiós_adjective	supersticioso_adjective
bibliogràficament_adverb	bibliograficamente_adverb
marisc_noun	marisco_noun
decorativament_adverb	decorativamente_adverb
osterberger_propernoun	osterberger_propernoun
little_propernoun	little_propernoun
pennoni_propernoun	pennoni_propernoun
refrigeració_noun	refrigeração_noun
cendrós_propernoun	cendrós_propernoun
santa-coloma-de-queralt_propernoun	santa-coloma-de-queralt_propernoun
embriagador_adjective	embriagador_adjective
castellanització_noun	castelhanização_noun
corcuera_propernoun	corcuera_propernoun
chirilov_propernoun	chirilov_propernoun
plasse_propernoun	plasse_propernoun
silaghi_propernoun	silaghi_propernoun
rarefactiu_adjective	rarefactivo_adjective
sumatori_noun	somatório_noun
desaparellat_adjective	desaparelhado_adjective
desaix_propernoun	desaix_propernoun
roureda_noun	sobreiral_noun
molaison_propernoun	molaison_propernoun
projectant_adjective	projectante_adjective
st-jacques_propernoun	st-jacques_propernoun
paraguaià_noun	paraguaio_noun
fattorini_propernoun	fattorini_propernoun
iniciativa_noun	iniciativa_noun
època_noun	época_noun
constituir_verb	constituir_verb
inutilitat_noun	inutilidade_noun
occhipinti_propernoun	occhipinti_propernoun
donadi_propernoun	donadi_propernoun
iònic_adjective	iônico_adjective
tauste_propernoun	tauste_propernoun
marcescible_adjective	marcescível_adjective
saliner_adjective	salineiro_adjective
abolicionisme_noun	abolicionismo_noun
laurier_propernoun	laurier_propernoun
crawford_propernoun	crawford_propernoun
davant_preposition	ante_preposition
esteàric_adjective	esteárico_adjective
expectorant_adjective	expetorante_adjective
waldenor_propernoun	waldenor_propernoun
faustin_propernoun	faustin_propernoun
aforístic_adjective	aforístico_adjective
lamothe_propernoun	lamothe_propernoun
vilagrassa_propernoun	vilagrassa_propernoun
danis_propernoun	danis_propernoun
modular_adjective	modular_adjective
unsdorfer_propernoun	unsdorfer_propernoun
consola_noun	consola_noun
venjança_noun	vingança_noun
malcriat_adjective	malcriado_adjective
secundàriament_adverb	secundariamente_adverb
la-mattina_propernoun	la-mattina_propernoun
tripolità_adjective	tripolitano_adjective
iruin_propernoun	iruin_propernoun
callar_verb	calar_verb
bogdan_propernoun	bogdan_propernoun
gasolina_noun	gasolina_noun
partit_noun	partido_noun
bricault_propernoun	bricault_propernoun
muixí_propernoun	muixí_propernoun
vivaldo_propernoun	vivaldo_propernoun
catorze_numeral	catorze_numeral
claredat_noun	clareza_noun
trapero_propernoun	trapero_propernoun
roig_adjective	vermelho_adjective
lamiel_propernoun	lamiel_propernoun
investigador_noun	investigador_noun
ecosistema_noun	ecossistema_noun
salvail_propernoun	salvail_propernoun
gamisans_propernoun	gamisans_propernoun
reventós_propernoun	reventós_propernoun
florida_propernoun	flórida_propernoun
sant-esteve-de-la-sarga_propernoun	sant-esteve-de-la-sarga_propernoun
superdotat_adjective	superdotado_adjective
bisagno_propernoun	bisagno_propernoun
rotaru_propernoun	rotaru_propernoun
cocciu_propernoun	cocciu_propernoun
abasolo_propernoun	abasolo_propernoun
ceri_noun	cério_noun
ànsia_noun	ânsia_noun
rogério_propernoun	rogério_propernoun
desmarchais_propernoun	desmarchais_propernoun
castellaneta_propernoun	castellaneta_propernoun
les-franqueses-del-vallès_propernoun	les-franqueses-del-vallès_propernoun
octogenari_adjective	octogenário_adjective
cosmogràfic_adjective	cosmográfico_adjective
von-kleist_propernoun	von-kleist_propernoun
recriminació_noun	recriminação_noun
puebla_propernoun	puebla_propernoun
campins_propernoun	campins_propernoun
macaluso_propernoun	macaluso_propernoun
chatelois_propernoun	chatelois_propernoun
contijoch_propernoun	contijoch_propernoun
reconciliador_adjective	reconciliador_adjective
abi-ackel_propernoun	abi-ackel_propernoun
plant_propernoun	plant_propernoun
cosmòleg_noun	cosmólogo_noun
jacas_propernoun	jacas_propernoun
tornada_noun	volta_noun
recanvi_noun	troca_noun
digard_propernoun	digard_propernoun
genesse_propernoun	genesse_propernoun
leucocitari_adjective	leucocitário_adjective
de-prop_adverb	de-perto_adverb
insolubilitat_noun	insolubilidade_noun
constable_propernoun	constable_propernoun
candelas_propernoun	candelas_propernoun
conscient_noun	consciente_noun
beaufort_propernoun	beaufort_propernoun
gotti_propernoun	gotti_propernoun
velho_propernoun	velho_propernoun
elvira_propernoun	elvira_propernoun
amiri_propernoun	amiri_propernoun
osorio_propernoun	osorio_propernoun
gonocòric_adjective	gonocórico_adjective
wallach_propernoun	wallach_propernoun
martorelli_propernoun	martorelli_propernoun
sant-boi-de-lluçanès_propernoun	sant-boi-de-lluçanès_propernoun
recensió_noun	recensão_noun
dolz_propernoun	dolz_propernoun
dur-a-terme_verb	desempenhar_verb
ideologia_noun	ideologia_noun
sol·licitador_adjective	solicitador_adjective
antroposòfic_adjective	antroposófico_adjective
enredar_verb	envolver_verb
solans_propernoun	solans_propernoun
desintegrador_adjective	desintegrador_adjective
rigorositat_noun	rigorosidade_noun
gervásio_propernoun	gervásio_propernoun
fuentes-de-ayódar_propernoun	fuentes-de-ayódar_propernoun
personatge_noun	personagem_noun
guardia_propernoun	guardia_propernoun
incurable_adjective	incurável_adjective
luciano_propernoun	luciano_propernoun
lídia_propernoun	lídia_propernoun
estatut_noun	estatuto_noun
clàusula_noun	cláusula_noun
becerra_propernoun	becerra_propernoun
svetlana_propernoun	svetlana_propernoun
balcans_propernoun	bálcãs_propernoun
leblanc_propernoun	leblanc_propernoun
visigòtic_adjective	visigótico_adjective
duplicació_noun	duplicação_noun
figurable_adjective	figurável_adjective
lloar_verb	loubar_verb
humanes_propernoun	humanes_propernoun
palmer_propernoun	palmer_propernoun
lladurs_propernoun	lladurs_propernoun
immaterial_adjective	imaterial_adjective
themens_propernoun	themens_propernoun
fiorelli_propernoun	fiorelli_propernoun
compulsiu_adjective	compulsivo_adjective
cucurull_propernoun	cucurull_propernoun
olocau-del-rei_propernoun	olocau-del-rey_propernoun
hacker_noun	hacker_noun
microbiòleg_noun	microbiólogo_noun
parasitòleg_noun	parasitologista_noun
piermartini_propernoun	piermartini_propernoun
costiniu_propernoun	costiniu_propernoun
trastàmares_propernoun	trastámaras_propernoun
juvé_propernoun	juvé_propernoun
flames_propernoun	flames_propernoun
forcada_propernoun	forcada_propernoun
quart_noun	quarto_noun
bonada_propernoun	bonada_propernoun
fet_noun	fato_noun
gautama_propernoun	gautama_propernoun
canalitzador_noun	canalizador_noun
biòleg_noun	biólogo_noun
recentment_adverb	recém_adverb
indonesi_noun	indonésio_noun
godoy_propernoun	godoy_propernoun
gallinella_propernoun	gallinella_propernoun
incrementar_verb	incrementar_verb
castell-platja-d'aro_propernoun	castell-platja-d'aro_propernoun
miñano_propernoun	miñano_propernoun
scanio_propernoun	scanio_propernoun
kremlin_propernoun	kremlin_propernoun
desembocadura_noun	foz_noun
halde_propernoun	halde_propernoun
bargues_propernoun	bargues_propernoun
adulteri_noun	adultério_noun
fulbright_propernoun	fulbright_propernoun
cordat_adjective	cordado_adjective
ganau_propernoun	ganau_propernoun
campmany_propernoun	campmany_propernoun
ludendorff_propernoun	ludendorff_propernoun
intercalació_noun	intercalação_noun
asserció_noun	asserção_noun
palmero_propernoun	palmero_propernoun
chaparro_propernoun	chaparro_propernoun
caso_propernoun	caso_propernoun
malalt_adjective	doente_adjective
planck_propernoun	planck_propernoun
laplace_propernoun	laplace_propernoun
salomão_propernoun	salomão_propernoun
el·lipse_noun	elipse_noun
jackson_propernoun	jackson_propernoun
connectar_verb	logar_verb
lentitud_noun	lentidão_noun
mantica_propernoun	mantica_propernoun
mirada_propernoun	mirada_propernoun
cigró_noun	gravanço_noun
tyler_propernoun	tyler_propernoun
ejaculador_adjective	ejaculador_adjective
droga_noun	droga_noun
lavarra_propernoun	lavarra_propernoun
karate_noun	karaté_noun
frigola_propernoun	frigola_propernoun
motivació_noun	motivação_noun
fisiogràfic_adjective	fisiográfico_adjective
meteorogràfic_adjective	meteorográfico_adjective
clima_noun	clima_noun
bisceglie_propernoun	bisceglie_propernoun
silli_propernoun	silli_propernoun
caracteritzar_verb	caracterizar_verb
townsend_propernoun	townsend_propernoun
argüeso_propernoun	argüeso_propernoun
recomanació_noun	recomendação_noun
bisaillon_propernoun	bisaillon_propernoun
ureteral_adjective	ureteral_adjective
algorisme_noun	algoritmo_noun
reificació_noun	reificação_noun
sortida_noun	saída_noun
assibilació_noun	assibilação_noun
molano_propernoun	molano_propernoun
dangelo_propernoun	dangelo_propernoun
wilde_propernoun	wilde_propernoun
peterson_propernoun	peterson_propernoun
així-com_subordinatingconjunction	bem-como_subordinatingconjunction
repartir_verb	repartir_verb
enginyeria_noun	engenharia_noun
operacionalment_adverb	operacionalmente_adverb
éthier_propernoun	éthier_propernoun
dèficit_noun	deficit_noun
liberalitzador_adjective	liberalizador_adjective
desemparellat_adjective	desemparelhado_adjective
mnemònic_adjective	mnemônico_adjective
santiago_propernoun	santiago_propernoun
bergüzar_propernoun	bergüzar_propernoun
lennon_propernoun	lennon_propernoun
truman_propernoun	truman_propernoun
majúscul_adjective	maiúsculo_adjective
sharma_propernoun	sharma_propernoun
neeposh_propernoun	neeposh_propernoun
replicar_verb	replicar_verb
epistemològic_adjective	epistemológico_adjective
suec_adjective	sueco_adjective
improcedent_adjective	improcedente_adjective
sol_noun	sol_noun
etiòpia_propernoun	etiópia_propernoun
gasper_propernoun	gasper_propernoun
jannaccone_propernoun	jannaccone_propernoun
moragas_propernoun	moragas_propernoun
eremia_propernoun	eremia_propernoun
lozoya_propernoun	lozoya_propernoun
bustamante_propernoun	bustamante_propernoun
il·liri_adjective	ilírio_adjective
inexcitable_adjective	inexcitável_adjective
matth_propernoun	matth_propernoun
filharmònic_adjective	filarmónico_adjective
recobrable_adjective	recobrável_adjective
veneziale_propernoun	veneziale_propernoun
russofòbia_noun	russofobia_noun
sato_propernoun	sato_propernoun
oliveira_propernoun	oliveira_propernoun
agripina_propernoun	agripina_propernoun
recuperador_adjective	recuperador_adjective
descontent_adjective	descontente_adjective
empatar_verb	empatar_verb
colli_propernoun	colli_propernoun
klimt_propernoun	klimt_propernoun
pronunciable_adjective	pronunciável_adjective
drac_noun	dragão_noun
tirador_adjective	tirador_adjective
tessàlic_adjective	tessálico_adjective
wyoming_propernoun	wyoming_propernoun
reuters_propernoun	reuters_propernoun
datador_noun	datador_noun
villanueva_propernoun	villanueva_propernoun
banu_propernoun	banu_propernoun
hannie_propernoun	hannie_propernoun
bartolomé_propernoun	bartolomé_propernoun
armesto_propernoun	armesto_propernoun
riesco_propernoun	riesco_propernoun
dubeau_propernoun	dubeau_propernoun
pregària_noun	oração_noun
carbonitzar_verb	carbonizar_verb
griffin_propernoun	griffin_propernoun
avril_propernoun	avril_propernoun
aspiració_noun	aspiração_noun
ferroviàriament_adverb	ferroviariamente_adverb
samarra_propernoun	samarra_propernoun
pastorino_propernoun	pastorino_propernoun
medievalitat_noun	medievalidade_noun
mottard_propernoun	mottard_propernoun
diàriament_adverb	diariamente_adverb
nissan_propernoun	nissan_propernoun
altura_noun	altura_noun
von-krosigk_propernoun	von-krosigk_propernoun
camp_propernoun	camp_propernoun
rahaman_propernoun	rahaman_propernoun
arrencar_verb	arrancar_verb
zappalà_propernoun	zappalà_propernoun
byron_propernoun	byron_propernoun
montagnino_propernoun	montagnino_propernoun
mallafré_propernoun	mallafré_propernoun
revert_propernoun	revert_propernoun
marqués_propernoun	marqués_propernoun
electrificat_adjective	eletrificado_adjective
perniciós_adjective	pernicioso_adjective
cadel_propernoun	cadel_propernoun
canalla_adjective	canalha_adjective
irujo_propernoun	irujo_propernoun
arquitectònic_adjective	arquitetônico_adjective
festivament_adverb	festivamente_adverb
bigelow_propernoun	bigelow_propernoun
imbeni_propernoun	imbeni_propernoun
viérin_propernoun	viérin_propernoun
estèticament_adverb	esteticamente_adverb
ardentós_adjective	ardentoso_adjective
filsaime_propernoun	filsaime_propernoun
properzj_propernoun	properzj_propernoun
orozco_propernoun	orozco_propernoun
desfeta_noun	derrota_noun
alcalá_propernoun	alcalá_propernoun
nostre_adjective	nosso_adjective
nostre_possessivepronoun	nosso_possessivepronoun
nostre_adjective	nosso_adjective
nostre_adjective	nosso_adjective
nostre_possessivepronoun	nosso_possessivepronoun
nostre_adjective	nosso_adjective
siguenza_propernoun	siguenza_propernoun
silenciador_noun	silenciador_noun
llamazares_propernoun	llamazares_propernoun
marchildon_propernoun	marchildon_propernoun
ultimar_verb	ultimar_verb
barnes_propernoun	barnes_propernoun
tenis_noun	tênis_noun
debonis_propernoun	debonis_propernoun
nabókov_propernoun	nabokov_propernoun
pneumònia_noun	pneumonia_noun
bifocal_adjective	bifocal_adjective
naccarato_propernoun	naccarato_propernoun
amnistiar_verb	amnistiar_verb
actriu_noun	atriz_noun
en-total_adverb	ao-todo_adverb
circassià_noun	circassiano_noun
representador_adjective	representador_adjective
van-orden_propernoun	van-orden_propernoun
salazarista_adjective	salazarista_adjective
carbó_noun	carvão_noun
kusstatscher_propernoun	kusstatscher_propernoun
laperle_propernoun	laperle_propernoun
conflicte_noun	conflito_noun
demagògicament_adverb	demagogicamente_adverb
retardat_adjective	retardado_adjective
raspall_propernoun	raspall_propernoun
vazzoler_propernoun	vazzoler_propernoun
sola_propernoun	sola_propernoun
categoritzar_verb	categorizar_verb
macroeconòmic_adjective	macroeconômico_adjective
sevícia_noun	sevícia_noun
inofensiu_adjective	inofensivo_adjective
vidigal_propernoun	vidigal_propernoun
pontils_propernoun	pontils_propernoun
kōchi_propernoun	kōchi_propernoun
munoz_propernoun	munoz_propernoun
totalitari_adjective	totalitário_adjective
videoclip_noun	videoclipe_noun
generalitzable_adjective	generalizável_adjective
azar_propernoun	azar_propernoun
contrastació_noun	contrastação_noun
benifaió_propernoun	benifaió_propernoun
short_propernoun	short_propernoun
erigir_verb	erigir_verb
visentin_propernoun	visentin_propernoun
planament_adverb	planamente_adverb
rancorós_adjective	rancoroso_adjective
homer_propernoun	homero_propernoun
desratització_noun	desratização_noun
falconio_propernoun	falconio_propernoun
rusu_propernoun	rusu_propernoun
marchini_propernoun	marchini_propernoun
von-bremen_propernoun	von-bremen_propernoun
quasi_adverb	quase_adverb
numeral_adjective	numeral_adjective
st-cyr_propernoun	st-cyr_propernoun
alceu_propernoun	alceu_propernoun
palau-saverdera_propernoun	palau-saverdera_propernoun
espècie_noun	espécie_noun
alaska_propernoun	alaska_propernoun
saba_propernoun	saba_propernoun
quart_propernoun	quart_propernoun
hilton_propernoun	hilton_propernoun
túlio_propernoun	túlio_propernoun
adaptador_adjective	adaptador_adjective
cobalt_noun	cobalto_noun
paràsit_noun	parasito_noun
zurinaga_propernoun	zurinaga_propernoun
opugnació_noun	opugnação_noun
algorfa_propernoun	algorfa_propernoun
documental_adjective	documental_adjective
estornell_noun	estorninho_noun
maderloni_propernoun	maderloni_propernoun
ondejant_adjective	ondejante_adjective
creditor_noun	credor_noun
aitchison_propernoun	aitchison_propernoun
moral_noun	moral_noun
finalització_noun	finalização_noun
tràfic_noun	tráfico_noun
frangible_adjective	frangível_adjective
amanyat_adjective	amanhado_adjective
oliaro_propernoun	oliaro_propernoun
moll_noun	berço_noun
mandra_noun	preguiça_noun
pressionar_verb	pressionar_verb
aquilí_adjective	aquilino_adjective
sotoca_propernoun	sotoca_propernoun
prunariu_propernoun	prunariu_propernoun
mckeown_propernoun	mckeown_propernoun
chaplin_propernoun	chaplin_propernoun
enèrgic_adjective	enérgico_adjective
hispanoamericà_noun	hispano-americano_noun
individualista_noun	individualista_noun
aumont_propernoun	aumont_propernoun
roby_propernoun	roby_propernoun
arnán_propernoun	arnán_propernoun
plebiscitari_adjective	plebiscitário_adjective
halterofilista_noun	halterofilista_noun
vagabund_adjective	vadio_adjective
tan_propernoun	tan_propernoun
walney_propernoun	walney_propernoun
vizzini_propernoun	vizzini_propernoun
barbara_propernoun	barbara_propernoun
baltrons_propernoun	baltrons_propernoun
quantificar_verb	quantificar_verb
la-corunya_propernoun	corunha_propernoun
interioritat_noun	interioridade_noun
aimee_propernoun	aimee_propernoun
massaoudi_propernoun	massaoudi_propernoun
hel·lenització_noun	helenização_noun
ressuscitar_verb	ressuscitar_verb
crouch_propernoun	crouch_propernoun
senyal_noun	sinal_noun
caramel·lització_noun	caramelização_noun
raper_noun	rapper_noun
incontrastable_adjective	incontrastável_adjective
portaña_propernoun	portaña_propernoun
faucal_adjective	faucal_adjective
si-us-plau_interjection	faz-favor_interjection
limitació_noun	limitação_noun
guimond_propernoun	guimond_propernoun
roquetes_propernoun	roquetes_propernoun
xiang_propernoun	xiang_propernoun
mansour_propernoun	mansour_propernoun
isentròpic_adjective	isentrópico_adjective
dialogal_adjective	dialogal_adjective
fer-malbé_verb	estragar_verb
pessimista_adjective	pessimista_adjective
inequació_noun	inequação_noun
hàbitat_noun	habitat_noun
endossador_adjective	endossador_adjective
autobús_noun	autocarro_noun
amazònic_adjective	amazônico_adjective
diacrònic_adjective	diacrônico_adjective
ducal_adjective	ducal_adjective
moraga_propernoun	moraga_propernoun
comunicador_noun	comunicador_noun
trespidi_propernoun	trespidi_propernoun
giovannetti_propernoun	giovannetti_propernoun
goergen_propernoun	goergen_propernoun
black_propernoun	black_propernoun
nasal_adjective	nasal_adjective
santana_propernoun	santana_propernoun
pélissier_propernoun	pélissier_propernoun
funcionari_noun	servidor-público_noun
anne-marie_propernoun	anne-marie_propernoun
genèsic_adjective	genésico_adjective
recepció_noun	recepção_noun
muns_propernoun	muns_propernoun
originalment_adverb	originalmente_adverb
cami_propernoun	cami_propernoun
huberdeau_propernoun	huberdeau_propernoun
albiol_propernoun	albiol_propernoun
divorci_noun	divórcio_noun
st-vincent_propernoun	st-vincent_propernoun
manuela_propernoun	manuela_propernoun
obediencial_adjective	obediencial_adjective
toponímia_noun	toponímia_noun
psicoanalític_adjective	psicanalítico_adjective
satriani_propernoun	satriani_propernoun
melodia_noun	melodia_noun
ehm_propernoun	ehm_propernoun
biocompatibilitat_noun	biocompatibilidade_noun
parcial_adjective	parcial_adjective
juscelino_propernoun	juscelino_propernoun
farisaic_adjective	farisaico_adjective
ghimpu_propernoun	ghimpu_propernoun
bennet_propernoun	bennet_propernoun
excel·lència_noun	excelência_noun
rígid_adjective	rígido_adjective
infectant_adjective	infetante_adjective
formentini_propernoun	formentini_propernoun
balcans_propernoun	balcãs_propernoun
reactivació_noun	reativação_noun
brezzi_propernoun	brezzi_propernoun
guaman_propernoun	guaman_propernoun
moisés_propernoun	moisés_propernoun
quaranta_numeral	quarenta_numeral
irresistible_adjective	irresistível_adjective
santonocito_propernoun	santonocito_propernoun
zambrana_propernoun	zambrana_propernoun
individualitzable_adjective	individualizável_adjective
masri_propernoun	masri_propernoun
excreció_noun	excreção_noun
unitàriament_adverb	unitariamente_adverb
desarmament_noun	desarme_noun
cranc_noun	caranguejo_noun
triàsic_adjective	triásico_adjective
igualment_adverb	igualmente_adverb
pradell_propernoun	pradell_propernoun
angiolini_propernoun	angiolini_propernoun
casquero_propernoun	casquero_propernoun
oncina_propernoun	oncina_propernoun
irreflexió_noun	irreflexão_noun
menéndez_propernoun	menéndez_propernoun
ferrara_propernoun	ferrara_propernoun
damascè_adjective	damasceno_adjective
incivilitzat_adjective	incivilizado_adjective
torrador_adjective	torrador_adjective
obscenitat_noun	obscenidade_noun
grilli_propernoun	grilli_propernoun
francino_propernoun	francino_propernoun
ortogonal_adjective	ortogonal_adjective
brais_propernoun	brais_propernoun
demoníac_adjective	demoníaco_adjective
conceptualització_noun	conceptualização_noun
estoicament_adverb	estoicamente_adverb
benwell_propernoun	benwell_propernoun
tresorer_noun	tesoureiro_noun
incessable_adjective	incessável_adjective
unix_propernoun	unix_propernoun
paleogràfic_adjective	paleográfico_adjective
pol_propernoun	pol_propernoun
nuño_propernoun	nuño_propernoun
modernitzador_adjective	modernizador_adjective
correcció_noun	correcção_noun
redón_propernoun	redón_propernoun
uruguaià_adjective	uruguaio_adjective
proximitat_noun	vizinhança_noun
seixanta-tresè_adjective	sexagésimo-terceiro_adjective
antuñano_propernoun	antuñano_propernoun
bossa_propernoun	bossa_propernoun
arrendament_noun	arrendamento_noun
carda_propernoun	carda_propernoun
cutrera_propernoun	cutrera_propernoun
vitalista_adjective	vitalista_adjective
familiar_adjective	familiar_adjective
montini_propernoun	montini_propernoun
a-favor_adverb	a-favor_adverb
recusable_adjective	recusável_adjective
avorrit_adjective	maçador_adjective
particularitat_noun	particularidade_noun
societat_noun	sociedade_noun
bignami_propernoun	bignami_propernoun
tubert_propernoun	tubert_propernoun
geocronològic_adjective	geocronológico_adjective
conceptual_adjective	conceitual_adjective
inspeccionar_verb	inspecionar_verb
bieber_propernoun	bieber_propernoun
embaràs_noun	gravidez_noun
declinar_verb	declinar_verb
perclòric_adjective	perclórico_adjective
feria_propernoun	feria_propernoun
fazzi_propernoun	fazzi_propernoun
vigara_propernoun	vigara_propernoun
iacono_propernoun	iacono_propernoun
nombrós_adjective	numeroso_adjective
gladstone_propernoun	gladstone_propernoun
autopàtic_adjective	autopático_adjective
dicotòmic_adjective	dicotômico_adjective
bettin_propernoun	bettin_propernoun
escrich_propernoun	escrich_propernoun
villemaire_propernoun	villemaire_propernoun
digressió_noun	digressão_noun
malalt_noun	doente_noun
fayos_propernoun	fayos_propernoun
lister_propernoun	lister_propernoun
heredia_propernoun	heredia_propernoun
castricone_propernoun	castricone_propernoun
biesterfeld_propernoun	biesterfeld_propernoun
risibilitat_noun	risibilidade_noun
picard_propernoun	picard_propernoun
grau-juan_propernoun	grau-juan_propernoun
estalinista_noun	estalinista_noun
xii_numeral	xii_numeral
éder_propernoun	éder_propernoun
demille_propernoun	demille_propernoun
ponce_propernoun	ponce_propernoun
fortament-a-la-baixa_adverb	em-forte-descida_adverb
gol_propernoun	gol_propernoun
torrentí_propernoun	torrentí_propernoun
desenfadat_adjective	desenfadado_adjective
manna_propernoun	manna_propernoun
hel·lespont_propernoun	helesponto_propernoun
coreògraf_noun	coreógrafo_noun
redemocratització_noun	redemocratização_noun
rinòleg_noun	rinologista_noun
amant_adjective	amante_adjective
curar_verb	curar_verb
planificar_verb	planificar_verb
baldeh_propernoun	baldeh_propernoun
veneració_noun	veneração_noun
micòtic_adjective	micótico_adjective
tripiana_propernoun	tripiana_propernoun
taxació_noun	taxação_noun
henri_propernoun	henri_propernoun
carmel_propernoun	carmel_propernoun
gibraltar_propernoun	gibraltar_propernoun
excussió_noun	excussão_noun
palmas_propernoun	palmas_propernoun
piuze_propernoun	piuze_propernoun
muriana_propernoun	muriana_propernoun
ideografia_noun	ideografia_noun
filiz_propernoun	filiz_propernoun
intimar_verb	amigar_verb
azotós_adjective	azotoso_adjective
eslida_propernoun	eslida_propernoun
urticant_adjective	urticante_adjective
conway_propernoun	conway_propernoun
introversió_noun	introversão_noun
contento_propernoun	contento_propernoun
bouthillier_propernoun	bouthillier_propernoun
difusible_adjective	difusível_adjective
desmarais_propernoun	desmarais_propernoun
suyo_adjective	suyo_adjective
juif_propernoun	juif_propernoun
hospitalització_noun	hospitalização_noun
mosso-d'esquadra_noun	mosso-d'esquadra_noun
puigdemont_propernoun	puigdemont_propernoun
tarrats_propernoun	tarrats_propernoun
boissé_propernoun	boissé_propernoun
tavera_propernoun	tavera_propernoun
antigament_adverb	antigamente_adverb
accidentalment_adverb	acidentalmente_adverb
gramazio_propernoun	gramazio_propernoun
pequinès_adjective	pequinês_adjective
contranatural_adjective	contranatural_adjective
avellaneda_propernoun	avellaneda_propernoun
exercir_verb	exercer_verb
mentirós_adjective	mentiroso_adjective
reyna_propernoun	reyna_propernoun
gelós_adjective	ciumento_adjective
dessources_propernoun	dessources_propernoun
de-azeredo_propernoun	de-azeredo_propernoun
cadanțu_propernoun	cadanțu_propernoun
ciutadella_noun	cidadela_noun
sinuosament_adverb	sinuosamente_adverb
rutherford_propernoun	rutherford_propernoun
deliciosament_adverb	deliciosamente_adverb
gong_noun	tantã_noun
caure_verb	desabar_verb
cavar_verb	cavar_verb
missatge_noun	mensagem_noun
similitudinari_adjective	similitudinário_adjective
telescòpic_adjective	telescópico_adjective
coronel_propernoun	coronel_propernoun
duplessis_propernoun	duplessis_propernoun
succint_adjective	sucinto_adjective
verificar_verb	verificar_verb
norman_propernoun	norman_propernoun
barri-de-barraques_noun	bairro-de-lata_noun
marilyn_propernoun	marilyn_propernoun
carpenedo_propernoun	carpenedo_propernoun
folco_propernoun	folco_propernoun
escipió_propernoun	escipió_propernoun
scarlat_propernoun	scarlat_propernoun
pissarro_propernoun	pissarro_propernoun
ionització_noun	ionização_noun
rotatori_adjective	rotatório_adjective
poma_propernoun	poma_propernoun
conciliar_verb	conciliar_verb
dumay_propernoun	dumay_propernoun
agrogeologia_noun	agrogeologia_noun
doblegar_verb	dobrar_verb
diptèric_adjective	diptérico_adjective
babiloni_adjective	babilônico_adjective
reivindicatori_adjective	reivindicatório_adjective
alegi_propernoun	alegi_propernoun
aprofundir_verb	aprofundar_verb
superponible_adjective	superponível_adjective
shavin_propernoun	shavin_propernoun
dècim_noun	décimo_noun
equalitzador_noun	equalizador_noun
iroquès_noun	iroquês_noun
von-gerstner_propernoun	von-gerstner_propernoun
fertilització_noun	fertilização_noun
electròlisi_noun	electrólise_noun
medel_propernoun	medel_propernoun
desbordament_noun	desbordamento_noun
odette_propernoun	odette_propernoun
irrellevant_adjective	irrelevante_adjective
concret_adjective	concreto_adjective
