decano_noun_en	doyen_noun_es
aguinaga_propernoun_en	aguinaga_propernoun_es
roncoli_propernoun_en	roncoli_propernoun_es
banco_de_españa_propernoun_en	banc_d'espagne_propernoun_es
saint-louis_propernoun_en	saint-louis_propernoun_es
favorecer_verb_en	favoriser_verb_es
alejandro_farnesio_propernoun_en	alexandre_farnèse_propernoun_es
nido_noun_en	nid_noun_es
areitio_propernoun_en	areitio_propernoun_es
liberalidad_noun_en	libéralité_noun_es
rana_noun_en	grenouille_noun_es
bután_propernoun_en	bhoutan_propernoun_es
marilyn_propernoun_en	marilyn_propernoun_es
editorial_adjective_en	éditorial_adjective_es
respiración_noun_en	respiration_noun_es
blaudzun_propernoun_en	blaudzun_propernoun_es
novedoso_adjective_en	nouveau_adjective_es
sureste_noun_en	sud-est_noun_es
plantel_noun_en	groupe_noun_es
mar_de_china_oriental_propernoun_en	mer_de_chine_orientale_propernoun_es
segundo_adjective_en	deuxième_adjective_es
iliria_propernoun_en	illyrie_propernoun_es
lazkao_propernoun_en	lazkao_propernoun_es
puig_propernoun_en	puig_propernoun_es
vehículo_noun_en	véhicule_noun_es
disciplina_noun_en	discipline_noun_es
pesca_noun_en	pêche_noun_es
euro_noun_en	euro_noun_es
curiosidad_noun_en	badauderie_noun_es
sectarismo_noun_en	sectarisme_noun_es
bbc_noun_en	bbc_noun_es
desde_hace_tiempo_adverb_en	de_longue_main_adverb_es
aqualung_propernoun_en	aqualung_propernoun_es
crucial_adjective_en	crucial_adjective_es
ludovic_propernoun_en	ludovic_propernoun_es
pesaje_noun_en	pesage_noun_es
perder_verb_en	rater_verb_es
everest_propernoun_en	everest_propernoun_es
veintena_noun_en	vingtaine_noun_es
aldamiz_propernoun_en	aldamiz_propernoun_es
adinerado_adjective_en	riche_adjective_es
compañera_noun_en	compagne_noun_es
kutxaempresas_propernoun_en	kutxaempresas_propernoun_es
asunto_noun_en	sujet_noun_es
siesta_noun_en	sieste_noun_es
veintinueve_numeral_en	vingt-neuf_numeral_es
paralelamente_adverb_en	parallèlement_adverb_es
cuba_propernoun_en	cuba_propernoun_es
bosque_noun_en	bois_noun_es
turrón_noun_en	touron_noun_es
gran_manchester_propernoun_en	greater_manchester_propernoun_es
encerrar_verb_en	enfermer_verb_es
ganbara_propernoun_en	ganbara_propernoun_es
protagonista_noun_en	protagoniste_noun_es
en_mis_tiempos_adverb_en	de_mon_temps_adverb_es
perrier_propernoun_en	perrier_propernoun_es
cuota_láctea_noun_en	quota_laitier_noun_es
benín_propernoun_en	bénin_propernoun_es
despejado_adjective_en	dégagé_adjective_es
voluntario_noun_en	volontaire_noun_es
txingudi_propernoun_en	txingudi_propernoun_es
grandes_antillas_propernoun_en	grandes_antilles_propernoun_es
monge_propernoun_en	monge_propernoun_es
atascar_verb_en	embourber_verb_es
fluir_verb_en	couler_verb_es
redactar_verb_en	rédiger_verb_es
nube_noun_en	nuage_noun_es
bloque_noun_en	bloc_noun_es
adrenalina_noun_en	adrénaline_noun_es
salvación_noun_en	salut_noun_es
maltrato_noun_en	mauvais_traitement_noun_es
comunista_adjective_en	communiste_adjective_es
extremo_oriente_propernoun_en	extrême-orient_propernoun_es
adriana_propernoun_en	adriana_propernoun_es
relax_propernoun_en	relax_propernoun_es
custodia_noun_en	garde_noun_es
belcebú_propernoun_en	belzébuth_propernoun_es
kingston_propernoun_en	kingston_propernoun_es
amorós_propernoun_en	amorós_propernoun_es
himno_noun_en	hymne_noun_es
novecientos_numeral_en	neuf_cents_numeral_es
hoyinversión_propernoun_en	hoyinversión_propernoun_es
cordillera_cantábrica_propernoun_en	monts_cantabriques_propernoun_es
cuartos_de_aseo_noun_en	lavabo_noun_es
incompetencia_noun_en	incompétence_noun_es
jenófanes_propernoun_en	xénophane_propernoun_es
edf_propernoun_en	edf_propernoun_es
valle_de_arán_propernoun_en	valle_de_arán_propernoun_es
al_principio_adverb_en	au_début_adverb_es
pompeyo_propernoun_en	pompée_propernoun_es
mijaíl_serguéyevich_propernoun_en	mikhaïl_sergueïevitch_propernoun_es
asiduo_adjective_en	assidu_adjective_es
constructivo_adjective_en	constructif_adjective_es
sindical_adjective_en	syndical_adjective_es
takeo_propernoun_en	takeo_propernoun_es
adarraga_propernoun_en	adarraga_propernoun_es
hípico_adjective_en	hippique_adjective_es
aniversario_noun_en	anniversaire_noun_es
efecto_comercial_noun_en	effet_commercial_noun_es
renta_fija_noun_en	revenu_fixe_noun_es
paseo_noun_en	promenade_noun_es
zamora_propernoun_en	zamora_propernoun_es
costoso_adjective_en	coûteux_adjective_es
esperanzador_adjective_en	encourageant_adjective_es
despliegue_noun_en	déploiement_noun_es
segmentación_noun_en	segmentation_noun_es
temprano_adverb_en	tôt_adverb_es
apóstol_noun_en	apôtre_noun_es
cela_propernoun_en	cela_propernoun_es
contribución_noun_en	contribution_noun_es
transitoriamente_adverb_en	transitoirement_adverb_es
polo_noun_en	pôle_noun_es
radioprotección_noun_en	radioprotection_noun_es
volskwagen_propernoun_en	volskwagen_propernoun_es
palabra_noun_en	parole_noun_es
decán_propernoun_en	deccan_propernoun_es
país_de_gales_propernoun_en	pays_de_galles_propernoun_es
antiviolencia_noun_en	antiviolence_noun_es
anjou_propernoun_en	anjou_propernoun_es
recortar_verb_en	rogner_verb_es
unión_latina_propernoun_en	union_latine_propernoun_es
forest_propernoun_en	forest_propernoun_es
esconder_verb_en	cacher_verb_es
abiba_diskojaia_propernoun_en	abiba_diskojaia_propernoun_es
strawberry_fields_propernoun_en	strawberry_fields_propernoun_es
reparo_noun_en	objection_noun_es
laudo_noun_en	arbitrage_noun_es
tinta_noun_en	encre_noun_es
opinar_verb_en	penser_verb_es
heinz_fischer_propernoun_en	heinz_fischer_propernoun_es
jean-yves_propernoun_en	jean-yves_propernoun_es
ancona_propernoun_en	ancona_propernoun_es
fisiológico_adjective_en	physiologique_adjective_es
ine_propernoun_en	ine_propernoun_es
guayana_francesa_propernoun_en	guyane_propernoun_es
etruria_propernoun_en	étrurie_propernoun_es
solicitud_de_ingreso_noun_en	demande_d'admission_noun_es
consagrar_verb_en	consacrer_verb_es
marichal_propernoun_en	marichal_propernoun_es
becar_verb_en	bourser_verb_es
baath_propernoun_en	baath_propernoun_es
ciorciari_propernoun_en	ciorciari_propernoun_es
ortuella_propernoun_en	ortuella_propernoun_es
ostentación_noun_en	ostentation_noun_es
gernika-lumo_propernoun_en	gernika-lumo_propernoun_es
rehabilitación_noun_en	rehabilitation_noun_es
derechos_del_hombre_y_del_ciudadano_propernoun_en	droits_de_l'homme_et_du_citoyen_propernoun_es
creer_verb_en	croire_verb_es
en_preposition_en	chez_preposition_es
buenas_migas_noun_en	bon_ménage_noun_es
montgomery_propernoun_en	montgomery_propernoun_es
ir_verb_en	aller_verb_es
arrugar_verb_en	rider_verb_es
vermeulen_propernoun_en	vermeulen_propernoun_es
ahora_que_subordinatingconjunction_en	maintenant_que_subordinatingconjunction_es
escudero_propernoun_en	escudero_propernoun_es
albedo_noun_en	albédo_noun_es
trainera_noun_en	trainera_noun_es
tumulto_noun_en	tumulte_noun_es
desequilibrio_noun_en	déséquilibre_noun_es
nantes_propernoun_en	nantes_propernoun_es
medio_de_autoservicio_noun_en	moyen_de_libre_service_noun_es
luego_adverb_en	après_adverb_es
cómodo_adjective_en	confortable_adjective_es
contrapeso_noun_en	contrepoids_noun_es
akrami_propernoun_en	akrami_propernoun_es
tercera_edad_noun_en	troisième_âge_noun_es
velar_verb_en	voiler_verb_es
acá_adverb_en	ici_adverb_es
indurain_propernoun_en	indurain_propernoun_es
askatasuna_propernoun_en	askatasuna_propernoun_es
chantaje_noun_en	chantage_noun_es
alaska_propernoun_en	alaska_propernoun_es
mayoría_de_edad_noun_en	majorité_noun_es
sacro_imperio_romano_germánico_propernoun_en	saint_empire_propernoun_es
aserrar_verb_en	scier_verb_es
capital_noun_en	capitale_noun_es
andrey_propernoun_en	andrey_propernoun_es
selva_noun_en	forêt_noun_es
imperialismo_noun_en	impérialisme_noun_es
juppé_propernoun_en	juppé_propernoun_es
magie_propernoun_en	magie_propernoun_es
reaccionario_noun_en	réactionnaire_noun_es
andreas_propernoun_en	andreas_propernoun_es
ariani_propernoun_en	ariani_propernoun_es
ah_interjection_en	ah_interjection_es
mizel_propernoun_en	mizel_propernoun_es
desde_el_momento_en_que_subordinatingconjunction_en	dès_l'instant_où_subordinatingconjunction_es
dermoepidérmico_adjective_en	dermo-épidermique_adjective_es
ellen_johnson-sirleaf_propernoun_en	ellen_johnson-sirleaf_propernoun_es
ramos_propernoun_en	ramos_propernoun_es
hípica_noun_en	hippisme_noun_es
cañizares_propernoun_en	cañizares_propernoun_es
otorrinolaringología_noun_en	otorrinolaryngologie_noun_es
acariciar_verb_en	caresser_verb_es
retia_propernoun_en	rhétie_propernoun_es
ficción_noun_en	fiction_noun_es
enano_noun_en	nain_noun_es
best_seller_noun_en	best-seller_noun_es
airub_noun_en	airub_noun_es
proust_propernoun_en	proust_propernoun_es
lonja_noun_en	halle_noun_es
alta_austria_propernoun_en	haute_autriche_propernoun_es
agazapar_verb_en	tapir_verb_es
pago_aplazado_noun_en	paiement_différé_noun_es
invención_noun_en	invention_noun_es
anulación_noun_en	annulation_noun_es
martha_propernoun_en	martha_propernoun_es
tiborta_noun_en	poignée_noun_es
cuestionar_verb_en	remettre_en_question_verb_es
córcega_propernoun_en	corse_propernoun_es
previsibilidad_noun_en	prévisibilité_noun_es
etxebarria_propernoun_en	etxebarria_propernoun_es
dieciséis_numeral_en	seize_numeral_es
actor_noun_en	acteur_noun_es
alberca_propernoun_en	alberca_propernoun_es
unesco_propernoun_en	unesco_propernoun_es
anodino_adjective_en	anodin_adjective_es
cuota_de_abono_noun_en	frais_d'abonnement_noun_es
perplejidad_noun_en	perplexité_noun_es
fuga_noun_en	fuite_noun_es
cervera_propernoun_en	cervera_propernoun_es
eitb_propernoun_en	eitb_propernoun_es
bermudas_propernoun_en	bermudes_propernoun_es
isolux_propernoun_en	isolux_propernoun_es
aer_noun_en	aer_noun_es
falangista_adjective_en	phalangiste_adjective_es
guezala_propernoun_en	guezala_propernoun_es
actitud_noun_en	attitude_noun_es
ardid_noun_en	ruse_noun_es
jaén_propernoun_en	jaén_propernoun_es
orleanesado_propernoun_en	orléanais_propernoun_es
safran_propernoun_en	safran_propernoun_es
mitterrand_propernoun_en	mitterrand_propernoun_es
adrede_adverb_en	exprès_adverb_es
daniel_ortega_propernoun_en	daniel_ortega_propernoun_es
comisión_por_cancelación_noun_en	commission_d'annulation_noun_es
potter_propernoun_en	potter_propernoun_es
flash_noun_en	flash_noun_es
pértiga_noun_en	perche_noun_es
bishkek_propernoun_en	bichkek_propernoun_es
civera_propernoun_en	civera_propernoun_es
jubilación_noun_en	retraite_noun_es
incriminación_noun_en	incrimination_noun_es
no_es_que_subordinatingconjunction_en	non_que_subordinatingconjunction_es
trío_noun_en	trio_noun_es
parlamentarización_noun_en	parlementarisation_noun_es
acumulable_adjective_en	accumulable_adjective_es
aede_noun_en	aede_noun_es
incomunicabilidad_noun_en	incommunicabilité_noun_es
piotr_ilich_propernoun_en	petr_ilitch_propernoun_es
desconfianza_noun_en	méfiance_noun_es
panamá_propernoun_en	panamá_propernoun_es
rebaño_noun_en	troupeau_noun_es
naturalización_noun_en	naturalisation_noun_es
permach_propernoun_en	permach_propernoun_es
primero_adjective_en	premier_adjective_es
responsabilidad_noun_en	responsabilité_noun_es
epsilon_propernoun_en	epsilon_propernoun_es
mirón_adjective_en	badaud_adjective_es
saturación_noun_en	saturation_noun_es
afrontar_verb_en	affronter_verb_es
brad_propernoun_en	brad_propernoun_es
rebelde_adjective_en	rebelle_adjective_es
impulso_noun_en	impulsion_noun_es
ventilador_noun_en	ventilateur_noun_es
halgand_propernoun_en	halgand_propernoun_es
anticoncepción_noun_en	contraception_noun_es
refrendar_verb_en	confirmer_verb_es
rutina_noun_en	routine_noun_es
invocar_verb_en	invoquer_verb_es
torre_noun_en	tour_noun_es
informal_adjective_en	informel_adjective_es
deportivo_adjective_en	sportif_adjective_es
inversionista_noun_en	investisseur_noun_es
nuboso_adjective_en	nuageux_adjective_es
ficha_noun_en	jeton_noun_es
filtro_noun_en	filtre_noun_es
pedraza_propernoun_en	pedraza_propernoun_es
andre_propernoun_en	andre_propernoun_es
hora_de_entrada_noun_en	heure_d'entrée_noun_es
culpa_noun_en	tort_noun_es
morada_noun_en	demeure_noun_es
revolver_el_estómago_verb_en	soulever_le_coeur_verb_es
honorífico_adjective_en	honorifique_adjective_es
natascha_propernoun_en	natascha_propernoun_es
preparatorio_adjective_en	préparatoire_adjective_es
andrle_propernoun_en	andrle_propernoun_es
hasta_nuevo_aviso_subordinatingconjunction_en	jusqu'à_nouvel_ordre_subordinatingconjunction_es
vizcaíno_adjective_en	biscayen_adjective_es
canet_propernoun_en	canet_propernoun_es
cobertura_informativa_noun_en	couverture_médiatique_noun_es
micerinos_propernoun_en	mykerinus_propernoun_es
depredador_adjective_en	prédateur_adjective_es
boya_noun_en	bouée_noun_es
veto_noun_en	veto_noun_es
campana_noun_en	cloche_noun_es
vigilancia_noun_en	surveillance_noun_es
noventa_y_ocho_numeral_en	quatre-vingt-dix-huit_numeral_es
punto_de_venta_noun_en	point_de_vente_noun_es
aretxabala_propernoun_en	aretxabala_propernoun_es
sui_noun_en	sui_noun_es
australia_meridional_propernoun_en	australie_méridionale_propernoun_es
sánchez_propernoun_en	sánchez_propernoun_es
debacle_noun_en	désastre_noun_es
ancyra_propernoun_en	ancyre_propernoun_es
areo_propernoun_en	areo_propernoun_es
farmacia_noun_en	pharmacie_noun_es
electrón_noun_en	électron_noun_es
cambises_ii_propernoun_en	cambyse_ii_propernoun_es
neurona_noun_en	neurone_noun_es
centro_propernoun_en	centre_propernoun_es
desafiar_verb_en	défier_verb_es
creencia_noun_en	croyance_noun_es
secretariado_noun_en	secrétariat_noun_es
lennon_propernoun_en	lennon_propernoun_es
desconocer_verb_en	méconnaître_verb_es
acopio_noun_en	approvisionnement_noun_es
hacer_el_tonto_verb_en	faire_l'idiot_verb_es
gabini_propernoun_en	gabini_propernoun_es
alcobasa_propernoun_en	alcobasa_propernoun_es
provinciano_adjective_en	provincial_adjective_es
addy_propernoun_en	addy_propernoun_es
atento_adjective_en	attentif_adjective_es
detallado_adjective_en	détaillé_adjective_es
alumbrado_noun_en	éclairage_noun_es
xv_numeral_en	xv_numeral_es
imperativo_noun_en	impératif_noun_es
contrato_laboral_noun_en	contrat_de_travail_noun_es
thatcher_propernoun_en	thatcher_propernoun_es
echeverría_propernoun_en	echeverría_propernoun_es
resbalar_verb_en	glisser_verb_es
fútbol_noun_en	foot_noun_es
traducción_noun_en	traduction_noun_es
fiscalía_noun_en	ministère_public_noun_es
recuperación_noun_en	récupération_noun_es
martinon_propernoun_en	martinon_propernoun_es
marie-george_propernoun_en	marie-george_propernoun_es
retocar_verb_en	retoucher_verb_es
multifunción_noun_en	multifonction_noun_es
aturdir_verb_en	étourdir_verb_es
oskitz_propernoun_en	oskitz_propernoun_es
fusil_noun_en	fusil_noun_es
gol_noun_en	but_noun_es
antiálgico_adjective_en	antialgique_adjective_es
propagar_verb_en	propager_verb_es
danzar_verb_en	danser_verb_es
colomer_propernoun_en	colomer_propernoun_es
sotomayor_propernoun_en	sotomayor_propernoun_es
mintzola_propernoun_en	mintzola_propernoun_es
penalti_noun_en	penalty_noun_es
tiago_propernoun_en	tiago_propernoun_es
carbón_noun_en	charbon_noun_es
faisal_ii_propernoun_en	faysal_iième_propernoun_es
modelización_noun_en	modélisation_noun_es
ganador_adjective_en	gagnant_adjective_es
ideológico_adjective_en	idéologique_adjective_es
goioaga_propernoun_en	goioaga_propernoun_es
adónde_adverb_en	où_adverb_es
adónde_interrogativepronoun_en	où_interrogativepronoun_es
buscar_verb_en	quérir_verb_es
brusa_propernoun_en	brousse_propernoun_es
actinómetro_noun_en	actinomètre_noun_es
hasta_tal_punto_que_subordinatingconjunction_en	à_tel_point_que_subordinatingconjunction_es
anticipación_noun_en	anticipation_noun_es
desconfianza_noun_en	défiance_noun_es
raíl_noun_en	rail_noun_es
cuenta_indistinta_noun_en	compte_en_indivision_noun_es
asamblea_extraordinaria_noun_en	assemblée_extraordinaire_noun_es
otorgamiento_noun_en	concession_noun_es
constelación_noun_en	constellation_noun_es
vida_noun_en	vie_noun_es
máscara_noun_en	masque_noun_es
taoufik_propernoun_en	taoufik_propernoun_es
desolación_noun_en	désolation_noun_es
mucho_después_adverb_en	beaucoup_après_adverb_es
pese_a_que_subordinatingconjunction_en	malgré_le_fait_que_subordinatingconjunction_es
ban_ki-moon_propernoun_en	ban_ki-moon_propernoun_es
costa_rica_propernoun_en	costa_rica_propernoun_es
afuera_adverb_en	dehors_adverb_es
godoy_propernoun_en	godoy_propernoun_es
fujita_tsuguharu_propernoun_en	léonard_foujita_propernoun_es
rousseau_propernoun_en	rousseau_propernoun_es
conquistar_verb_en	conquérir_verb_es
abastecedor_adjective_en	ravitailleur_adjective_es
autonómico_adjective_en	autonome_adjective_es
indirectamente_adverb_en	indirectement_adverb_es
ourón_propernoun_en	ourón_propernoun_es
poco_adjective_en	peu_de_adjective_es
judas_propernoun_en	judas_propernoun_es
ranking_noun_en	classement_noun_es
transatlántico_adjective_en	transatlantique_adjective_es
áfrica_austral_propernoun_en	afrique_australe_propernoun_es
introducir_verb_en	introduire_verb_es
equiparable_adjective_en	comparable_adjective_es
lena_propernoun_en	lena_propernoun_es
aventajar_verb_en	dépasser_verb_es
monet_propernoun_en	monet_propernoun_es
pierluigi_propernoun_en	pierluigi_propernoun_es
ai_noun_en	ai_noun_es
mareo_noun_en	vertige_noun_es
lehendakari_noun_en	président_du_pays_basque_noun_es
valle_noun_en	vallée_noun_es
cuando_proceda_subordinatingconjunction_en	quand_il_y_a_lieu_subordinatingconjunction_es
librado_noun_en	tiré_noun_es
mientras_tanto_adverb_en	entre-temps_adverb_es
entorno_noun_en	environnement_noun_es
responsable_noun_en	responsable_noun_es
ros_propernoun_en	ros_propernoun_es
escenario_noun_en	plateau_noun_es
arrendamiento_noun_en	location_noun_es
schengen_propernoun_en	schengen_propernoun_es
futbolista_noun_en	footballeur_noun_es
techo_noun_en	plafond_noun_es
hurón_propernoun_en	huron_propernoun_es
intersección_noun_en	intersection_noun_es
papel_noun_en	papier_noun_es
leo_propernoun_en	lion_propernoun_es
n1_noun_en	n1_noun_es
euronext_propernoun_en	euronext_propernoun_es
grabación_noun_en	enregistrement_noun_es
no_mucho_adverb_en	pas_beaucoup_adverb_es
chatterley_propernoun_en	chatterley_propernoun_es
cartulina_noun_en	carte_noun_es
tm_noun_en	t_noun_es
al_respecto_adverb_en	à_ce_propos_adverb_es
serenidad_noun_en	sérénité_noun_es
islas_cook_propernoun_en	îles_cook_propernoun_es
dédalo_propernoun_en	dédale_propernoun_es
antiguo_régimen_propernoun_en	ancien_régime_propernoun_es
sin_embargo_adverb_en	pourtant_adverb_es
amplitud_noun_en	ampleur_noun_es
kia_propernoun_en	kia_propernoun_es
brest_propernoun_en	brest_propernoun_es
asaltar_verb_en	assaillir_verb_es
roh_moo-hyun_propernoun_en	roh_moo-hyun_propernoun_es
islas_anglo-normandas_propernoun_en	îles_anglo-normandes_propernoun_es
alto_adjective_en	grand_adjective_es
comparar_con_verb_en	apparenter_à_verb_es
apodar_verb_en	surnommer_verb_es
roubaix_propernoun_en	roubaix_propernoun_es
pedro_verona_rodrigues_pires_propernoun_en	pedro_verona_rodrigues_pires_propernoun_es
hinault_propernoun_en	hinault_propernoun_es
lakuntza_propernoun_en	lakuntza_propernoun_es
padre_noun_en	père_noun_es
territorio_noun_en	territoire_noun_es
en_favor_de_terceros_adverb_en	en_faveur_des_tiers_adverb_es
homogeneidad_noun_en	homogénéité_noun_es
permanentemente_adverb_en	en_permanence_adverb_es
alonso_propernoun_en	alonso_propernoun_es
norcoreano_adjective_en	nord-coréen_adjective_es
sidi_propernoun_en	sidi_propernoun_es
baumann_propernoun_en	baumann_propernoun_es
morán_propernoun_en	morán_propernoun_es
razonar_verb_en	raisonner_verb_es
folleto_noun_en	brochure_noun_es
organización_de_las_naciones_unidas_propernoun_en	organisation_des_nations_unies_propernoun_es
francia_propernoun_en	france_propernoun_es
genio_noun_en	caractère_noun_es
dar_soporte_verb_en	supporter_verb_es
inhábil_adjective_en	incapable_adjective_es
preventa_noun_en	prévente_noun_es
inagotable_adjective_en	inépuisable_adjective_es
evangelización_noun_en	évangélisation_noun_es
cristalización_noun_en	cristallisation_noun_es
polinesia_francesa_propernoun_en	polynésie_française_propernoun_es
ayacucho_propernoun_en	ayacucho_propernoun_es
acelerador_adjective_en	accélérateur_adjective_es
arberoa_propernoun_en	arbéroue_propernoun_es
ups_propernoun_en	ups_propernoun_es
según_preposition_en	au_dire_de_preposition_es
paulino_propernoun_en	paulino_propernoun_es
barceló_propernoun_en	barceló_propernoun_es
deterioro_noun_en	dégât_noun_es
huerta_noun_en	verger_noun_es
olmedo_propernoun_en	olmedo_propernoun_es
incendio_noun_en	incendie_noun_es
cocaína_noun_en	cocaïne_noun_es
vaciar_verb_en	évider_verb_es
publicidad_noun_en	publicité_noun_es
patrono_noun_en	patron_noun_es
armada_roja_propernoun_en	armée_rouge_propernoun_es
oriola_propernoun_en	orihuela_propernoun_es
otan_noun_en	otan_noun_es
mâcon_propernoun_en	mâcon_propernoun_es
the_guardian_propernoun_en	the_guardian_propernoun_es
cíclico_adjective_en	cyclique_adjective_es
posibilidad_noun_en	possibilité_noun_es
pintxo_noun_en	amuse-gueule_noun_es
i_numeral_en	i_numeral_es
pib_noun_en	pib_noun_es
coordinador_noun_en	coordinateur_noun_es
corrector_noun_en	correcteur_noun_es
x_numeral_en	x_numeral_es
vestimenta_noun_en	habillement_noun_es
millán_propernoun_en	millán_propernoun_es
ea_noun_en	ea_noun_es
alawi_propernoun_en	alawi_propernoun_es
clooney_propernoun_en	clooney_propernoun_es
ampliable_adjective_en	agrandissable_adjective_es
amorrotu_propernoun_en	amorrotu_propernoun_es
incógnita_noun_en	inconnue_noun_es
venezolano_noun_en	vénézuélien_noun_es
grytviken_propernoun_en	grytviken_propernoun_es
alumbramiento_noun_en	accouchement_noun_es
reemprender_verb_en	reprendre_verb_es
yerno_noun_en	gendre_noun_es
cárcel_noun_en	prison_noun_es
sucesivamente_adverb_en	successivement_adverb_es
instalador_noun_en	installateur_noun_es
alta_presión_noun_en	haute_pression_noun_es
desprecio_noun_en	mépris_noun_es
juez_noun_en	juge_noun_es
asesor_adjective_en	de_conseil_adjective_es
pelota_noun_en	balle_noun_es
bolsa_noun_en	sac_noun_es
profesionalización_noun_en	professionnalisation_noun_es
escudo_canadiense_propernoun_en	jean_scot_érigène_propernoun_es
deserción_noun_en	désertion_noun_es
saneamiento_de_cartera_noun_en	assainissement_du_portefeuille_noun_es
en_el_día_de_hoy_adverb_en	au_jour_d'aujourd'hui_adverb_es
bilbao_propernoun_en	bilbao_propernoun_es
global_adjective_en	global_adjective_es
neuilly_propernoun_en	neuilly_propernoun_es
anotar_verb_en	noter_verb_es
irakoitz_propernoun_en	irakoitz_propernoun_es
vergara_propernoun_en	vergara_propernoun_es
salir_de_sus_casillas_verb_en	sortir_de_ses_gonds_verb_es
