waiting-for_preposition_en	esperando-a_preposition_es
self-defence_noun_en	autodefensa_noun_es
sacrifice_noun_en	sacrificio_noun_es
kõiv_propernoun_en	kõiv_propernoun_es
malleable_adjective_en	maleable_adjective_es
waste_noun_en	derroche_noun_es
foothill_noun_en	estribación_noun_es
reform_noun_en	reforma_noun_es
in-order-of-importance_adverb_en	por-orden-de-importancia_adverb_es
find_verb_en	hallar_verb_es
five_numeral_en	cinco_numeral_es
hemidemisemiquaver_noun_en	semifusa_noun_es
egoistic_adjective_en	egoísta_adjective_es
praise_verb_en	loar_verb_es
dread_noun_en	pavor_noun_es
zkm_propernoun_en	zkm_propernoun_es
reprehensible-act_noun_en	acción-condenable_noun_es
cauterisation_noun_en	cauterización_noun_es
like_verb_en	agradar_verb_es
solvable_adjective_en	resoluble_adjective_es
feel-dizzy_verb_en	marearse_verb_es
inevitability_noun_en	inevitabilidad_noun_es
silicious_adjective_en	silicio_adjective_es
apriority_noun_en	apriorismo_noun_es
flower_verb_en	florecer_verb_es
marten_noun_en	marta_noun_es
with-particular-reference-to_subordinatingconjunction_en	con-particular-énfasis-en_subordinatingconjunction_es
mineralisation_noun_en	mineralización_noun_es
typhoon_noun_en	tifón_noun_es
pickaxe_noun_en	piqueta_noun_es
orthodox_adjective_en	ortodoxo_adjective_es
trousers_noun_en	pantalón_noun_es
womanhood_noun_en	condición-de-mujer_noun_es
history_noun_en	historia_noun_es
ring_noun_en	círculo_noun_es
investor_noun_en	inversionista_noun_es
off-stage_adverb_en	fuera-del-escenario_adverb_es
arts-centre_noun_en	centro-de-arte_noun_es
mouth_noun_en	boca_noun_es
dialectology_noun_en	dialectología_noun_es
dna_noun_en	adn_noun_es
incentive-for-investment_noun_en	ayuda-para-la-inversión_noun_es
hereby_adverb_en	de-ahora-en-adelante_adverb_es
person-concerned_noun_en	propio-interesado_noun_es
inspiration_noun_en	inspiración_noun_es
routine_noun_en	rutina_noun_es
semiannual_adjective_en	semestral_adjective_es
chrysanthemum_noun_en	crisantemo_noun_es
permutation_noun_en	permutación_noun_es
corpse_noun_en	cadáver_noun_es
horse_noun_en	caballo_noun_es
which_relativepronoun_en	que_relativepronoun_es
which_pronoun_en	que_pronoun_es
north-america_propernoun_en	américa-del-norte_propernoun_es
jumble_noun_en	revoltijo_noun_es
oscillator_noun_en	oscilador_noun_es
letter-of-intent-to-purchase_noun_en	carta-de-intención-de-compra_noun_es
cyberspace_noun_en	ciberespacio_noun_es
acrobatics_noun_en	acrobacia_noun_es
one-hundredth_determiner_en	centésimo_determiner_es
abra-real-sporting-club_propernoun_en	abra-real-sporting-club_propernoun_es
corporation_noun_en	empresa_noun_es
flea_noun_en	pulga_noun_es
freeze_noun_en	congelación_noun_es
lebanese_noun_en	libanés_noun_es
authorship_noun_en	autoría_noun_es
pazos_propernoun_en	pazos_propernoun_es
review_verb_en	repasar_verb_es
elucidate_verb_en	dilucidar_verb_es
eric_propernoun_en	eric_propernoun_es
anti-ballistic-missile_noun_en	mísil-antibalístico_noun_es
robustness_noun_en	robustez_noun_es
friend_noun_en	amigo_noun_es
performance_noun_en	actuación_noun_es
with-a-time-of_preposition_en	con-un-crono-de_preposition_es
php_noun_en	php_noun_es
clean_verb_en	limpiar_verb_es
irresponsibly_adverb_en	irresponsablemente_adverb_es
men's-team_noun_en	selección-masculina_noun_es
slowness_noun_en	lentitud_noun_es
albacete_propernoun_en	albacete_propernoun_es
postnatal_noun_en	posparto_noun_es
ravine_noun_en	barranco_noun_es
showcase_noun_en	escaparate_noun_es
playground_noun_en	patio_noun_es
readership_noun_en	lector_noun_es
underlying-problem_noun_en	problema-de-fondo_noun_es
checkup_noun_en	chequeo_noun_es
thermoregulator_noun_en	termorregulador_noun_es
carry-out_verb_en	sacar-adelante_verb_es
come-off_verb_en	salir_verb_es
nightingale_noun_en	ruiseñor_noun_es
specifiable_adjective_en	especificable_adjective_es
parisian_adjective_en	parisino_adjective_es
mad_adjective_en	loco_adjective_es
information_noun_en	información_noun_es
normality_noun_en	normalidad_noun_es
colonising_adjective_en	colonizador_adjective_es
talk_verb_en	hablar_verb_es
fulcrum_noun_en	fulcro_noun_es
titanic_adjective_en	titánico_adjective_es
mushroom_noun_en	champiñón_noun_es
antagonism_noun_en	antagonismo_noun_es
halting-problem_noun_en	problema-de-la-parada_noun_es
atheist_noun_en	ateo_noun_es
monopole_noun_en	monopolo_noun_es
john-paul-ii_propernoun_en	juan-pablo-ii_propernoun_es
reconversion_noun_en	reconversión_noun_es
stem_noun_en	vástago_noun_es
watershed_noun_en	cuenca_noun_es
add_verb_en	añadir_verb_es
curtail_verb_en	acortar_verb_es
foal_noun_en	potro_noun_es
infinitive_noun_en	infinitivo_noun_es
fraction_noun_en	quebrado_noun_es
take-for-granted_verb_en	dar-por-sentado_verb_es
hexameter_noun_en	hexámetro_noun_es
qala-i-naw_propernoun_en	qala-i-naw_propernoun_es
scallion_noun_en	cebolleta_noun_es
plead-for_verb_en	abogar-por_verb_es
compote_noun_en	compota_noun_es
rolling_noun_en	rodamiento_noun_es
cancellation_noun_en	cancelación_noun_es
prejudge_verb_en	prejuzgar_verb_es
annoy_verb_en	dar-la-lata_verb_es
desist_verb_en	desistir_verb_es
diplomatic_adjective_en	diplomático_adjective_es
at-the-expense-of_preposition_en	a-expensas-de_preposition_es
objective_adjective_en	objetivo_adjective_es
commodity_noun_en	mercancía_noun_es
again_adverb_en	de-nuevo_adverb_es
slag_noun_en	escoria_noun_es
divisional_adjective_en	divisorio_adjective_es
little_pronoun_en	poco_pronoun_es
little_determiner_en	poco_determiner_es
little_demonstrativepronoun_en	poco_demonstrativepronoun_es
little_pronoun_en	poco_pronoun_es
little_determiner_en	poco_determiner_es
little_demonstrativepronoun_en	poco_demonstrativepronoun_es
little_pronoun_en	poco_pronoun_es
little_determiner_en	poco_determiner_es
little_demonstrativepronoun_en	poco_demonstrativepronoun_es
little_pronoun_en	poco_pronoun_es
little_determiner_en	poco_determiner_es
little_demonstrativepronoun_en	poco_demonstrativepronoun_es
scarlet_adjective_en	escarlata_adjective_es
sober_adjective_en	sereno_adjective_es
employ_verb_en	emplear_verb_es
instauration_noun_en	instauración_noun_es
comparator_noun_en	comparador_noun_es
montreal_propernoun_en	montreal_propernoun_es
carles_propernoun_en	carles_propernoun_es
compassionate_adjective_en	compasivo_adjective_es
biopolymer_noun_en	biopolímero_noun_es
noodle_noun_en	fideo_noun_es
cigarette_noun_en	cigarrillo_noun_es
malfunction_verb_en	funcionar-mal_verb_es
coupler_noun_en	acoplador_noun_es
mutualistic_adjective_en	mutualista_adjective_es
crepe_noun_en	crepé_noun_es
magee_propernoun_en	magee_propernoun_es
european-security-strategy_propernoun_en	estrategia-europea-de-seguridad_propernoun_es
hobble_noun_en	cojera_noun_es
bullfighting-party_noun_en	festejo-taurino_noun_es
line_noun_en	raya_noun_es
ime_propernoun_en	ime_propernoun_es
gardening_noun_en	jardinería_noun_es
merry-christmas_noun_en	feliz-navidad_noun_es
antiparallel_adjective_en	antiparalelo_adjective_es
polyspermy_noun_en	polispermia_noun_es
morphometric_adjective_en	morfométrico_adjective_es
particular-use_noun_en	uso-particular_noun_es
engine-driver_noun_en	maquinista_noun_es
brazilian_noun_en	brasilero_noun_es
athletic-bilbao_propernoun_en	athletic-club-bilbao_propernoun_es
rising-tide_noun_en	marea-creciente_noun_es
resupply_verb_en	abastecer_verb_es
intelligible_adjective_en	inteligible_adjective_es
fine_adverb_en	bien_adverb_es
los-rosales_propernoun_en	los-rosales_propernoun_es
bose-einstein-condensate_noun_en	condensado-de-bose-einstein_noun_es
cupreous_adjective_en	cobrizo_adjective_es
reason_noun_en	motivo_noun_es
shoulder-pad_noun_en	hombrera_noun_es
nasty_adjective_en	malo_adjective_es
send_verb_en	enviar_verb_es
puppet_noun_en	títere_noun_es
theophorus_propernoun_en	theóforo_propernoun_es
fujitsu_propernoun_en	fujitsu_propernoun_es
usury_noun_en	usura_noun_es
tune_noun_en	tonada_noun_es
numbering_noun_en	numeración_noun_es
share-issue_noun_en	emisión-de-acciones_noun_es
in-half_adverb_en	por-la-mitad_adverb_es
basauri_propernoun_en	basauri_propernoun_es
madatac_propernoun_en	madatac_propernoun_es
on_adverb_en	encima_adverb_es
flaky_adjective_en	escamoso_adjective_es
require_verb_en	precisar_verb_es
coin_verb_en	troquelar_verb_es
fire_noun_en	fuego_noun_es
from_preposition_en	provenientes-de_preposition_es
chelicera_noun_en	quelícero_noun_es
lower_verb_en	bajar_verb_es
antrum_noun_en	antro_noun_es
conference_noun_en	conferencia_noun_es
emotional_adjective_en	emocional_adjective_es
involve_verb_en	involucrar_verb_es
woodcutter_noun_en	leñador_noun_es
current_adjective_en	actual_adjective_es
above-mentioned_adjective_en	antes-mencionado_adjective_es
ferment_verb_en	fermentar_verb_es
nitrification_noun_en	nitrificación_noun_es
neutron-star_noun_en	estrella-de-neutrones_noun_es
marginal_adjective_en	insignificante_adjective_es
icu_noun_en	uvi_noun_es
denticle_noun_en	dentículo_noun_es
rat_noun_en	rata_noun_es
apropos_adjective_en	pertinente_adjective_es
voyeur_noun_en	voyeur_noun_es
nodule_noun_en	nódulo_noun_es
comedy_noun_en	comedia_noun_es
homosexual_adjective_en	homosexual_adjective_es
glucose_noun_en	glucosa_noun_es
symposium_noun_en	simposio_noun_es
opal_noun_en	ópalo_noun_es
more-than-half-of_pronoun_en	más-de-la-mitad-de_pronoun_es
more-than-half-of_determiner_en	más-de-la-mitad-de_determiner_es
more-than-half-of_determiner_en	más-de-la-mitad-de_determiner_es
more-than-half-of_pronoun_en	más-de-la-mitad-de_pronoun_es
more-than-half-of_determiner_en	más-de-la-mitad-de_determiner_es
blackening_noun_en	ennegrecimiento_noun_es
semicolon_noun_en	punto-y-coma_noun_es
vagina_noun_en	vagina_noun_es
río-escondido_propernoun_en	río-escondido_propernoun_es
bilquez_propernoun_en	bilquez_propernoun_es
form_verb_en	formar_verb_es
ring_noun_en	anilla_noun_es
jam_noun_en	confitura_noun_es
replacement_noun_en	reposición_noun_es
cattle_noun_en	ganado_noun_es
gorbachov_propernoun_en	gorbachov_propernoun_es
guardian_noun_en	guardián_noun_es
vargas_propernoun_en	vargas_propernoun_es
absence-makes-the-heart-grow-fonder_interjection_en	la-ausencia-es-al-amor-lo-que-al-fuego-el-aire_interjection_es
at-night_adverb_en	por-la-noche_adverb_es
lorena_propernoun_en	lorena_propernoun_es
millenium_noun_en	milenio_noun_es
poster_noun_en	cartel_noun_es
lynching_noun_en	linchamiento_noun_es
flexible_adjective_en	flexible_adjective_es
permit_noun_en	permiso_noun_es
formality_noun_en	trámite_noun_es
balloon_noun_en	balón_noun_es
aforesaid_adjective_en	susodicho_adjective_es
in-bold_adverb_en	en-negrita_adverb_es
postmodern_adjective_en	postmoderno_adjective_es
childbirth_noun_en	parto_noun_es
burns_propernoun_en	burns_propernoun_es
lagoon_noun_en	laguna_noun_es
rent_verb_en	alquilar_verb_es
lancelot-of-the-lake_propernoun_en	lanzarote-del-lago_propernoun_es
chili_noun_en	ají_noun_es
menthol_noun_en	mentol_noun_es
commensurable_adjective_en	conmensurable_adjective_es
ignominy_noun_en	ignominia_noun_es
moroccan_noun_en	marroquí_noun_es
plutonic_adjective_en	plutónico_adjective_es
raging_adjective_en	furioso_adjective_es
bulb_noun_en	bombilla_noun_es
before-moving-ahead_adverb_en	antes-de-seguir-adelante_adverb_es
train_verb_en	adiestrarse_verb_es
scribe_noun_en	escribano_noun_es
rack-brain_verb_en	estrujarse-el-meollo_verb_es
drinker_noun_en	bebedor_noun_es
detrital_adjective_en	detrítico_adjective_es
tetouan_propernoun_en	tetuán_propernoun_es
hiccough_noun_en	hipo_noun_es
holmium_noun_en	holmio_noun_es
vase_noun_en	jarrón_noun_es
prostration_noun_en	postración_noun_es
tartar_noun_en	tártaro_noun_es
annoying_adjective_en	molesto_adjective_es
mey_propernoun_en	mey_propernoun_es
ancestral_adjective_en	ancestral_adjective_es
temerity_noun_en	temeridad_noun_es
since_subordinatingconjunction_en	puesto-que_subordinatingconjunction_es
centimetre_noun_en	centímetro_noun_es
parasitic_adjective_en	parasitario_adjective_es
transcendence_noun_en	trascendencia_noun_es
czech-republic_propernoun_en	república-checa_propernoun_es
university_noun_en	universidad_noun_es
sofia_propernoun_en	sofía_propernoun_es
shift_verb_en	mover_verb_es
immutable_adjective_en	inmutable_adjective_es
alphabetically_adverb_en	alfabéticamente_adverb_es
have-a-conversation_verb_en	dialogar_verb_es
his-majesty_noun_en	su-majestad_noun_es
carrion_noun_en	carroña_noun_es
letterhead_noun_en	membrete_noun_es
pomegranate_noun_en	granada_noun_es
miserable_adjective_en	desdichado_adjective_es
calculator_noun_en	calculadora_noun_es
gear_noun_en	tren_noun_es
epigastric_adjective_en	epigástrico_adjective_es
landscaped-area_noun_en	zona-ajardinada_noun_es
exaggeration_noun_en	exageración_noun_es
look_verb_en	parecer_verb_es
decant_verb_en	decantar_verb_es
shelve_verb_en	dejar-de-lado_verb_es
infrastructure_noun_en	infraestructura_noun_es
gender_noun_en	género_noun_es
dissipate_verb_en	disipar_verb_es
john-xxi_propernoun_en	juan-xxi_propernoun_es
at-once_adverb_en	inmediatamente_adverb_es
prorate_noun_en	prorrata_noun_es
steal_verb_en	hurtar_verb_es
pepsin_noun_en	pepsina_noun_es
probability_noun_en	probabilidad_noun_es
valencian_noun_en	valenciano_noun_es
unencumbered-by_preposition_en	sin-el-estorbo-de_preposition_es
radical_noun_en	radical_noun_es
pod_noun_en	vaina_noun_es
